cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
650498	04297002	NODETRIP 60 MG CAPSULAS DURAS GASTRORRESISTENTES	Duloxetina 60 mg cápsula	60 mg	Blister	28	cápsula	DULOXETINA HIDROCLORURO 60 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	ESTEVE PHARMACEUTICALS S.A.	2005-06-17	0	2021-06-07	Anulado	2021-06-07	1	0	0	0
650590	04297001	NODETRIP 30 MG CAPSULAS DURAS GASTRORRESISTENTES	Duloxetina 30 mg cápsula	30 mg	Blister	28	cápsula	DULOXETINA HIDROCLORURO 30 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	ESTEVE PHARMACEUTICALS S.A.	2005-06-17	0	2021-06-07	Anulado	2021-06-07	1	0	0	0
651478	04296001	CYMBALTA 30 MG CAPSULAS DURAS GASTRORRESISTENTES	Duloxetina 30 mg cápsula	30 mg	Blister	28	cápsula	DULOXETINA HIDROCLORURO 30 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	ELI LILLY NEDERLAND B.V.	2005-06-17	0	2025-05-12	Autorizado	2005-06-17	1	0	0	0
651479	04296002	CYMBALTA 60 MG CAPSULAS DURAS GASTRORRESISTENTES	Duloxetina 60 mg cápsula	60 mg	Blister	28	cápsula	DULOXETINA HIDROCLORURO 60 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	ELI LILLY NEDERLAND B.V.	2005-06-17	0	2025-03-13	Autorizado	2005-06-17	1	0	0	0
677714	04296006	CYMBALTA 30 MG CAPSULAS DURAS GASTRORRESISTENTES	Duloxetina 30 mg cápsula	30 mg	Blister	7	cápsula	DULOXETINA HIDROCLORURO 30 mg	VÍA ORAL	CÁPSULA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	ELI LILLY NEDERLAND B.V.	2011-05-23	0	2025-06-24	Autorizado	2011-05-23	1	0	0	0
677715	04297006	NODETRIP 30 MG CAPSULAS DURAS GASTRORRESISTENTES	Duloxetina 30 mg cápsula	30 mg	Blister	7	cápsula	DULOXETINA HIDROCLORURO 30 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	ESTEVE PHARMACEUTICALS S.A.	2011-05-23	0	2021-06-07	Anulado	2021-06-07	1	0	0	0
704748	79370	DULOXETINA PENSA PHARMA 30 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Duloxetina 30 mg cápsula	30 mg	Blister	7	cápsula	DULOXETINA HIDROCLORURO 30 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	TOWA PHARMACEUTICAL S.A.	2014-12-26	0	2024-11-11	Autorizado	2014-12-26	1	0	0	0
704749	79370	DULOXETINA PENSA PHARMA 30 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Duloxetina 30 mg cápsula	30 mg	Blister	28	cápsula	DULOXETINA HIDROCLORURO 30 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	TOWA PHARMACEUTICAL S.A.	2014-12-26	1	2015-03-06	Autorizado	2014-12-26	1	0	0	0
704751	79371	DULOXETINA PENSA PHARMA 60 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Duloxetina 60 mg cápsula	60 mg	Blister	28	cápsula	DULOXETINA HIDROCLORURO 60 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	TOWA PHARMACEUTICAL S.A.	2014-12-26	1	2015-03-06	Autorizado	2014-12-26	1	0	0	0
704935	79437	DULOXETINA SWANPOND INVESTMENTS 60 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Duloxetina 60 mg cápsula	60 mg	Frasco	28	cápsula	DULOXETINA HIDROCLORURO 60 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	SWAN POND INVESTMENTS LIMITED	2015-01-26	0	2019-12-05	Anulado	2019-12-05	1	0	0	0
704936	79438	DULOXETINA SWANPOND INVESTMENTS 30 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Duloxetina 30 mg cápsula	30 mg	Frasco	28	cápsula	DULOXETINA HIDROCLORURO 30 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	SWAN POND INVESTMENTS LIMITED	2015-01-26	0	2019-12-05	Anulado	2019-12-05	1	0	0	0
705275	79539	DULOXETINA VIATRIS PHARMACEUTICALS 30 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Duloxetina 30 mg cápsula	30 mg	Blister	7	cápsula	DULOXETINA 30 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	VIATRIS PHARMACEUTICALS S.L.	2015-02-19	0	2018-05-30	Autorizado	2015-02-19	1	0	0	0
705276	79539	DULOXETINA VIATRIS PHARMACEUTICALS 30 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Duloxetina 30 mg cápsula	30 mg	Blister	28	cápsula	DULOXETINA 30 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	VIATRIS PHARMACEUTICALS S.L.	2015-02-19	1	2015-06-12	Autorizado	2015-02-19	1	0	0	0
705282	79540	DULOXETINA VIATRIS PHARMACEUTICALS 60 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Duloxetina 60 mg cápsula	60 mg	Blister	28	cápsula	DULOXETINA 60 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	VIATRIS PHARMACEUTICALS S.L.	2015-02-19	1	2015-06-12	Autorizado	2015-02-19	1	0	0	0
705283	79540	DULOXETINA VIATRIS PHARMACEUTICALS 60 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Duloxetina 60 mg cápsula	60 mg	Blister	56	cápsula	DULOXETINA 60 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	VIATRIS PHARMACEUTICALS S.L.	2015-02-19	1	2025-01-14	Autorizado	2015-02-19	1	0	0	0
705311	79545	DULOXETINA CINFA 30 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Duloxetina 30 mg cápsula	30 mg	Blister	7	cápsula	DULOXETINA HIDROCLORURO 30 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	LABORATORIOS CINFA S.A.	2015-02-19	1	2015-03-05	Autorizado	2015-02-19	1	0	0	0
705312	79545	DULOXETINA CINFA 30 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Duloxetina 30 mg cápsula	30 mg	Blister	28	cápsula	DULOXETINA HIDROCLORURO 30 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	LABORATORIOS CINFA S.A.	2015-02-19	1	2015-03-05	Autorizado	2015-02-19	1	0	0	0
705313	79546	DULOXETINA CINFA 60 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Duloxetina 60 mg cápsula	60 mg capsulas	Blister	56	cápsula	DULOXETINA HIDROCLORURO 60 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	LABORATORIOS CINFA S.A.	2015-02-19	1	2019-06-13	Autorizado	2015-02-19	1	0	0	0
705314	79546	DULOXETINA CINFA 60 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Duloxetina 60 mg cápsula	60 mg	Blister	28	cápsula	DULOXETINA HIDROCLORURO 60 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	N06AX21 - Duloxetina	LABORATORIOS CINFA S.A.	2015-02-19	1	2015-03-05	Autorizado	2015-02-19	1	0	0	0
