cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
606979	1161132003	40160973	0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854235	EXACT			2025-12-04
607006	82496	42708409	0.2 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	1245458	EXACT			2026-03-12
607007	82495	40160973	0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854235	EXACT			2026-03-12
607026	1161132003	40160973	0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854235	EXACT			2025-12-04
607027	1161132001	42708409	0.2 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	1245458	EXACT			2025-12-04
607029	1161132001	42708409	0.2 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	1245458	EXACT			2025-12-04
607162	82490	40160995	1 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854248	EXACT			2026-03-12
607165	82494	40160989	0.6 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854238	EXACT			2026-03-12
607166	82493	40160991	0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854241	EXACT			2026-03-12
639484	58502	42708409	0.2 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	1245458	EXACT			2026-03-12
639492	58503	40160973	0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854235	EXACT			2026-03-12
671972	58502	42708409	0.2 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	1245458	EXACT			2026-03-12
671975	58503	40160973	0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854235	EXACT			2026-03-12
671976	62470	40160989	0.6 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854238	EXACT			2026-03-12
671977	62471	40160991	0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854241	EXACT			2026-03-12
671993	58502	42708409	0.2 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	1245458	EXACT			2026-03-12
671995	58503	40160973	0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854235	EXACT			2026-03-12
671996	58503	40160973	0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854235	EXACT			2026-03-12
671997	62470	40160989	0.6 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854238	EXACT			2026-03-12
671998	62471	40160991	0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854241	EXACT			2026-03-12
672593	62470	40160989	0.6 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854238	EXACT			2026-03-12
675294	62471	40160991	0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854241	EXACT			2026-03-12
719275	82490	40160995	1 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854248	EXACT			2026-03-12
719277	82490	40160995	1 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854248	EXACT			2026-03-12
719281	82490	40160995	1 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854248	EXACT			2026-03-12
719284	82491	40160997	1 ML enoxaparin sodium 150 MG/ML Prefilled Syringe	854252	EXACT			2026-03-12
719285	82491	40160997	1 ML enoxaparin sodium 150 MG/ML Prefilled Syringe	854252	EXACT			2026-03-12
719287	82492	40160993	0.8 ML enoxaparin sodium 150 MG/ML Prefilled Syringe	854245	EXACT			2026-03-12
719288	82492	40160993	0.8 ML enoxaparin sodium 150 MG/ML Prefilled Syringe	854245	EXACT			2026-03-12
719289	82493	40160991	0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854241	EXACT			2026-03-12
719291	82493	40160991	0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854241	EXACT			2026-03-12
719295	82493	40160991	0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854241	EXACT			2026-03-12
719296	82494	40160989	0.6 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854238	EXACT			2026-03-12
719298	82494	40160989	0.6 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854238	EXACT			2026-03-12
719301	82494	40160989	0.6 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854238	EXACT			2026-03-12
719302	82495	40160973	0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854235	EXACT			2026-03-12
719304	82495	40160973	0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854235	EXACT			2026-03-12
719306	82495	40160973	0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854235	EXACT			2026-03-12
719308	82496	42708409	0.2 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	1245458	EXACT			2026-03-12
719311	82496	42708409	0.2 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	1245458	EXACT			2026-03-12
720563	1161132007	40160991	0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854241	EXACT			2025-12-04
720564	1161132007	40160991	0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854241	EXACT			2025-12-04
720566	1161132007	40160991	0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854241	EXACT			2025-12-04
720567	1161132007	40160991	0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854241	EXACT			2025-12-04
720568	1161132007	40160991	0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854241	EXACT			2025-12-04
720569	1161132007	40160991	0.8 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854241	EXACT			2025-12-04
720570	1161132009	40160995	1 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854248	EXACT			2025-12-04
720571	1161132009	40160995	1 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854248	EXACT			2025-12-04
720572	1161132009	40160995	1 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854248	EXACT			2025-12-04
720574	1161132009	40160995	1 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854248	EXACT			2025-12-04
720575	1161132009	40160995	1 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854248	EXACT			2025-12-04
720576	1161132009	40160995	1 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854248	EXACT			2025-12-04
720577	1161132005	40160989	0.6 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854238	EXACT			2025-12-04
720578	1161132005	40160989	0.6 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854238	EXACT			2025-12-04
720579	1161132005	40160989	0.6 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854238	EXACT			2025-12-04
720580	1161132005	40160989	0.6 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854238	EXACT			2025-12-04
720582	1161132005	40160989	0.6 ML enoxaparin sodium 100 MG/ML Prefilled Syringe	854238	EXACT			2025-12-04
