cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
602486	68552	44814533	epinephrine 1 MG/ML Injectable Solution [Adrenalin]	1490057	EXACT			
641670	35403	44814533	epinephrine 1 MG/ML Injectable Solution [Adrenalin]	1490057	EXACT			
654187	35403	44814533	epinephrine 1 MG/ML Injectable Solution [Adrenalin]	1490057	EXACT			
656714	67264	19076899	epinephrine 1 MG/ML Injectable Solution	310132	EXACT			
656715	67263	1344014	epinephrine 0.5 MG/ML Injectable Solution	245317	EXACT			
658637	68552	44814533	epinephrine 1 MG/ML Injectable Solution [Adrenalin]	1490057	EXACT			
677267	73186	19076899	epinephrine 1 MG/ML Injectable Solution	310132	EXACT			
677268	73187	19076899	epinephrine 1 MG/ML Injectable Solution	310132	EXACT			
687623	75408	44068911	Epinephrine Intramuscular Solution	OMOP1063542	EXACT			
687625	75409	793005	0.3 ML epinephrine 1 MG/ML Prefilled Syringe	1989112	EXACT			
706473	73187	19076899	epinephrine 1 MG/ML Injectable Solution	310132	EXACT			
706474	73186	19076899	epinephrine 1 MG/ML Injectable Solution	310132	EXACT			
707616	80146	19076899	epinephrine 1 MG/ML Injectable Solution	310132	BROAD			
707618	80147	793005	0.3 ML epinephrine 1 MG/ML Prefilled Syringe	1989112	EXACT			
707627	80149	36257198	Epinephrine 0.5 MG/ML Pen Injector	OMOP3108073	EXACT			
714042	67263	1344014	epinephrine 0.5 MG/ML Injectable Solution	245317	EXACT			
721042	75408	44068911	Epinephrine Intramuscular Solution	OMOP1063542	EXACT			
721057	75409	793005	0.3 ML epinephrine 1 MG/ML Prefilled Syringe	1989112	EXACT			
722200	83253	44068911	Epinephrine Intramuscular Solution	OMOP1063542	EXACT			
728447	85059	44814533	epinephrine 1 MG/ML Injectable Solution [Adrenalin]	1490057	EXACT			
