cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	sw_generico	biosimilar	radiofarmaco
600200	66756	ELECOR 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Eplerenona 25 mg comprimido	25 mg	Blister	200	comprimido	EPLERENONA 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	ALMIRALL S.A.	0	0	0	0
600201	66757	ELECOR 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Eplerenona 50 mg comprimido	50 mg	Blister	200	comprimido	EPLERENONA 50 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	ALMIRALL S.A.	0	0	0	0
650179	66355	INSPRA 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Eplerenona 50 mg comprimido	50 mg	Blister	30	comprimido	EPLERENONA 50 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	VIATRIS HEALTHCARE LIMITED	0	0	0	0
650181	66356	INSPRA 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Eplerenona 25 mg comprimido	25 mg	Blister	30	comprimido	EPLERENONA 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	VIATRIS HEALTHCARE LIMITED	0	0	0	0
651231	66756	ELECOR 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Eplerenona 25 mg comprimido	25 mg	Blister	30	comprimido	EPLERENONA 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	ALMIRALL S.A.	0	0	0	0
651235	66757	ELECOR 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Eplerenona 50 mg comprimido	50 mg	Blister	30	comprimido	EPLERENONA 50 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	ALMIRALL S.A.	0	0	0	0
684326	74737	EPLERENONA RATIOPHARM 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Eplerenona 25 mg comprimido	25 mg	Blister	30	comprimido	EPLERENONA 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	RATIOPHARM ESPANA S.A.	0	1	0	0
687130	75302	EPLERENONA SANDOZ 25 mg COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG	Eplerenona 25 mg comprimido	25 mg	Blister	30	comprimido	EPLERENONA 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	SANDOZ FARMACEUTICA S.A.	0	1	0	0
687131	75303	EPLERENONA SANDOZ 50 mg COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG	Eplerenona 50 mg comprimido	50 mg	Blister	30	comprimido	EPLERENONA 50 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	SANDOZ FARMACEUTICA S.A.	0	1	0	0
687379	74738	EPLERENONA RATIOPHARM 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Eplerenona 50 mg comprimido	50 mg	Blister	30	comprimido	EPLERENONA 50 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	RATIOPHARM ESPANA S.A.	0	1	0	0
688913	75724	EPLERENONA VIR 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Eplerenona 25 mg comprimido	25 mg	Blister	30	comprimido	EPLERENONA 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.	0	1	0	0
688939	75725	EPLERENONA VIR 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Eplerenona 50 mg comprimido	50 mg	Blister	30	comprimido	EPLERENONA 50 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.	0	1	0	0
689115	75754	EPLERENONA AUROVITAS SPAIN 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Eplerenona 25 mg comprimido	25 mg	Blister	30	comprimido	EPLERENONA 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	AUROVITAS SPAIN, S.A.U.	0	1	0	0
689128	75755	EPLERENONA AUROVITAS SPAIN 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Eplerenona 50 mg comprimido	50 mg	Blister	30	comprimido	EPLERENONA 50 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	AUROVITAS SPAIN, S.A.U.	0	1	0	0
689238	75764	EPLERENONA TECNIGEN 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Eplerenona 25 mg comprimido	25 mg	Blister	30	comprimido	EPLERENONA 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.	0	1	0	0
689239	75765	EPLERENONA TECNIGEN 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Eplerenona 50 mg comprimido	50 mg	Blister	30	comprimido	EPLERENONA 50 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C03DA04 - Eplerenona	TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.	0	1	0	0
