cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
663887	09573001	EPORATIO 1000 UI/0,5 ml. SOLUCION INYECTABLE EN JERINGA PRECARGADA	Epoetina zeta 1.000 UI inyectable 0,5 ml jeringa precargada	1.000 UI	Jeringa precargada	6	jeringa precargada	EPOETINA ZETA (EPOETIN THETA) 2000 UI	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	1	B03XA01 - Eritropoyetina	RATIOPHARM GMBH	2009-11-25	0	2017-09-05	Autorizado	2009-11-25	1	0	0	0
663889	09573003	EPORATIO 2000 UI/0,5 ml. SOLUCION INYECTABLE EN JERINGA PRECARGADA	Epoetina zeta 2.000 UI inyectable 0,5 ml jeringa precargada	2.000 UI	Jeringa precargada	6	jeringa precargada	EPOETINA ZETA (EPOETIN THETA) 4000 UI	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	1	B03XA01 - Eritropoyetina	RATIOPHARM GMBH	2009-11-25	0	2017-11-13	Autorizado	2009-11-25	1	0	0	0
663891	09573005	EPORATIO 3000 UI/0,5 ml. SOLUCION INYECTABLE EN JERINGA PRECARGADA	Epoetina zeta 3.000 UI inyectable 0,5 ml jeringa precargada	3.000 UI	Jeringa precargada	6	jeringa precargada	EPOETINA ZETA (EPOETIN THETA) 6000 UI	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	1	B03XA01 - Eritropoyetina	RATIOPHARM GMBH	2009-11-25	0	2017-11-13	Autorizado	2009-11-25	1	0	0	0
663893	09573007	EPORATIO 4000 UI/0,5 ml. SOLUCION INYECTABLE EN JERINGA PRECARGADA	Epoetina zeta 4.000 UI inyectable 0,5 ml jeringa precargada	4.000 UI	Jeringa precargada	6	jeringa precargada	EPOETINA ZETA (EPOETIN THETA) 8000 UI	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	1	B03XA01 - Eritropoyetina	RATIOPHARM GMBH	2009-11-25	0	2017-06-19	Autorizado	2009-11-25	1	0	0	0
663895	09573009	EPORATIO 5000 UI/0,5 ml. SOLUCION INYECTABLE EN JERINGA PRECARGADA	Epoetina zeta 5.000 UI inyectable 0,5 ml jeringa precargada	5.000 UI	Jeringa precargada	6	jeringa precargada	EPOETINA ZETA (EPOETIN THETA) 10000 UI	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	1	B03XA01 - Eritropoyetina	RATIOPHARM GMBH	2009-11-25	0	2017-02-10	Autorizado	2009-11-25	1	0	0	0
663897	09573015	EPORATIO 10.000 UI/1 ml. SOLUCION INYECTABLE EN JERINGA PRECARGADA	Epoetina zeta 10.000 UI inyectable 1 ml jeringa precargada	10.000 UI	Jeringa precargada	6	jeringa precargada	EPOETINA ZETA (EPOETIN THETA) 10000 UI	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	1	B03XA01 - Eritropoyetina	RATIOPHARM GMBH	2009-11-25	0	2017-06-14	Autorizado	2009-11-25	1	0	0	0
663900	09573017	EPORATIO 20.000 UI/1 ml. SOLUCION INYECTABLE EN JERINGA PRECARGADA	Epoetina zeta 20.000 UI inyectable 1 ml jeringa precargada	20.000 UI	Jeringa precargada	1	jeringa precargada	EPOETINA ZETA (EPOETIN THETA) 20000 UI	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	1	B03XA01 - Eritropoyetina	RATIOPHARM GMBH	2009-11-25	0	2017-06-14	Autorizado	2009-11-25	1	0	0	0
663902	09573023	EPORATIO 30.000 UI/1 ml. SOLUCION INYECTABLE EN JERINGA PRECARGADA	Epoetina zeta 30.000 UI inyectable 1 ml jeringa precargada	30.000 UI	Jeringa precargada	1	jeringa precargada	EPOETINA ZETA (EPOETIN THETA) 30000 UI	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	1	B03XA01 - Eritropoyetina	RATIOPHARM GMBH	2009-11-25	0	2016-12-03	Autorizado	2009-11-25	1	0	0	0
706824	109573036	Eporatio 10.000 UI/1 ml solucion inyectable en jeringa precargada	Epoetina zeta 10.000 UI inyectable 1 ml jeringa precargada	10.000 UI inyectable 1 ml	Jeringa precargada	6	jeringa precargada	EPOETINA ZETA (EPOETIN THETA) 10000 UI	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	1	B03XA01 - Eritropoyetina	RATIOPHARM GMBH	2015-06-24	0	2021-03-07	Autorizado	2015-06-24	1	0	0	0
706825	109573030	Eporatio 2.000 UI/0,5 ml solucion inyectable en jeringa precargada	Epoetina zeta 2.000 UI inyectable 0,5 ml jeringa precargada	2.000 UI inyectable 0,5 ml	Jeringa precargada	6	jeringa precargada	EPOETINA ZETA (EPOETIN THETA) 12000 UI	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	1	B03XA01 - Eritropoyetina	RATIOPHARM GMBH	2015-06-24	0	2020-05-10	Autorizado	2015-06-24	1	0	0	0
