cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
698740	77784	19115194	epoprostenol 1.5 MG Injection	562502	EXACT			2026-03-13
711648	81075	40226772	epoprostenol 1.5 MG Injection [Veletri]	1009216	EXACT			2026-03-13
711649	81076	42873590	epoprostenol 0.5 MG Injection [Veletri]	1302755	EXACT			2026-03-13
672226	72592	19115193	epoprostenol 0.5 MG Injection	562501	EXACT			2026-03-13
682710	74518	19115193	epoprostenol 0.5 MG Injection	562501	EXACT			2026-03-13
710914	57757	19115193	epoprostenol 0.5 MG Injection	562501	EXACT			2026-03-13
711647	81074	42873590	epoprostenol 0.5 MG Injection [Veletri]	1302755	EXACT			2026-03-13
711651	81077	40226772	epoprostenol 1.5 MG Injection [Veletri]	1009216	EXACT			2026-03-13
723858	83525	19115194	epoprostenol 1.5 MG Injection	562502	EXACT			2026-03-13
979435	57757	19115193	epoprostenol 0.5 MG Injection	562501	EXACT			2026-03-13
