cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
656532	64928	ARCOXIA 60 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Etoricoxib 60 mg comprimido	60 mg	Blister	28	comprimido	ETORICOXIB 60 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	ORGANON SALUD S.L.	0	0	0
656533	64929	ARCOXIA 90 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Etoricoxib 90 mg comprimido	90 mg	Blister	28	comprimido	ETORICOXIB 90 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	ORGANON SALUD S.L.	0	0	0
656534	64930	ARCOXIA 120 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Etoricoxib 120 mg comprimido	120 mg	Blister	7	comprimido	ETORICOXIB 120 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	ORGANON SALUD S.L.	0	0	0
660079	69376	ARCOXIA 30 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Etoricoxib 30 mg comprimido	30 mg	Blister	28	comprimido	ETORICOXIB 30 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	ORGANON SALUD S.L.	0	0	0
664159	71587	ACOXXEL 30 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Etoricoxib 30 mg comprimido	30 mg	Blister	28	comprimido	ETORICOXIB 30 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	ORGANON SALUD S.L.	0	0	0
664160	71588	ACOXXEL 60 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Etoricoxib 60 mg comprimido	60 mg	Blister	28	comprimido	ETORICOXIB 60 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	ORGANON SALUD S.L.	0	0	0
664161	71589	ACOXXEL 90 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Etoricoxib 90 mg comprimido	90 mg	Blister	28	comprimido	ETORICOXIB 90 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	ORGANON SALUD S.L.	0	0	0
664162	71590	ACOXXEL 120 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Etoricoxib 120 mg comprimido	120 mg	Blister	7	comprimido	ETORICOXIB 120 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	ORGANON SALUD S.L.	0	0	0
668774	72076	EXXIV 30 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Etoricoxib 30 mg comprimido	30 mg	Blister	28	comprimido	ETORICOXIB 30 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	ORGANON SALUD S.L.	0	0	0
706321	79786	ETORICOXIB KERN PHARMA 30 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 30 mg comprimido	30 mg	Blister	28	comprimido	ETORICOXIB 30 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	KERN PHARMA S.L.	0	0	0
706322	79787	ETORICOXIB KERN PHARMA 60 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 60 mg comprimido	60 mg	Blister	28	comprimido	ETORICOXIB 60 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	KERN PHARMA S.L.	0	0	0
706323	79788	ETORICOXIB KERN PHARMA 90 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 90 mg comprimido	90 mg	Blister	28	comprimido	ETORICOXIB 90 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	KERN PHARMA S.L.	0	0	0
706324	79789	ETORICOXIB KERN PHARMA 120 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 120 mg comprimido	120 mg	Blister	7	comprimido	ETORICOXIB 120 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	KERN PHARMA S.L.	0	0	0
707988	80262	ETORICOXIB SANDOZ 60 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 60 mg comprimido	60 mg	Blister	28	comprimido	ETORICOXIB 60 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	SANDOZ FARMACEUTICA S.A.	0	0	0
707989	80263	ETORICOXIB SANDOZ 120 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 120 mg comprimido	120 mg	Blister	7	comprimido	ETORICOXIB 120 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	SANDOZ FARMACEUTICA S.A.	0	0	0
707990	80264	ETORICOXIB SANDOZ 90 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 90 mg comprimido	90 mg	Blister	28	comprimido	ETORICOXIB 90 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	SANDOZ FARMACEUTICA S.A.	0	0	0
707991	80265	ETORICOXIB SANDOZ 30 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 30 mg comprimido	30 mg	Blister	28	comprimido	ETORICOXIB 30 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	SANDOZ FARMACEUTICA S.A.	0	0	0
708430	80373	ETORICOXIB VIATRIS 60 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 60 mg comprimido	60 mg	Blister	28	comprimido	ETORICOXIB 60 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	VIATRIS LIMITED	0	0	0
708492	80375	ETORICOXIB VIATRIS 30 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 30 mg comprimido	30 mg	Blister	28	comprimido	ETORICOXIB 30 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	VIATRIS LIMITED	0	0	0
710036	80672	TORIXIB 120 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 120 mg comprimido	120 mg	Blister	7	comprimido	ETORICOXIB 120 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	NEURAXPHARM SPAIN S.L.	0	0	0
710040	80673	TORIXIB 30 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 30 mg comprimido	30 mg	Blister	28	comprimido	ETORICOXIB 30 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	NEURAXPHARM SPAIN S.L.	0	0	0
710042	80674	TORIXIB 60 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 60 mg comprimido	60 mg	Blister	28	comprimido	ETORICOXIB 60 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	NEURAXPHARM SPAIN S.L.	0	0	0
710044	80675	TORIXIB 90 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 90 mg comprimido	90 mg	Blister	28	comprimido	ETORICOXIB 90 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	NEURAXPHARM SPAIN S.L.	0	0	0
710270	80374	ETORICOXIB VIATRIS 90 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 90 mg comprimido	90 mg	Blister	28	comprimido	ETORICOXIB 90 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	VIATRIS LIMITED	0	0	0
710272	80376	ETORICOXIB VIATRIS 120 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 120 mg comprimido	120 mg	Blister	7	comprimido	ETORICOXIB 120 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	VIATRIS LIMITED	0	0	0
710366	80751	ETORICOXIB CINFA 60 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 60 mg comprimido	60 mg	Blister	28	comprimido	ETORICOXIB 60 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	LABORATORIOS CINFA S.A.	0	0	0
710367	80752	ETORICOXIB CINFA 30 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 30 mg comprimido	30 mg	Blister	28	comprimido	ETORICOXIB 30 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	LABORATORIOS CINFA S.A.	0	0	0
710370	80753	ETORICOXIB CINFA 90 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Etoricoxib 90 mg comprimido	90 mg	Blister	28	comprimido	ETORICOXIB 90 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	M01AH05 - Etoricoxib	LABORATORIOS CINFA S.A.	0	0	0
