cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
605506	74307	GEPEX 25 mg COMPRIMIDOS RECUBIERTOS EFG	Exemestano 25 mg comprimido	25 mg	Blister	100	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	L02BG06 - Exemestano	GP PHARM S.A.	0	0	0
605620	74921	EXEMESTANO DESGEN 25 mg COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	100	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	LABORATORIO GENERFARMA S.L.	0	0	0
650932	73127	EXEMESTANO SANDOZ 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	SANDOZ FARMACEUTICA S.A.	0	0	0
672559	72794	EXEMESTANO ACCORD 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	ACCORD HEALTHCARE S.L.U.	0	0	0
673167	72701	EXEMESTANO AUROVITAS SPAIN 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	AUROVITAS SPAIN, S.A.U.	0	0	0
676092	73747	EXEMESTANO ZENTIVA 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	ZENTIVA K.S.	0	0	0
676097	73748	EXEMESTANO NORMON 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	LABORATORIOS NORMON S.A.	0	0	0
677012	73240	EXEMESTANO STADA 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	LABORATORIO STADA S.L.	0	0	0
677306	73273	EXEMESTANO KERN PHARMA 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	KERN PHARMA S.L.	0	0	0
677343	73282	EXEMESTANO TEVA-RATIOPHARM 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	TEVA PHARMA S.L.U.	0	0	0
680325	74030	EXEMESTANO URQUIMA 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	URQUIMA S.A.	0	0	0
681442	74307	GEPEX 25 mg COMPRIMIDOS RECUBIERTOS EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	L02BG06 - Exemestano	GP PHARM S.A.	0	0	0
681444	74309	EXEMESTANO TECNIGEN 25 mg COMPRIMIDOS RECUBIERTOS EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	L02BG06 - Exemestano	TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.	0	0	0
682755	74522	EXEMESTANO VIATRIS 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	VIATRIS LIMITED	0	0	0
685298	74921	EXEMESTANO DESGEN 25 mg COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	LABORATORIO GENERFARMA S.L.	0	0	0
687059	75283	EXEMESTANO VIR 25 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.	0	0	0
691118	75999	EXEMESTANO RATIOPHARM 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	TEVA PHARMA S.L.U.	0	0	0
694279	76699	EXEMESTANO CINFA 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	LABORATORIOS CINFA S.A.	0	0	0
696053	77006	EXEMESTANO WINADOL 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	FARMALIDER S.A.	0	0	0
696055	77007	EXEMESTANO FARMALIDER 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	FARMALIDER S.A.	0	0	0
697198	77248	EXEMESTANO SANDOZ 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG06 - Exemestano	SANDOZ FARMACEUTICA S.A.	0	0	0
722004	LT-1-2000-1224-001	AROMASIL 25 MG COMPRIMIDOS RECUBIERTOS	Exemestano 25 mg comprimido	30 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	L02BG06 - Exemestano	PFIZER EUROPE MA EEIG	0	0	0
729203	180322053786	AROMASIL 25 MG COMPRIMIDOS RECUBIERTOS	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	L02BG06 - Exemestano	PFIZER HELLAS S.A.	0	0	0
731545	20000458	AROMASIL 25 mg COMPRIMIDOS RECUBIERTOS	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	L02BG06 - Exemestano	PFIZER EUROPE MA EEIG	0	0	0
763296	14189-08-01-09-2009IP	AROMASIL 25 MG COMPRIMIDOS RECUBIERTOS	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	L02BG06 - Exemestano	PFIZER HELLAS S.A.	0	0	0
765351	20000458IP	AROMASIL 25 MG COMPRIMIDOS RECUBIERTOS	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	L02BG06 - Exemestano	PFIZER EUROPE MA EEIG	0	0	0
766169	LT120001224001IP	AROMASIL 25 mg COMPRIMIDOS RECUBIERTOS	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	L02BG06 - Exemestano	PFIZER EUROPE MA EEIG	0	0	0
767683	4400501C	AROMASIL 25 mg COMPRIMIDOS RECUBIERTOS	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	L02BG06 - Exemestano	PFIZER S.L.	0	0	0
866624	63029	AROMASIL 25 mg COMPRIMIDOS RECUBIERTOS	Exemestano 25 mg comprimido	25 mg	Blister	30	comprimido	EXEMESTANO 25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	L02BG06 - Exemestano	PFIZER S.L.	0	0	0
