cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
606119	65376	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
624049	65382	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
698136	77541	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
701644	78507	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
702838	78872	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
703872	79108	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
703873	79108	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
708220	80305	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
709197	80475	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
710879	80866	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
710890	80866	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
711479	81025	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
712148	81133	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
713588	81429	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
714102	81579	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
714406	81663	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
715261	81834	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
716601	82169	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
716765	82226	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
716766	82227	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
720004	82681	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
720538	82818	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
720602	82832	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
721895	83152	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
722020	83191	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
727629	81429	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
766119	82226	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
766120	82227	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
816462	65376	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
818872	65382	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
714098	81578	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
714298	81631	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
716646	82179	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
718808	82346	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
724709	PL00025-0609	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
726888	PL00025-0609IP	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
728916	PA-1286-061-001	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
728917	BE249094	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
729286	PA-1286-061-001IP	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
729289	BE249094IP	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
729516	PA1286-061-001IP1	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
732406	31-267-03-C	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
763101	BE249085	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
763873	BE249085IP	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
764026	3126703CIP	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
764033	BE249085IP1	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
765319	PA23198023001	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
765483	3126703CIP1	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
767144	6315201403	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
768947	6315201403IP	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
769161	6315201403IP1	1526476	ezetimibe 10 MG Oral Tablet	349556				2026-03-12
