cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
653437	34185	COLIRCUSI FENILEFRINA 100 mg/ml colirio en solución	Fenilefrina 100 mg/ml colirio	100 mg/ml	Frasco	10	ml	FENILEFRINA HIDROCLORURO 100 mg	VÍA OFTÁLMICA	COLIRIO EN SOLUCIÓN	1	S01FB01 - Fenilefrina	M4 PHARMA S.L.	1960-06-01	1	2013-01-03	Autorizado	1960-06-01	1	0	0	0
662509	70638	HIDROCLORURO DE FENILEFRINA ALTAN 10 mg/ml SOLUCION INYECTABLE	Fenilefrina 10 mg inyectable 1 ml	10 mg/ml inyectable 1 ml	Ampolla	10	ampolla para inyección	FENILEFRINA HIDROCLORURO 10 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE	1	C01CA06 - Fenilefrina	ALTAN PHARMACEUTICALS SA	2009-03-06	1	2011-11-15	Autorizado	2009-03-06	1	0	0	0
694224	60227	MIRAZUL 1,25 MG/ML COLIRIO EN SOLUCIÓN.	Fenilefrina 1,25 mg/ml colirio	1,25 mg/ml	Frasco	10	ml	FENILEFRINA HIDROCLORURO 1,25 mg	VÍA OFTÁLMICA	COLIRIO EN SOLUCIÓN	1	S01GA05 - Fenilefrina	LABORATORIO DE APLICACIONES FARMACODINAMICAS S.A.	1994-01-01	1	2012-01-02	Autorizado	1994-01-01	0	0	0	0
700120	33218	ADA SPRAY NASAL 0,5%	Fenilefrina 5 mg/ml producto uso nasal	5 mg/ml	Botella	15	ml	FENILEFRINA HIDROCLORURO 5 mg	VÍA NASAL	SOLUCION PARA PULVERIZACION NASAL	1	R01AA04 - Fenilefrina	LABORATORIO ESTEDI S.L.	1960-02-01	0	2021-01-28	Anulado	2021-01-28	0	0	0	0
708351	80352	FENILEFRINA AGUETTANT 50 MICROGRAMOS/ML SOLUCION INYECTABLE EN JERINGA PRECARGADA	Fenilefrina 500 microgramos inyectable 10 ml jeringa precargada	500 microgramos inyectable 10 ml	Jeringa precargada	10	jeringa precargada	FENILEFRINA HIDROCLORURO 50 microgramos	VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	1	C01CA06 - Fenilefrina	LABORATOIRE AGUETTANT	2016-02-10	1	2016-10-06	Autorizado	2016-02-10	1	0	0	0
727429	84673	MINIMS FENILEFRINA HIDROCLORURO 100 MG/ML COLIRIO EN SOLUCION	Fenilefrina 100 mg/ml colirio envase unidosis	100 mg/ml	Envase unidosis	20	envase uso oftalmico unidosis	FENILEFRINA HIDROCLORURO 100 mg	VÍA OFTÁLMICA	COLIRIO EN SOLUCIÓN	1	S01FB01 - Fenilefrina	BAUSCH + LOMB IRELAND LIMITED	2019-11-26	1	2020-05-05	Autorizado	2019-11-27	1	0	0	0
728248	84988	FENILEFRINA ALTAN 0,1 MG/ML SOLUCION INYECTABLE Y PARA PERFUSION	Fenilefrina 80 microgramos/ml inyectable perfusión 100 ml	80 microgramos/ml inyectable 100 ml	Bolsa	10	bolsa perfusión	FENILEFRINA HIDROCLORURO 80 microgramos	VÍA INTRAVENOSA	SOLUCION INYECTABLE Y PARA PERFUSION	1	C01CA06 - Fenilefrina	ALTAN PHARMACEUTICALS SA	2020-04-01	1	2020-10-01	Autorizado	2020-04-02	1	0	0	0
728518	85084	FENILEFRINA AGUETTANT 100 MICROGRAMOS/ML SOLUCION INYECTABLE Y PARA PERFUSION	Fenilefrina 100 microgramos/ml inyectable perfusión 20 ml	100 microgramos/ml inyectable 20 ml	Vial	10	vial para inyección	FENILEFRINA HIDROCLORURO 100 microgramos	VÍA INTRAVENOSA	SOLUCION INYECTABLE Y PARA PERFUSION	1	C01CA06 - Fenilefrina	LABORATOIRE AGUETTANT	2020-05-18	1	2021-11-02	Autorizado	2020-05-19	1	0	0	0
746081	46297	DISNEUMON PERNASAL 5 MG/ML SOLUCION PARA PULVERIZACION	Fenilefrina 5 mg/ml producto uso nasal	5 mg/ml	Frasco	25	ml	FENILEFRINA HIDROCLORURO 5 mg	VÍA NASAL	SOLUCION PARA PULVERIZACION NASAL	1	R01AA04 - Fenilefrina	COOPER CONSUMER HEALTH B.V.	1968-07-01	1	2012-01-09	Autorizado	1968-07-01	0	0	0	0
846998	18402	VISADRON 1,25 mg/ml COLIRIO EN SOLUCION	Fenilefrina 1,25 mg/ml colirio	1,25 mg/ml	Frasco	10	ml	FENILEFRINA HIDROCLORURO 1,25 mg	VÍA OFTÁLMICA	COLIRIO EN SOLUCIÓN	1	S01GA05 - Fenilefrina	SANOFI AVENTIS S.A.	1953-01-01	0	2021-04-13	Anulado	2021-04-13	0	0	0	0
