cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
600139	65372	FENITOINA ALTAN 50 MG/ ML SOLUCION INYECTABLE	Fenitoína 100 mg inyectable 2 ml	100 mg	Ampolla	50	ampolla para inyección	FENITOINA SODICA 50 mg	VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	N03AB02 - Fenitoina	ALTAN PHARMACEUTICALS SA	0	0	0
600700	56245	FENITOINA RUBIO 50 MG/ML SOLUCIÓN INYECTABLE	Fenitoína 250 mg inyectable 5 ml	250 mg	Ampolla	50	ampolla para inyección	FENITOINA SODICA 50 mg	VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	N03AB02 - Fenitoina	LABORATORIOS RUBIO S.A.	0	0	0
619825	56245	FENITOINA RUBIO 50 MG/ML SOLUCIÓN INYECTABLE	Fenitoína 100 mg inyectable 2 ml	100 mg	Ampolla	50	ampolla para inyección	FENITOINA SODICA 50 mg	VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	N03AB02 - Fenitoina	LABORATORIOS RUBIO S.A.	0	0	0
619833	56245	FENITOINA RUBIO 50 MG/ML SOLUCIÓN INYECTABLE	Fenitoína 100 mg inyectable 2 ml	100 mg	Ampolla	100	ampolla para inyección	FENITOINA SODICA 50 mg	VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	N03AB02 - Fenitoina	LABORATORIOS RUBIO S.A.	0	0	0
621136	65372	FENITOINA ALTAN 50 MG/ ML SOLUCION INYECTABLE	Fenitoína 250 mg inyectable 5 ml	250 mg	Ampolla	50	ampolla para inyección	FENITOINA SODICA 50 mg	VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	N03AB02 - Fenitoina	ALTAN PHARMACEUTICALS SA	0	0	0
627182	56245	FENITOINA RUBIO 50 MG/ML SOLUCIÓN INYECTABLE	Fenitoína 250 mg inyectable 5 ml	250 mg	Ampolla	100	ampolla para inyección	FENITOINA SODICA 50 mg	VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	N03AB02 - Fenitoina	LABORATORIOS RUBIO S.A.	0	0	0
650905	5970	SINERGINA 100 mg COMPRIMIDOS	Fenitoína 100 mg comprimido	100 mg	Blister	100	comprimido	FENITOINA 100 mg	VÍA ORAL	COMPRIMIDO	N03AB02 - Fenitoina	FAES FARMA S.A.	0	0	0
750976	45695	EPANUTIN 100 mg CAPSULAS DURAS	Fenitoína 100 mg cápsula	100 mg	Frasco	100	cápsula	FENITOINA SODICA 100 mg	VÍA ORAL	CÁPSULA DURA	N03AB02 - Fenitoina	VIATRIS HEALTHCARE LIMITED	0	0	0
873471	56245	FENITOINA RUBIO 50 MG/ML SOLUCIÓN INYECTABLE	Fenitoína 100 mg inyectable 2 ml	100 mg	Ampolla	1	ampolla para inyección	FENITOINA SODICA 50 mg	VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	N03AB02 - Fenitoina	LABORATORIOS RUBIO S.A.	0	0	0
959635	56245	FENITOINA RUBIO 50 MG/ML SOLUCIÓN INYECTABLE	Fenitoína 250 mg inyectable 5 ml	250 mg inyectable 5 ml	Ampolla	1	ampolla para inyección	FENITOINA SODICA 50 mg	VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	N03AB02 - Fenitoina	LABORATORIOS RUBIO S.A.	0	0	0
