cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
677661	11677005	GILENYA 0,5 mg CAPSULAS DURAS	Fingolimod 0,5 mg cápsula	0,5 mg	Blister	28	cápsula	FINGOLIMOD 0,5 mg	VÍA ORAL	CÁPSULA DURA	L04AE01 - Fingolimod	NOVARTIS EUROPHARM LIMITED	0	0	0
728906	85234	FINGOLIMOD SUN 0,5 MG CAPSULAS DURAS EFG	Fingolimod 0,5 mg cápsula	0,5 mg	Blister	28	cápsula	FINGOLIMOD HIDROCLORURO 0,5 mg	VÍA ORAL	CÁPSULA DURA	L04AE01 - Fingolimod	SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.	0	0	0
729032	85299	FINGOLIMOD VIATRIS PHARMACEUTICALS 0,5 MG CAPSULAS DURAS EFG	Fingolimod 0,5 mg cápsula	0,5 mg	Blister	28	cápsula	FINGOLIMOD HIDROCLORURO 0,5 mg	VÍA ORAL	CÁPSULA DURA	L04AE01 - Fingolimod	VIATRIS PHARMACEUTICALS S.L.	0	0	0
729080	85323	FINGOLIMOD TARBIS 0,5 MG CAPSULAS DURAS EFG	Fingolimod 0,5 mg cápsula	0,5 mg	Blister	28	cápsula	FINGOLIMOD HIDROCLORURO 0,5 mg	VÍA ORAL	CÁPSULA DURA	L04AE01 - Fingolimod	TARBIS FARMA S.L.	0	0	0
729331	85443	FINGOLIMOD STADA 0,5 MG CAPSULAS DURAS  EFG	Fingolimod 0,5 mg cápsula	0,5 mg	Blister	28	cápsula	FINGOLIMOD HIDROCLORURO 0,5 mg	VÍA ORAL	CÁPSULA DURA	L04AE01 - Fingolimod	LABORATORIO STADA S.L.	0	0	0
729764	85564	LOGNIF 0,25 MG CAPSULAS DURAS EFG	Fingolimod 0,25 mg cápsula	0,25 mg	Blister	28	cápsula	FINGOLIMOD HIDROCLORURO 0,25 mg	VÍA ORAL	CÁPSULA DURA	L04AE01 - Fingolimod	TEVA PHARMA S.L.U.	0	0	0
729766	85565	LOGNIF 0,5 MG CAPSULAS DURAS EFG	Fingolimod 0,5 mg cápsula	0,5 mg	Blister	28	cápsula	FINGOLIMOD HIDROCLORURO 0,5 mg	VÍA ORAL	CÁPSULA DURA	L04AE01 - Fingolimod	TEVA PHARMA S.L.U.	0	0	0
730047	85670	FINGOLIMOD ZENTIVA 0,5 MG CAPSULAS DURAS EFG	Fingolimod 0,5 mg cápsula	0,5 mg	Blister	28	cápsula	FINGOLIMOD HIDROCLORURO 0,5 mg	VÍA ORAL	CÁPSULA DURA	L04AE01 - Fingolimod	ZENTIVA K.S.	0	0	0
730401	85778	FINGOLIMOD KRKA 0,5 MG CAPSULAS DURAS EFG	Fingolimod 0,5 mg cápsula	0,5 mg	Blister	28	cápsula	FINGOLIMOD HIDROCLORURO 0,5 mg	VÍA ORAL	CÁPSULA DURA	L04AE01 - Fingolimod	KRKA D.D. NOVO MESTO	0	0	0
730521	85825	FINGOLIMOD DR. REDDYS 0,5 MG CAPSULAS DURAS EFG	Fingolimod 0,5 mg cápsula	0,5 mg	Blister	28	cápsula	FINGOLIMOD HIDROCLORURO 0,5 mg	VÍA ORAL	CÁPSULA DURA	L04AE01 - Fingolimod	REDDY PHARMA IBERIA S.A.	0	0	0
