cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
696919	77173	FLECAINIDA AUROVITAS 100 MG COMPRIMIDOS EFG	Flecainida 100 mg comprimido	100 mg	Blister	30	comprimido	FLECAINIDA ACETATO 100 mg	VÍA ORAL	COMPRIMIDO	C01BC04 - Flecainida	AUROVITAS SPAIN, S.A.U.	0	0	0
696924	77173	FLECAINIDA AUROVITAS 100 MG COMPRIMIDOS EFG	Flecainida 100 mg comprimido	100	Blister	60	comprimido	FLECAINIDA ACETATO 100 mg	VÍA ORAL	COMPRIMIDO	C01BC04 - Flecainida	AUROVITAS SPAIN, S.A.U.	0	0	0
700055	78070	FLECARD 100 MG COMPRIMIDOS EFG	Flecainida 100 mg comprimido	100 mg	Blister	30	comprimido	FLECAINIDA ACETATO 100 mg	VÍA ORAL	COMPRIMIDO	C01BC04 - Flecainida	NEURAXPHARM SPAIN S.L.	0	0	0
700056	78070	FLECARD 100 MG COMPRIMIDOS EFG	Flecainida 100 mg comprimido	100 mg	Blister	60	comprimido	FLECAINIDA ACETATO 100 mg	VÍA ORAL	COMPRIMIDO	C01BC04 - Flecainida	NEURAXPHARM SPAIN S.L.	0	0	0
704661	79329	FLECAINIDA NORMON 100 MG COMPRIMIDOS EFG	Flecainida 100 mg comprimido	100 mg	Blister	30	comprimido	FLECAINIDA ACETATO 100 mg	VÍA ORAL	COMPRIMIDO	C01BC04 - Flecainida	LABORATORIOS NORMON S.A.	0	0	0
704662	79329	FLECAINIDA NORMON 100 MG COMPRIMIDOS EFG	Flecainida 100 mg comprimido	100 mg	Blister	60	comprimido	FLECAINIDA ACETATO 100 mg	VÍA ORAL	COMPRIMIDO	C01BC04 - Flecainida	LABORATORIOS NORMON S.A.	0	0	0
704691	79337	FLECAINIDA APOTEX 100 MG COMPRIMIDOS EFG	Flecainida 100 mg comprimido	100 mg	Blister	30	comprimido	FLECAINIDA ACETATO 100 mg	VÍA ORAL	COMPRIMIDO	C01BC04 - Flecainida	APOTEX EUROPE B.V.	0	0	0
704693	79337	FLECAINIDA APOTEX 100 MG COMPRIMIDOS EFG	Flecainida 100 mg comprimido	100 mg	Blister	60	comprimido	FLECAINIDA ACETATO 100 mg	VÍA ORAL	COMPRIMIDO	C01BC04 - Flecainida	APOTEX EUROPE B.V.	0	0	0
859991	57532	APOCARD 100 mg COMPRIMIDOS	Flecainida 100 mg comprimido	100 mg	Blister	30	comprimido	FLECAINIDA ACETATO 100 mg	VÍA ORAL	COMPRIMIDO	C01BC04 - Flecainida	VIATRIS HEALTHCARE LIMITED	0	0	0
860213	57532	APOCARD 100 mg COMPRIMIDOS	Flecainida 100 mg comprimido	100 mg	Blister	60	comprimido	FLECAINIDA ACETATO 100 mg	VÍA ORAL	COMPRIMIDO	C01BC04 - Flecainida	VIATRIS HEALTHCARE LIMITED	0	0	0
976258	57514	APOCARD 10 mg/ml SOLUCION INYECTABLE	Flecainida 10 mg/ml inyectable 15 ml	10 mg/ml inyectable 15 ml	Ampolla	5	ampolla para inyección	FLECAINIDA ACETATO 10 mg	VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	C01BC04 - Flecainida	VIATRIS HEALTHCARE LIMITED	0	0	0
