cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
675820	72938	19101782	flurbiprofen 8.75 MG Oral Lozenge	389247				
695552	76902	19101782	flurbiprofen 8.75 MG Oral Lozenge	389247				
704906	79428	43585968	Flurbiprofen 16.2 MG/ML Oral Spray	OMOP656712				
715501	81911	19101782	flurbiprofen 8.75 MG Oral Lozenge	389247				
715502	81912	19101782	flurbiprofen 8.75 MG Oral Lozenge	389247				
725283	83997	19102055	flurbiprofen 8.75 MG	393448	BROAD			
727293	84617	43585968	Flurbiprofen 16.2 MG/ML Oral Spray	OMOP656712				
728331	85007	19101782	flurbiprofen 8.75 MG Oral Lozenge	389247				
729656	85542	19102055	flurbiprofen 8.75 MG	393448	BROAD			
729708	85551	19101782	flurbiprofen 8.75 MG Oral Lozenge	389247				
734052	86532	19101782	flurbiprofen 8.75 MG Oral Lozenge	389247				
