cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
600587	67795	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
600588	67795	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
600589	67795	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
600592	67796	42937947	Glucose 100 MG/ML Injectable Solution	OMOP4664627	EXACT			2026-03-12
600595	67797	589977	Glucose 200 MG/ML Injectable Solution	OMOP3137823	EXACT			2026-03-12
600596	67797	589977	Glucose 200 MG/ML Injectable Solution	OMOP3137823	EXACT			2026-03-12
602430	45441	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
602431	45441	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
602432	45441	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
602434	45441	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
602435	45441	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
603211	67795	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
603212	67796	42937947	Glucose 100 MG/ML Injectable Solution	OMOP4664627	EXACT			2026-03-12
603476	72434	42937947	Glucose 100 MG/ML Injectable Solution	OMOP4664627	EXACT			2026-03-12
603477	72434	42937947	Glucose 100 MG/ML Injectable Solution	OMOP4664627	EXACT			2026-03-12
603601	67796	42937947	Glucose 100 MG/ML Injectable Solution	OMOP4664627	EXACT			2026-03-12
603602	67796	42937947	Glucose 100 MG/ML Injectable Solution	OMOP4664627	EXACT			2026-03-12
603603	67796	42937947	Glucose 100 MG/ML Injectable Solution	OMOP4664627	EXACT			2026-03-12
603608	67795	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
603609	67795	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
603610	67795	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
603612	67795	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
603614	67795	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
603615	67795	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
603616	67795	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
603617	67795	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
603618	67795	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
605667	57864	1560556	glucose 500 MG/ML Injectable Solution	237653	EXACT			2026-03-12
605872	45441	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
605874	45441	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
605875	45441	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
605876	45441	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
606070	58903	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT			2026-03-12
