cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
606981	68925	POTASIO ALTAN 0,04 mEq/ ml EN GLUCOSA 5% SOLUCION PARA PERFUSION	Glucosa 5%/Potasio cloruro 20 meq/500 ml inyectable perfusión	5% + 0,04 mEq/ml	Bolsa	20	bolsa perfusión	GLUCOSA MONOHIDRATO 50 mg|CLORURO DE POTASIO 3 mg	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	2	B05BB02 - Electrolitos con carbohidratos	ALTAN PHARMACEUTICALS SA	2007-06-12	0	2025-03-27	Anulado	2025-03-27	1	0	0	0
606983	68924	POTASIO ALTAN 0,02 MEQ/ ML EN GLUCOSA  5% SOLUCION PARA PERFUSION	Glucosa 5%/Potasio cloruro 10 meq/500 ml inyectable perfusión	5% + 0,02 mEq/ml	Bolsa	20	bolsa perfusión	GLUCOSA MONOHIDRATO 50 mg|CLORURO DE POTASIO 1,5 mg	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	2	B05BB02 - Electrolitos con carbohidratos	ALTAN PHARMACEUTICALS SA	2007-06-12	0	2025-03-27	Anulado	2025-03-27	1	0	0	0
607014	82652	POTASIO KABI 0,02 MEQ/ML EN GLUCOSA 5% SOLUCION PARA PERFUSION EFG	Glucosa 5%/Potasio cloruro 10 meq/500 ml inyectable perfusión	5% + 10 meq/500 ml	Frasco	10	frasco perfusión	GLUCOSA MONOHIDRATO 50 mg|CLORURO DE POTASIO 0,02 mEq	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	2	B05BB02 - Electrolitos con carbohidratos	FRESENIUS KABI ESPAÑA, S.A.U.	2018-03-22	1	2019-03-13	Autorizado	2018-03-22	1	0	0	0
607015	82652	POTASIO KABI 0,02 MEQ/ML EN GLUCOSA 5% SOLUCION PARA PERFUSION EFG	Glucosa 5%/Potasio cloruro 20 meq/1.000 ml inyectable perfusión	5%+20 meq/1.000 ml inyectable	Frasco	10	frasco perfusión	GLUCOSA MONOHIDRATO 50 mg|CLORURO DE POTASIO 0,02 mEq	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	2	B05BB02 - Electrolitos con carbohidratos	FRESENIUS KABI ESPAÑA, S.A.U.	2018-03-22	1	2019-01-10	Autorizado	2018-03-22	1	0	0	0
607016	82653	POTASIO KABI 0,04 MEQ/ML EN GLUCOSA 5% SOLUCION PARA PERFUSION EFG	Glucosa 5%/Potasio cloruro 20 meq/500 ml inyectable perfusión	5% + 20 meq/500 ml inyectable	Frasco	10	frasco perfusión	GLUCOSA MONOHIDRATO 50 mg|CLORURO DE POTASIO 0,04 mEq	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	2	B05BB02 - Electrolitos con carbohidratos	FRESENIUS KABI ESPAÑA, S.A.U.	2018-03-22	1	2019-03-13	Autorizado	2018-03-22	1	0	0	0
607017	82653	POTASIO KABI 0,04 MEQ/ML EN GLUCOSA 5% SOLUCION PARA PERFUSION EFG	Glucosa 5%/Potasio cloruro 40 meq/1.000 ml inyectable perfusión	5% + 40 meq/1.000 ml	Frasco	10	frasco perfusión	GLUCOSA MONOHIDRATO 50 mg|CLORURO DE POTASIO 0,04 mEq	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	2	B05BB02 - Electrolitos con carbohidratos	FRESENIUS KABI ESPAÑA, S.A.U.	2018-03-22	1	2019-01-15	Autorizado	2018-03-22	1	0	0	0
607775	65421	VIAFLO GLUCOSA 5% Y CLORURO POTÁSICO 0,15%, SOLUCIÓN PARA PERFUSIÓN	Glucosa 5%/Potasio cloruro 20 meq/1.000 ml inyectable perfusión	5% + 20 meq/1.000 ml	Bolsa	12	bolsa perfusión	GLUCOSA MONOHIDRATO 50 mg|CLORURO DE POTASIO 0,02 mEq	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	2	B05BB92 - Suero glucosalino	BAXTER S.L.	2003-06-10	1	2025-10-07	Autorizado	2003-06-10	1	0	0	0
626093	65421	VIAFLO GLUCOSA 5% Y CLORURO POTÁSICO 0,15%, SOLUCIÓN PARA PERFUSIÓN	Glucosa 5%/Potasio cloruro 10 meq/500 ml inyectable perfusión	5% + 10 meq/500 ml	Bolsa	20	bolsa perfusión	GLUCOSA MONOHIDRATO 50 mg|CLORURO DE POTASIO 0.02 mg	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	2	B05BB92 - Suero glucosalino	BAXTER S.L.	2003-06-10	1	2011-06-24	Autorizado	2003-06-10	1	0	0	0
626218	65421	VIAFLO GLUCOSA 5% Y CLORURO POTÁSICO 0,15%, SOLUCIÓN PARA PERFUSIÓN	Glucosa 5%/Potasio cloruro 20 meq/1.000 ml inyectable perfusión	5% + 20 meq/1.000 ml	Bolsa	10	bolsa perfusión	GLUCOSA MONOHIDRATO 50 mg|CLORURO DE POTASIO 0.02 mg	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	2	B05BB92 - Suero glucosalino	BAXTER S.L.	2003-06-10	1	2011-06-24	Autorizado	2003-06-10	1	0	0	0
626234	65427	VIAFLO GLUCOSA 5% Y CLORURO POTÁSICO 0,3%, SOLUCIÓN PARA PERFUSIÓN	Glucosa 5%/Potasio cloruro 20 meq/500 ml inyectable perfusión	5% + 20 meq/500 ml	Bolsa	20	bolsa perfusión	GLUCOSA MONOHIDRATO 50 mg|CLORURO DE POTASIO 0.04 mg	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	2	B05BB92 - Suero glucosalino	BAXTER S.L.	2003-06-10	1	2011-08-09	Autorizado	2003-06-10	1	0	0	0
