cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
709247	1151040002	Intuniv 1mg comprimidos de liberacion prolongada	Guanfacina 1 mg comprimido liberación modificada	1 mg	Blister	28	comprimido	GUANFACINA HIDROCLORURO 1 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	C02AC02 - Guanfacina	TAKEDA PHARMACEUTICALS INTERNATIONAL AG IRELAND BRANCH	0	0	0
709248	1151040004	Intuniv 2mg comprimidos de liberacion prolongada	Guanfacina 2 mg comprimido liberación modificada	2 mg	Blister	28	comprimido	GUANFACINA HIDROCLORURO 2 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	C02AC02 - Guanfacina	TAKEDA PHARMACEUTICALS INTERNATIONAL AG IRELAND BRANCH	0	0	0
709249	1151040006	Intuniv 3mg comprimidos de liberacion prolongada	Guanfacina 3 mg comprimido liberación modificada	3 mg	Blister	28	comprimido	GUANFACINA HIDROCLORURO 3 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	C02AC02 - Guanfacina	TAKEDA PHARMACEUTICALS INTERNATIONAL AG IRELAND BRANCH	0	0	0
709250	1151040008	Intuniv 4mg comprimidos de liberacion prolongada	Guanfacina 4 mg comprimido liberación modificada	4 mg	Blister	28	comprimido	GUANFACINA HIDROCLORURO 4 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	C02AC02 - Guanfacina	TAKEDA PHARMACEUTICALS INTERNATIONAL AG IRELAND BRANCH	0	0	0
767276	1241908001	PAXNEURY 1 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Guanfacina 1 mg comprimido liberación modificada	1 mg	Blister	28	comprimido	GUANFACINA HIDROCLORURO 1 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	C02AC02 - Guanfacina	NEURAXPHARM PHARMACEUTICALS S.L.	0	0	0
767278	1241908002	PAXNEURY 2 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Guanfacina 2 mg comprimido liberación modificada	2 mg	Blister	28	comprimido	GUANFACINA HIDROCLORURO 2 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	C02AC02 - Guanfacina	NEURAXPHARM PHARMACEUTICALS S.L.	0	0	0
767279	1241908003	PAXNEURY 3 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Guanfacina 3 mg comprimido liberación modificada	3 mg	Blister	28	comprimido	GUANFACINA HIDROCLORURO 3 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	C02AC02 - Guanfacina	NEURAXPHARM PHARMACEUTICALS S.L.	0	0	0
767280	1241908004	PAXNEURY 4 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Guanfacina 4 mg comprimido liberación modificada	4 mg	Blister	28	comprimido	GUANFACINA HIDROCLORURO 4 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	C02AC02 - Guanfacina	NEURAXPHARM PHARMACEUTICALS S.L.	0	0	0
767281	1241908005	PAXNEURY 5 MG COMPRIMIDOS DE LIBERACION PROLONGADA	Guanfacina 5 mg comprimido liberación modificada	5 mg	Blister	28	comprimido	GUANFACINA HIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	C02AC02 - Guanfacina	NEURAXPHARM PHARMACEUTICALS S.L.	0	0	0
767282	1241908006	PAXNEURY 6 MG COMPRIMIDOS DE LIBERACION PROLONGADA	Guanfacina 6 mg comprimido liberación modificada	6 mg	Blister	28	comprimido	GUANFACINA HIDROCLORURO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	C02AC02 - Guanfacina	NEURAXPHARM PHARMACEUTICALS S.L.	0	0	0
767283	1241908007	PAXNEURY 7 MG COMPRIMIDOS DE LIBERACION PROLONGADA	Guanfacina 7 mg comprimido liberación modificada	7 mg	Blister	28	comprimido	GUANFACINA HIDROCLORURO 7 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	C02AC02 - Guanfacina	NEURAXPHARM PHARMACEUTICALS S.L.	0	0	0
