cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
664209	71602	19019044	hydrochlorothiazide 50 MG Oral Tablet	197770	EXACT			
673778	73676	19019044	hydrochlorothiazide 50 MG Oral Tablet	197770	EXACT			
683670	74658	19019044	hydrochlorothiazide 50 MG Oral Tablet	197770	EXACT			
698137	77542	19078106	hydrochlorothiazide 25 MG Oral Tablet	310798	EXACT			
716146	82044	19078106	hydrochlorothiazide 25 MG Oral Tablet	310798	EXACT			
719540	82547	19078106	hydrochlorothiazide 25 MG Oral Tablet	310798	EXACT			
721071	82966	19078106	hydrochlorothiazide 25 MG Oral Tablet	310798	EXACT			
726070	84232	19078106	hydrochlorothiazide 25 MG Oral Tablet	310798	EXACT			
726071	84233	19019044	hydrochlorothiazide 50 MG Oral Tablet	197770	EXACT			
726392	84362	19078106	hydrochlorothiazide 25 MG Oral Tablet	310798	EXACT			
732584	86487	19078106	hydrochlorothiazide 25 MG Oral Tablet	310798	EXACT			
766560	90051	19106768	hydrochlorothiazide 12.5 MG Oral Tablet	429503	EXACT			
766561	90052	19078106	hydrochlorothiazide 25 MG Oral Tablet	310798	EXACT			
766562	90053	19019044	hydrochlorothiazide 50 MG Oral Tablet	197770	EXACT			
788059	31811	19019044	hydrochlorothiazide 50 MG Oral Tablet	197770	EXACT			
804328	31556	19078106	hydrochlorothiazide 25 MG Oral Tablet	310798	EXACT			
