cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
602806	69679	19081499	ibuprofen 600 MG	316077	BROAD			
603244	62974	19019073	ibuprofen 600 MG Oral Tablet	197806				
603626	72838	19019073	ibuprofen 600 MG Oral Tablet	197806				
605721	70039	19019073	ibuprofen 600 MG Oral Tablet	197806				
606813	80720	784896	100 ML Ibuprofen 6 MG/ML Injectable Solution	OMOP4832715				
619429	54985	19019072	ibuprofen 400 MG Oral Tablet	197805				
625681	65250	19019072	ibuprofen 400 MG Oral Tablet	197805				
631051	65251	19019073	ibuprofen 600 MG Oral Tablet	197806				
650141	66327	19019072	ibuprofen 400 MG Oral Tablet	197805				
650144	66329	19064433	ibuprofen 400 MG Oral Suspension	251270	EXACT			
650146	66330	19064433	ibuprofen 400 MG Oral Suspension	251270	EXACT			
650417	66455	19019073	ibuprofen 600 MG Oral Tablet	197806				
650418	66456	19019073	ibuprofen 600 MG Oral Tablet	197806				
651177	65503	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
652111	67036	1177512	ibuprofen 0.05 MG/MG Topical Gel	141997	EXACT			
652209	67070	19019073	ibuprofen 600 MG Oral Tablet	197806				
652238	67082	19019072	ibuprofen 400 MG Oral Tablet	197805				
652269	67094	19019073	ibuprofen 600 MG Oral Tablet	197806				
652647	67207	1177512	ibuprofen 0.05 MG/MG Topical Gel	141997	EXACT			
652732	67251	19019072	ibuprofen 400 MG Oral Tablet	197805				
652798	67278	19019072	ibuprofen 400 MG Oral Tablet	197805				
653404	65956	19019050	ibuprofen 20 MG/ML Oral Suspension	197803				
653818	67555	1177512	ibuprofen 0.05 MG/MG Topical Gel	141997	EXACT			
654642	67900	19019072	ibuprofen 400 MG Oral Tablet	197805				
654666	67916	1177480	ibuprofen	5640	BROAD			
654668	67918	19081499	ibuprofen 600 MG	316077	BROAD			
654685	67930	1177480	ibuprofen	5640	BROAD			
654686	67930	1177480	ibuprofen	5640	BROAD			
654687	67931	1177480	ibuprofen	5640	BROAD			
654694	67935	19019072	ibuprofen 400 MG Oral Tablet	197805				
654701	67939	19081499	ibuprofen 600 MG	316077	BROAD			
654702	67939	19081499	ibuprofen 600 MG	316077	BROAD			
655870	67963	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
655882	67968	19019072	ibuprofen 400 MG Oral Tablet	197805	EXACT			
656012	66020	19019050	ibuprofen 20 MG/ML Oral Suspension	197803				
656156	68079	19019050	ibuprofen 20 MG/ML Oral Suspension	197803				
656159	68079	19019050	ibuprofen 20 MG/ML Oral Suspension	197803				
656185	68086	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
656412	68194	19064433	ibuprofen 400 MG Oral Suspension	251270	EXACT			
656427	68200	1177480	ibuprofen	5640	BROAD			
656520	62258	19019072	ibuprofen 400 MG Oral Tablet	197805				
656538	62258	19019072	ibuprofen 400 MG Oral Tablet	197805				
656565	68004	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
658582	68517	1177662	ibuprofen 400 MG Oral Capsule	245417				
659086	62054	1177512	ibuprofen 0.05 MG/MG Topical Gel	141997	EXACT			
659951	69314	19081499	ibuprofen 600 MG	316077	BROAD			
659952	69314	19081499	ibuprofen 600 MG	316077	BROAD			
660008	69342	19081499	ibuprofen 600 MG	316077	BROAD			
660009	69342	19081499	ibuprofen 600 MG	316077	BROAD			
660010	69343	1177480	ibuprofen	5640	BROAD			
660011	69343	1177480	ibuprofen	5640	BROAD			
660476	69576	19081499	ibuprofen 600 MG	316077	BROAD			
660477	69576	19081499	ibuprofen 600 MG	316077	BROAD			
660694	69678	19081499	ibuprofen 600 MG	316077	BROAD			
660695	69678	19081499	ibuprofen 600 MG	316077	BROAD			
660697	69679	19081499	ibuprofen 600 MG	316077	BROAD			
660698	69679	19081499	ibuprofen 600 MG	316077	BROAD			
660779	62054	1177512	ibuprofen 0.05 MG/MG Topical Gel	141997	EXACT			
660780	69726	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
660782	69726	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
660949	69794	1177480	ibuprofen	5640	BROAD			
660950	69794	1177480	ibuprofen	5640	BROAD			
661406	70030	19019072	ibuprofen 400 MG Oral Tablet	197805				
661426	70039	19019073	ibuprofen 600 MG Oral Tablet	197806				
661658	70147	1177512	ibuprofen 0.05 MG/MG Topical Gel	141997	EXACT			
663044	70957	19081499	ibuprofen 600 MG	316077	BROAD			
663045	70957	19081499	ibuprofen 600 MG	316077	BROAD			
663060	70978	19081499	ibuprofen 600 MG	316077	BROAD			
663061	70978	19081499	ibuprofen 600 MG	316077	BROAD			
663655	69628	19019050	ibuprofen 20 MG/ML Oral Suspension	197803				
663972	71436	1177662	ibuprofen 400 MG Oral Capsule	245417				
664077	68079	19019050	ibuprofen 20 MG/ML Oral Suspension	197803				
664267	68004	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
665376	72293	1177512	ibuprofen 0.05 MG/MG Topical Gel	141997	EXACT			
666107	59166	19019050	ibuprofen 20 MG/ML Oral Suspension	197803				
669861	61618	19026060	ibuprofen 800 MG Extended Release Oral Tablet [Brufen Retard]	202095	EXACT			
672294	68517	1177662	ibuprofen 400 MG Oral Capsule	245417				
672534	72763	19064433	ibuprofen 400 MG Oral Suspension	251270	EXACT			
672546	72804	19081499	ibuprofen 600 MG	316077	BROAD			
672547	72804	19081499	ibuprofen 600 MG	316077	BROAD			
672609	72838	19019073	ibuprofen 600 MG Oral Tablet	197806				
672765	72989	1177512	ibuprofen 0.05 MG/MG Topical Gel	141997	EXACT			
672769	72983	19019073	ibuprofen 600 MG Oral Tablet	197806				
674911	63597	19019072	ibuprofen 400 MG Oral Tablet	197805				
677359	73491	19019072	ibuprofen 400 MG Oral Tablet	197805				
679845	54985	19019072	ibuprofen 400 MG Oral Tablet	197805				
681087	74204	19019073	ibuprofen 600 MG Oral Tablet	197806				
681090	74205	19019073	ibuprofen 600 MG Oral Tablet	197806				
681091	74207	19019073	ibuprofen 600 MG Oral Tablet	197806				
681094	74209	19019073	ibuprofen 600 MG Oral Tablet	197806				
681282	71436	1177662	ibuprofen 400 MG Oral Capsule	245417				
683756	74670	19019050	ibuprofen 20 MG/ML Oral Suspension	197803				
683758	74672	19019050	ibuprofen 20 MG/ML Oral Suspension	197803				
685705	73491	19019072	ibuprofen 400 MG Oral Tablet	197805				
686908	75244	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
687248	67918	19081499	ibuprofen 600 MG	316077	BROAD			
691705	63990	1177480	ibuprofen	5640	BROAD			
693136	76466	1177480	ibuprofen	5640	BROAD			
698075	77526	19019073	ibuprofen 600 MG Oral Tablet	197806				
698275	77615	19019073	ibuprofen 600 MG Oral Tablet	197806				
699127	77857	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
699128	77857	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
699129	77857	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
699130	77857	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
699134	77858	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
699135	77858	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
701428	78466	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
701701	78528	19019073	ibuprofen 600 MG Oral Tablet	197806				
701702	78529	19019072	ibuprofen 400 MG Oral Tablet	197805				
701705	78530	19019050	ibuprofen 20 MG/ML Oral Suspension	197803				
705627	79595	1177480	ibuprofen	5640	BROAD			
705629	79596	35870049	ibuprofen 400 MG Oral Granules	OMOP5026491	EXACT			
705631	79594	1177480	ibuprofen	5640	BROAD			
705633	79594	1177480	ibuprofen	5640	BROAD			
705634	79597	35870049	ibuprofen 400 MG Oral Granules	OMOP5026491	EXACT			
705635	79597	35870049	ibuprofen 400 MG Oral Granules	OMOP5026491	EXACT			
706115	79722	1177512	ibuprofen 0.05 MG/MG Topical Gel	141997	EXACT			
708168	80295	19019050	ibuprofen 20 MG/ML Oral Suspension	197803				
708170	80295	19019050	ibuprofen 20 MG/ML Oral Suspension	197803				
708258	80319	19019073	ibuprofen 600 MG Oral Tablet	197806				
708363	80360	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
708365	80360	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
708366	80360	19027494	ibuprofen 40 MG/ML Oral Suspension	204442	EXACT			
