cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
652777	59352	IGANTIBE 200 UI/ml SOLUCION INYECTABLE	Inmunoglobulina anti hepatitis B humana 100 UI inyectable IM 0,5 ml	100 UI inyectable 0,5 ml	Ampolla	1	ampolla para inyección	INMUNOGLOBULINA HUMANA ANTIHEPATITIS B 200 UI	VÍA INTRAMUSCULAR	SOLUCIÓN INYECTABLE	1	J06BB04 - Inmunoglobulina antihepatitis B	INSTITUTO GRIFOLS S.A.	1992-02-01	0	2025-12-11	Autorizado	1992-02-01	1	0	0	0
652778	59352	IGANTIBE 200 UI/ml SOLUCION INYECTABLE	Inmunoglobulina anti hepatitis B humana 600 UI inyectable IM 3 ml	600 UI	Ampolla	1	ampolla para inyección	INMUNOGLOBULINA HUMANA ANTIHEPATITIS B 200 UI	VÍA INTRAMUSCULAR	SOLUCIÓN INYECTABLE	1	J06BB04 - Inmunoglobulina antihepatitis B	INSTITUTO GRIFOLS S.A.	1992-02-01	1	2011-11-22	Autorizado	1992-02-01	1	0	0	0
652785	59352	IGANTIBE 200 UI/ml SOLUCION INYECTABLE	Inmunoglobulina anti hepatitis B humana 1.000 UI inyectable IM 5 ml	1.000 UI inyectable 5 ml	Ampolla	1	ampolla para inyección	INMUNOGLOBULINA HUMANA ANTIHEPATITIS B 200 UI	VÍA INTRAMUSCULAR	SOLUCIÓN INYECTABLE	1	J06BB04 - Inmunoglobulina antihepatitis B	INSTITUTO GRIFOLS S.A.	1992-02-01	0	2025-12-22	Autorizado	1992-02-01	1	0	0	0
660899	69770	NIULIVA 250 U.I./ml SOLUCION PARA PERFUSION	Inmunoglobulina anti hepatitis B humana 1.000 UI inyectable perfusión 4 ml jeringa precargada	250 UI/ml inyectable 4 ml	Jeringa precargada	1	jeringa precargada	INMUNOGLOBULINA HUMANA ANTIHEPATITIS B 250 UI	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	1	J06BB04 - Inmunoglobulina antihepatitis B	INSTITUTO GRIFOLS S.A.	2008-04-23	1	2011-10-20	Autorizado	2008-04-23	1	0	0	0
660900	69770	NIULIVA 250 U.I./ml SOLUCION PARA PERFUSION	Inmunoglobulina anti hepatitis B humana 5.000 UI inyectable perfusión 20 ml	250 UI/ml inyectable 20 ml	Vial	1	vial para inyección	INMUNOGLOBULINA HUMANA ANTIHEPATITIS B 250 UI	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	1	J06BB04 - Inmunoglobulina antihepatitis B	INSTITUTO GRIFOLS S.A.	2008-04-23	1	2011-10-20	Autorizado	2008-04-23	1	0	0	0
660901	69770	NIULIVA 250 U.I./ml SOLUCION PARA PERFUSION	Inmunoglobulina anti hepatitis B humana 10.000 UI inyectable perfusión 40 ml	250 UI/ml inyectable 40 ml	Vial	1	vial para inyección	INMUNOGLOBULINA HUMANA ANTIHEPATITIS B 250 UI	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	1	J06BB04 - Inmunoglobulina antihepatitis B	INSTITUTO GRIFOLS S.A.	2008-04-23	1	2011-10-20	Autorizado	2008-04-23	1	0	0	0
664610	70955	HEPATECT 50 UI/ml SOLUCION PARA PERFUSION	Inmunoglobulina anti hepatitis B humana 2.000 UI inyectable perfusión 40 ml	50 UI/ml inyectable  40 ml	Vial	1	vial para inyección	INMUNOGLOBULINA HUMANA ANTIHEPATITIS B 50 UI	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	1	J06BB04 - Inmunoglobulina antihepatitis B	BIOTEST PHARMA GMBH	2010-01-21	1	2011-02-14	Autorizado	2010-01-21	1	0	0	0
665954	09600001	ZUTECTRA 500 UI SOLUCION INYECTABLE EN JERINGA PRECARGADA	Inmunoglobulina anti hepatitis B humana 500 UI inyectable SC 1 ml jeringa precargada	500 UI	Jeringa precargada	5	jeringa precargada	INMUNOGLOBULINA HUMANA ANTIHEPATITIS B 500 UI	VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	1	J06BB04 - Inmunoglobulina antihepatitis B	BIOTEST PHARMA GMBH	2011-03-16	0	2021-09-21	Autorizado	2011-03-16	1	0	0	0
682628	70955	HEPATECT 50 UI/ml SOLUCION PARA PERFUSION	Inmunoglobulina anti hepatitis B humana 5.000 UI inyectable perfusión 100 ml	5.000 UI inyectable 100 ml	Vial	1	vial para inyección	INMUNOGLOBULINA HUMANA ANTIHEPATITIS B 50 UI	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	1	J06BB04 - Inmunoglobulina antihepatitis B	BIOTEST PHARMA GMBH	2010-01-21	1	2013-03-07	Autorizado	2010-01-21	1	0	0	0
764507	89428	IGANTIBE 200 UI/ML SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	Inmunoglobulina anti hepatitis B humana 100 UI inyectable IM 0,5 ml jeringa precargada	100 UI inyectable 0,5 ml	Jeringa precargada	1	jeringa precargada	INMUNOGLOBULINA HUMANA ANTIHEPATITIS B 200 UI	VÍA INTRAMUSCULAR	SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	1	J06BB04 - Inmunoglobulina antihepatitis B	INSTITUTO GRIFOLS S.A.	2024-03-08	1	2025-08-11	Autorizado	2024-03-09	1	0	0	0
