cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
719694	108470018	40222474	lacosamide 10 MG/ML Oral Solution [Vimpat]	995156	EXACT			2025-12-04
719938	82654	19132847	lacosamide 100 MG Oral Tablet	809987				
719940	82655	19132851	lacosamide 150 MG Oral Tablet	809992				
719942	82656	19132855	lacosamide 200 MG Oral Tablet	809996				
719944	82657	19132859	lacosamide 50 MG Oral Tablet	810000				
720054	82704	19132847	lacosamide 100 MG Oral Tablet	809987				
720055	82705	19132851	lacosamide 150 MG Oral Tablet	809992				
720056	82706	19132855	lacosamide 200 MG Oral Tablet	809996				
720057	82707	19132859	lacosamide 50 MG Oral Tablet	810000				
720400	82779	19132847	lacosamide 100 MG Oral Tablet	809987				
720402	82780	19132851	lacosamide 150 MG Oral Tablet	809992				
720610	82838	19132859	lacosamide 50 MG Oral Tablet	810000				
720611	82839	19132847	lacosamide 100 MG Oral Tablet	809987				
720612	82840	19132851	lacosamide 150 MG Oral Tablet	809992				
720613	82841	19132855	lacosamide 200 MG Oral Tablet	809996				
720955	82924	19132859	lacosamide 50 MG Oral Tablet	810000				
720957	82925	19132847	lacosamide 100 MG Oral Tablet	809987				
720959	82926	19132851	lacosamide 150 MG Oral Tablet	809992				
720961	82927	19132855	lacosamide 200 MG Oral Tablet	809996				
721081	82972	19132859	lacosamide 50 MG Oral Tablet	810000				
721082	82973	19132847	lacosamide 100 MG Oral Tablet	809987				
721083	82974	19132851	lacosamide 150 MG Oral Tablet	809992				
721085	82975	19132855	lacosamide 200 MG Oral Tablet	809996				
724415	83687	19132847	lacosamide 100 MG Oral Tablet	809987				
724416	83688	19132851	lacosamide 150 MG Oral Tablet	809992				
724417	83689	19132855	lacosamide 200 MG Oral Tablet	809996				
724418	83690	19132859	lacosamide 50 MG Oral Tablet	810000				
726717	84462	19132847	lacosamide 100 MG Oral Tablet	809987				
726718	84463	19132851	lacosamide 150 MG Oral Tablet	809992				
726719	84464	19132855	lacosamide 200 MG Oral Tablet	809996				
726720	84465	19132859	lacosamide 50 MG Oral Tablet	810000				
727247	84598	19132847	lacosamide 100 MG Oral Tablet	809987				
727249	84599	19132851	lacosamide 150 MG Oral Tablet	809992				
727250	84600	19132855	lacosamide 200 MG Oral Tablet	809996				
727251	84601	19132859	lacosamide 50 MG Oral Tablet	810000				
729260	85416	19132859	lacosamide 50 MG Oral Tablet	810000				
729261	85417	19132847	lacosamide 100 MG Oral Tablet	809987				
729262	85418	19132851	lacosamide 150 MG Oral Tablet	809992				
729263	85419	19132855	lacosamide 200 MG Oral Tablet	809996				
