cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
605628	75042	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
605932	76285	711620	5 ML levetiracetam 100 MG/ML Injection	647121	EXACT			2026-03-12
605985	74780	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
684650	74779	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2026-03-12
684651	74780	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
684656	74784	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
684657	74784	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
684663	74785	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2026-03-12
684673	74786	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
684692	74788	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
685085	74875	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2026-03-12
685087	74877	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
685090	74879	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
685091	74879	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
685138	74888	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2026-03-12
685141	74891	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
685143	74893	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
685144	74894	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2026-03-12
685145	74895	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
685159	74897	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
685377	74946	35603684	levetiracetam 250 MG Tablet for Oral Suspension	1736045	EXACT	upgraded from BROAD; granulado sobre maps to Tablet for Oral Suspension		2026-03-12
685401	74950	35603687	levetiracetam 500 MG Tablet for Oral Suspension	1736048	EXACT			2026-03-12
685421	74953	35603690	levetiracetam 750 MG Tablet for Oral Suspension	1736051	EXACT	upgraded from BROAD; granulado sobre maps to Tablet for Oral Suspension		2026-03-12
685422	74954	35603679	levetiracetam 1000 MG Tablet for Oral Suspension	1736037	EXACT	upgraded from BROAD; granulado sobre maps to Tablet for Oral Suspension		2026-03-12
685423	74954	35603679	levetiracetam 1000 MG Tablet for Oral Suspension	1736037	EXACT	upgraded from BROAD; granulado sobre maps to Tablet for Oral Suspension		2026-03-12
685773	75001	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2026-03-12
685777	75003	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
685780	75005	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
685781	75005	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
685992	75036	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
685995	75038	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
686011	75040	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2026-03-12
686013	75042	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
686016	75044	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
686136	75085	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2026-03-12
686138	75086	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
686142	75087	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
686531	75134	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2026-03-12
686532	75135	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
686533	75136	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
686578	75157	19102504	levetiracetam 100 MG/ML Oral Solution	403884	EXACT			2026-03-12
687139	75319	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
687140	75320	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
687618	75403	19102504	levetiracetam 100 MG/ML Oral Solution	403884	EXACT			2026-03-12
687638	75003	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
688451	75608	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
688546	75613	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
689261	75780	19102504	levetiracetam 100 MG/ML Oral Solution	403884	EXACT			2026-03-12
689263	75782	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
689266	75784	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
689832	75896	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
689833	75897	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
691783	76133	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
692008	76175	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
692056	76177	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
692415	76279	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2026-03-12
692416	76280	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
692417	76281	19078781	levetiracetam 750 MG Oral Tablet	311290	EXACT			2026-03-12
692419	76282	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
692436	76290	19078781	levetiracetam 750 MG Oral Tablet	311290	EXACT			2026-03-12
692437	76291	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2026-03-12
692438	76292	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
692439	76293	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
692653	76325	711620	5 ML levetiracetam 100 MG/ML Injection	647121	EXACT			2026-03-12
692715	76347	19102504	levetiracetam 100 MG/ML Oral Solution	403884	EXACT			2026-03-12
693011	76440	19102504	levetiracetam 100 MG/ML Oral Solution	403884	EXACT			2026-03-12
693062	76448	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2026-03-12
693065	76449	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
693066	76450	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
694801	76800	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2026-03-12
694805	76801	19102504	levetiracetam 100 MG/ML Oral Solution	403884	EXACT			2026-03-12
694820	76808	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
694822	76809	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
694823	76809	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
696659	75036	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
696959	76131	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2026-03-12
697031	100146033	711621	5 ML levetiracetam 100 MG/ML Injection [Keppra]	647123	EXACT			2025-12-04
697246	77263	19102504	levetiracetam 100 MG/ML Oral Solution	403884	EXACT			2026-03-12
697633	77414	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2026-03-12
697634	77415	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2026-03-12
