cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
652231	70754	LEVOCETIRIZINA SANDOZ 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Levocetirizina 5 mg comprimido	5 mg	Blister	20	comprimido	LEVOCETIRIZINA DIHIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	R06AE09 - Levocetirizina	SANDOZ FARMACEUTICA S.A.	0	0	0
653171	72513	ARALEVO 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Levocetirizina 5 mg comprimido	5 mg	Blister	20	comprimido	LEVOCETIRIZINA DIHIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	R06AE09 - Levocetirizina	ARAFARMA GROUP S.A.	0	0	0
656340	68153	XAZAL 0,5 mg/ml SOLUCION ORAL	Levocetirizina 0,5 mg/ml solución/suspensión oral	0,5 mg/ml	Frasco	200	ml	LEVOCETIRIZINA DIHIDROCLORURO 0,5 mg	VÍA ORAL	SOLUCIÓN ORAL	R06AE09 - Levocetirizina	UCB PHARMA S.A.	0	0	0
662470	70601	LEVOCETIRIZINA TEVA-RATIOPHARM 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Levocetirizina 5 mg comprimido	5 mg	Blister	20	comprimido	LEVOCETIRIZINA DIHIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	R06AE09 - Levocetirizina	TEVA PHARMA S.L.U.	0	0	0
664266	70758	LEVOCETIRIZINA RATIOPHARM 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Levocetirizina 5 mg comprimido	5 mg	Blister	20	comprimido	LEVOCETIRIZINA DIHIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	R06AE09 - Levocetirizina	TEVA PHARMA S.L.U.	0	0	0
665731	72513	ARALEVO 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Levocetirizina 5 mg comprimido	5 mg	Bote	30	comprimido	LEVOCETIRIZINA DIHIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	R06AE09 - Levocetirizina	ARAFARMA GROUP S.A.	0	0	0
672432	72812	LEVOCETIRIZINA APOTEX 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Levocetirizina 5 mg comprimido	5 mg	Blister	20	comprimido	LEVOCETIRIZINA DIHIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	R06AE09 - Levocetirizina	APOTEX EUROPE B.V.	0	0	0
672434	72764	LEVOCETIRIZINA VIATRIS 5 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG	Levocetirizina 5 mg comprimido	5 mg	Blister	20	comprimido	LEVOCETIRIZINA DIHIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	R06AE09 - Levocetirizina	VIATRIS PHARMACEUTICALS S.L.	0	0	0
672942	73155	LEVOCETIRIZINA CINFA 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Levocetirizina 5 mg comprimido	5 mg	Blister	20	comprimido	LEVOCETIRIZINA DIHIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	R06AE09 - Levocetirizina	LABORATORIOS CINFA S.A.	0	0	0
672957	73181	LEVOCETIRIZINA NORMON 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Levocetirizina 5 mg comprimido	5 mg	Blister	20	comprimido	LEVOCETIRIZINA DIHIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	R06AE09 - Levocetirizina	LABORATORIOS NORMON S.A.	0	0	0
