cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
661057	03260021	19127491	carbidopa 50 MG / entacapone 200 MG / levodopa 200 MG Oral Tablet [Stalevo]	730992	EXACT			2026-03-12
662846	03260026	19132881	carbidopa 18.75 MG / entacapone 200 MG / levodopa 75 MG Oral Tablet [Stalevo]	810094	EXACT			2026-03-12
662847	03260031	19132876	carbidopa 31.25 MG / entacapone 200 MG / levodopa 125 MG Oral Tablet [Stalevo]	810087	EXACT			2026-03-12
703407	78991	19102489	carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet	403851	EXACT			2026-03-12
703408	78992	19102490	carbidopa 37.5 MG / entacapone 200 MG / levodopa 150 MG Oral Tablet	403852	EXACT			2026-03-12
703409	78993	19132874	carbidopa 31.25 MG / entacapone 200 MG / levodopa 125 MG Oral Tablet	810083	EXACT			2026-03-12
703410	78994	36030184	carbidopa / entacapone / levodopa	404786	BROAD		carbidopa 43.75 MG / entacapone 200 MG / levodopa 175 MG Oral Tablet	2026-03-12
703411	78995	19127489	carbidopa 50 MG / entacapone 200 MG / levodopa 200 MG Oral Tablet	730988	EXACT			2026-03-12
703412	78996	19102488	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet	403850	EXACT			2026-03-12
703414	78997	19132879	carbidopa 18.75 MG / entacapone 200 MG / levodopa 75 MG Oral Tablet	810090	EXACT			2026-03-12
703498	79020	19102488	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet	403850	EXACT			2026-03-12
703499	79021	19132879	carbidopa 18.75 MG / entacapone 200 MG / levodopa 75 MG Oral Tablet	810090	EXACT			2026-03-12
703500	79022	19102489	carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet	403851	EXACT			2026-03-12
703501	79023	19132874	carbidopa 31.25 MG / entacapone 200 MG / levodopa 125 MG Oral Tablet	810083	EXACT			2026-03-12
703502	79024	19102490	carbidopa 37.5 MG / entacapone 200 MG / levodopa 150 MG Oral Tablet	403852	EXACT			2026-03-12
703503	79025	19127489	carbidopa 50 MG / entacapone 200 MG / levodopa 200 MG Oral Tablet	730988	EXACT			2026-03-12
703565	79036	19102489	carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet	403851	EXACT			2026-03-12
703566	79037	19132874	carbidopa 31.25 MG / entacapone 200 MG / levodopa 125 MG Oral Tablet	810083	EXACT			2026-03-12
703567	79038	19102490	carbidopa 37.5 MG / entacapone 200 MG / levodopa 150 MG Oral Tablet	403852	EXACT			2026-03-12
703568	79039	19127489	carbidopa 50 MG / entacapone 200 MG / levodopa 200 MG Oral Tablet	730988	EXACT			2026-03-12
703573	79043	19102488	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet	403850	EXACT			2026-03-12
703574	79044	19132879	carbidopa 18.75 MG / entacapone 200 MG / levodopa 75 MG Oral Tablet	810090	EXACT			2026-03-12
704420	79238	19132874	carbidopa 31.25 MG / entacapone 200 MG / levodopa 125 MG Oral Tablet	810083	EXACT			2026-03-12
704422	79239	19102490	carbidopa 37.5 MG / entacapone 200 MG / levodopa 150 MG Oral Tablet	403852	EXACT			2026-03-12
704424	79240	19102488	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet	403850	EXACT			2026-03-12
704426	79241	19102489	carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet	403851	EXACT			2026-03-12
704428	79242	19127489	carbidopa 50 MG / entacapone 200 MG / levodopa 200 MG Oral Tablet	730988	EXACT			2026-03-12
704436	79244	19132879	carbidopa 18.75 MG / entacapone 200 MG / levodopa 75 MG Oral Tablet	810090	EXACT			2026-03-12
704501	79275	19132874	carbidopa 31.25 MG / entacapone 200 MG / levodopa 125 MG Oral Tablet	810083	EXACT			2026-03-12
704503	79276	19102490	carbidopa 37.5 MG / entacapone 200 MG / levodopa 150 MG Oral Tablet	403852	EXACT			2026-03-12
704505	79278	19127489	carbidopa 50 MG / entacapone 200 MG / levodopa 200 MG Oral Tablet	730988	EXACT			2026-03-12
704506	79279	19102488	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet	403850	EXACT			2026-03-12
704507	79280	19132879	carbidopa 18.75 MG / entacapone 200 MG / levodopa 75 MG Oral Tablet	810090	EXACT			2026-03-12
704724	79353	19102489	carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet	403851	EXACT			2026-03-12
705800	79646	19132874	carbidopa 31.25 MG / entacapone 200 MG / levodopa 125 MG Oral Tablet	810083	EXACT			2026-03-12
705801	79647	19102489	carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet	403851	EXACT			2026-03-12
705802	79648	19102490	carbidopa 37.5 MG / entacapone 200 MG / levodopa 150 MG Oral Tablet	403852	EXACT			2026-03-12
705803	79649	19127489	carbidopa 50 MG / entacapone 200 MG / levodopa 200 MG Oral Tablet	730988	EXACT			2026-03-12
705804	79650	19102489	carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet	403851	EXACT			2026-03-12
705805	79651	19132874	carbidopa 31.25 MG / entacapone 200 MG / levodopa 125 MG Oral Tablet	810083	EXACT			2026-03-12
705807	79652	19102490	carbidopa 37.5 MG / entacapone 200 MG / levodopa 150 MG Oral Tablet	403852	EXACT			2026-03-12
705808	79653	36030184	carbidopa / entacapone / levodopa	404786	BROAD		carbidopa 43.75 MG / entacapone 200 MG / levodopa 175 MG Oral Tablet	2026-03-12
705809	79654	19127489	carbidopa 50 MG / entacapone 200 MG / levodopa 200 MG Oral Tablet	730988	EXACT			2026-03-12
705810	79655	19102488	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet	403850	EXACT			2026-03-12
705811	79656	19132879	carbidopa 18.75 MG / entacapone 200 MG / levodopa 75 MG Oral Tablet	810090	EXACT			2026-03-12
705812	79657	19132879	carbidopa 18.75 MG / entacapone 200 MG / levodopa 75 MG Oral Tablet	810090	EXACT			2026-03-12
705813	79658	19102488	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet	403850	EXACT			2026-03-12
706423	79839	19102489	carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet	403851	EXACT			2026-03-12
706424	79840	19102488	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet	403850	EXACT			2026-03-12
706425	79841	19127489	carbidopa 50 MG / entacapone 200 MG / levodopa 200 MG Oral Tablet	730988	EXACT			2026-03-12
706426	79842	19102490	carbidopa 37.5 MG / entacapone 200 MG / levodopa 150 MG Oral Tablet	403852	EXACT			2026-03-12
729104	85338	19102489	carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet	403851	EXACT			2026-03-12
729105	85339	19132874	carbidopa 31.25 MG / entacapone 200 MG / levodopa 125 MG Oral Tablet	810083	EXACT			2026-03-12
729106	85340	19102490	carbidopa 37.5 MG / entacapone 200 MG / levodopa 150 MG Oral Tablet	403852	EXACT			2026-03-12
729107	85341	19127489	carbidopa 50 MG / entacapone 200 MG / levodopa 200 MG Oral Tablet	730988	EXACT			2026-03-12
729108	85342	19102488	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet	403850	EXACT			2026-03-12
729109	85343	19132879	carbidopa 18.75 MG / entacapone 200 MG / levodopa 75 MG Oral Tablet	810090	EXACT			2026-03-12
731370	86092	36030184	carbidopa / entacapone / levodopa	404786	BROAD		levodopa 20 MG/ML / carbidopa 5 MG/ML / entacapone 20 MG/ML intestinal gel	2026-03-12
765534	103260036	21053457	Carbidopa 43.8 MG / entacapone 200 MG / Levodopa 175 MG Oral Tablet	OMOP380324	EXACT			2025-12-04
835371	03260003	19102816	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet [Stalevo]	404551	EXACT			2026-03-12
836163	03260007	19102817	carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet [Stalevo]	404552	EXACT			2026-03-12
836833	03260011	19102818	carbidopa 37.5 MG / entacapone 200 MG / levodopa 150 MG Oral Tablet [Stalevo]	404553	EXACT			2026-03-12
