cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
653694	67515	POSTINOR 1,5 mg COMPRIMIDO	Levonorgestrel 1,5 mg comprimido	1,5 mg	Blister	1	comprimido	LEVONORGESTREL 1,5 mg	VÍA ORAL	COMPRIMIDO	G03AD01 - Levonorgestrel	GEDEON RICHTER PLC.	0	0	0
654322	67770	NORLEVO 1,5 MG COMPRIMIDO	Levonorgestrel 1,5 mg comprimido	1,5 mg	Blister	1	comprimido	LEVONORGESTREL 1,5 mg	VÍA ORAL	COMPRIMIDO	G03AD01 - Levonorgestrel	LABORATOIRE HRA PHARMA	0	0	0
696907	77169	JAYDESS 13,5 MG SISTEMA DE LIBERACION INTRAUTERINO	Levonorgestrel 13,5 mg dispositivo intrauterino	13,5 mg	Blister	1	dispositivo intrauterino	LEVONORGESTREL 13,5 mg	VÍA INTRAUTERINA	SISTEMA DE LIBERACIÓN INTRAUTERINO	G02BA03 - DIU de plastico con progestageno	BAYER HISPANIA S.L.	0	0	0
701374	78438	LEVONORGESTREL SANDOZ 1,5 MG COMPRIMIDO EFG	Levonorgestrel 1,5 mg comprimido	1,5 mg	Blister	1	comprimido	LEVONORGESTREL 1,5 mg	VÍA ORAL	COMPRIMIDO	G03AD01 - Levonorgestrel	SANDOZ FARMACEUTICA S.A.	0	0	0
701866	78586	LEVONORGESTREL AUROVITAS 1,5 MG COMPRIMIDO EFG	Levonorgestrel 1,5 mg comprimido	1,5 mg	Blister	1	comprimido	LEVONORGESTREL 1,5 mg	VÍA ORAL	COMPRIMIDO	G03AD01 - Levonorgestrel	EUGIA PHARMA (MALTA) LIMITED	0	0	0
702564	78802	LEVONORGESTREL TEVA 1,5 MG COMPRIMIDO EFG	Levonorgestrel 1,5 mg comprimido	1,5 mg	Blister	1	comprimido	LEVONORGESTREL 1,5 mg	VÍA ORAL	COMPRIMIDO	G03AD01 - Levonorgestrel	TEVA PHARMA S.L.U.	0	0	0
702681	3400936413726	NORLEVO 1500 MICROGRAMOS COMPRIMIDO	Levonorgestrel 1,5 mg comprimido	1,5 mg	Blister	1	comprimido	LEVONORGESTREL 1,5 mg	VÍA ORAL	COMPRIMIDO	G03AD01 - Levonorgestrel	LABORATOIRE HRA PHARMA	0	0	0
702682	3400936413726IP	NORLEVO 1500 MICROGRAMOS COMPRIMIDO	Levonorgestrel 1,5 mg comprimido	1,5 mg	Blister	1	comprimido	LEVONORGESTREL 1,5 mg	VÍA ORAL	COMPRIMIDO	G03AD01 - Levonorgestrel	LABORATOIRE HRA PHARMA	0	0	0
702841	78873	LEVONORGESTREL EXELTIS 1,5 MG COMPRIMIDO EFG	Levonorgestrel 1,5 mg comprimido	1,5 mg	Blister	1	comprimido	LEVONORGESTREL 1,5 mg	VÍA ORAL	COMPRIMIDO	G03AD01 - Levonorgestrel	EXELTIS HEALTHCARE S.L.	0	0	0
702854	3400936413726IP1	NORLEVO 1500 MICROGRAMOS COMPRIMIDO	Levonorgestrel 1,5 mg comprimido	1500 microgramos	Blister	1	comprimido	LEVONORGESTREL 1500 microgramos	VÍA ORAL	COMPRIMIDO	G03AD01 - Levonorgestrel	LABORATOIRE HRA PHARMA	0	0	0
703022	78911	LEVONORGESTREL STADA 1.5 MG COMPRIMIDO EFG	Levonorgestrel 1,5 mg comprimido	1,5 mg	Blister	1	comprimido	LEVONORGESTREL 1,5 mg	VÍA ORAL	COMPRIMIDO	G03AD01 - Levonorgestrel	LABORATORIO STADA S.L.	0	0	0
