cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	sw_generico	biosimilar	radiofarmaco
650447	64647	LORATADINA VIR 10 mg COMPRIMIDOS EFG	Loratadina 10 mg comprimido	10 mg	Blister	20	comprimido	LORATADINA 10 mg	VÍA ORAL	COMPRIMIDO	R06AX13 - Loratadina	INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.	0	1	0	0
650562	66530	LORATADINA TEVA-RATIOPHARM 10 mg COMPRIMIDOS EFG	Loratadina 10 mg comprimido	10 mg	Blister	20	comprimido	LORATADINA 10 mg	VÍA ORAL	COMPRIMIDO	R06AX13 - Loratadina	TEVA PHARMA S.L.U.	0	1	0	0
653102	63711	LORATADINA STADA 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Loratadina 10 mg comprimido	10 mg	Blister	20	comprimido	LORATADINA 10 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	R06AX13 - Loratadina	LABORATORIO STADA S.L.	0	1	0	0
653308	66343	LORATADINA RATIOPHARM 10 mg COMPRIMIDOS EFG	Loratadina 10 mg comprimido	10 mg	Blister	20	comprimido	LORATADINA 10 mg	VÍA ORAL	COMPRIMIDO	R06AX13 - Loratadina	TEVA PHARMA S.L.U.	0	1	0	0
654636	67899	LORATADINA SUN 10 mg COMPRIMIDOS EFG	Loratadina 10 mg comprimido	10 mg	Blister	20	comprimido	LORATADINA 10 mg	VÍA ORAL	COMPRIMIDO	R06AX13 - Loratadina	SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.	0	1	0	0
660540	58518	CLARITYNE 10 mg COMPRIMIDOS	Loratadina 10 mg comprimido	10 mg	Blister	7	comprimido	LORATADINA 10 mg	VÍA ORAL	COMPRIMIDO	R06AX13 - Loratadina	BAYER HISPANIA S.L.	0	0	0	0
660541	59141	CLARITYNE  1 mg/ ml JARABE	Loratadina 1 mg/ml solución/suspensión oral	1 mg/ml	Frasco	60	ml	LORATADINA 1 mg	VÍA ORAL	JARABE	R06AX13 - Loratadina	BAYER HISPANIA S.L.	0	0	0	0
664992	72049	LORATADINA FARMALIDER 10 mg CAPSULAS BLANDAS	Loratadina 10 mg cápsula	10 mg	Blister	7	cápsula	LORATADINA 10 mg	VÍA ORAL	CÁPSULA BLANDA	R06AX13 - Loratadina	FARMALIDER S.A.	0	0	0	0
684934	75118	LORATADINA COMBIX 10 mg COMPRIMIDOS EFG	Loratadina 10 mg comprimido	10 mg	Blister	20	comprimido	LORATADINA 10 mg	VÍA ORAL	COMPRIMIDO	R06AX13 - Loratadina	LABORATORIOS COMBIX S.L.U.	0	1	0	0
698563	77719	LORATADINA TARBIS 10 MG COMPRIMIDOS EFG	Loratadina 10 mg comprimido	10 mg	Blister	20	comprimido	LORATADINA 10 mg	VÍA ORAL	COMPRIMIDO	R06AX13 - Loratadina	TARBIS FARMA S.L.	0	1	0	0
755454	63903	LORATADINA EDIGEN 10 mg COMPRIMIDOS EFG	Loratadina 10 mg comprimido	10 mg	Blister	20	comprimido	LORATADINA 10 mg	VÍA ORAL	COMPRIMIDO	R06AX13 - Loratadina	ARISTO PHARMA IBERIA S.L.	0	1	0	0
762930	63696	LORATADINA CINFA 10 mg COMPRIMIDOS EFG	Loratadina 10 mg comprimido	10 mg	Blister	20	comprimido	LORATADINA 10 mg	VÍA ORAL	COMPRIMIDO	R06AX13 - Loratadina	LABORATORIOS CINFA S.A.	0	1	0	0
