cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
650190	66362	MELOXICAM SANDOZ 7,5 mg COMPRIMIDOS EFG	Meloxicam 7,5 mg comprimido	7,5 mg	Blister	20	comprimido	MELOXICAM 7,5 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	SANDOZ FARMACEUTICA S.A.	2004-09-22	0	2020-08-21	Anulado	2020-08-21	1	0	0	0
650289	66399	MELOXICAM  STADA 7.5 mg COMPRIMIDOS EFG	Meloxicam 7,5 mg comprimido	7,5 mg	Blister	20	comprimido	MELOXICAM 7,5 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	LABORATORIO STADA S.L.	2004-10-01	1	2011-02-17	Autorizado	2004-10-01	1	0	0	0
650290	66400	MELOXICAM  STADA 15 mg COMPRIMIDOS EFG	Meloxicam 15 mg comprimido	15 mg	Blister	20	comprimido	MELOXICAM 15 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	LABORATORIO STADA S.L.	2004-10-01	1	2011-02-17	Autorizado	2004-10-01	1	0	0	0
650336	66410	MELOXICAM MYLAN 15 mg COMPRIMIDOS EFG	Meloxicam 15 mg comprimido	15 mg	Blister	20	comprimido	MELOXICAM 15 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	MYLAN PHARMACEUTICALS S.L.	2004-10-26	1	2011-10-24	Autorizado	2004-10-28	1	0	0	0
650337	66411	MELOXICAM MYLAN 7.5 mg COMPRIMIDOS EFG	Meloxicam 7,5 mg comprimido	7,5 mg	Blister	20	comprimido	MELOXICAM 7,5 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	MYLAN PHARMACEUTICALS S.L.	2004-10-26	0	2026-03-02	Anulado	2026-03-02	1	0	0	0
650647	66524	MELOXICAM KERN PHARMA 15 mg COMPRIMIDOS EFG	Meloxicam 15 mg comprimido	15 mg	Blister	20	comprimido	MELOXICAM 15 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	KERN PHARMA S.L.	2005-01-12	0	2025-02-10	Anulado	2025-02-10	1	0	0	0
651324	66361	MELOXICAM SANDOZ 15 mg COMPRIMIDOS EFG	Meloxicam 15 mg comprimido	15 mg	Blister	20	comprimido	MELOXICAM 15 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	SANDOZ FARMACEUTICA S.A.	2004-09-22	0	2020-08-21	Anulado	2020-08-21	1	0	0	0
651338	66802	ALIVIODOL 7.5 mg COMPRIMIDOS	Meloxicam 7,5 mg comprimido	7,5 mg	Blister	20	comprimido	MELOXICAM 7,5 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	ESPECIALIDADES FARMACEUTICAS CENTRUM S.A.	2005-05-18	0	2016-01-25	Anulado	2016-01-25	1	0	0	0
651456	68797	MELOZALTAN 15 MG COMPRIMIDOS EFG	Meloxicam 15 mg comprimido	15 mg	Blister	20	comprimido	MELOXICAM 15 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	ZALTANPHARMA LABORATORIOS S.L.	2007-05-16	0	2021-03-10	Anulado	2021-03-10	1	0	0	0
652653	67210	MELOXICAM RATIOPHARM 15 mg COMPRIMIDOS EFG	Meloxicam 15 mg comprimido	15 mg	Blister	20	comprimido	MELOXICAM 15 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	RATIOPHARM ESPANA S.A.	2005-11-15	0	2014-09-23	Anulado	2014-09-23	1	0	0	0
652689	67231	MELOXICAM TEVA 15 mg COMPRIMIDOS EFG	Meloxicam 15 mg comprimido	15 mg	Blister	20	comprimido	MELOXICAM 15 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	TEVA PHARMA S.L.U.	2005-11-18	0	2014-06-03	Anulado	2014-06-03	1	0	0	0
652992	67384	MELOXICAM UR 15 mg COMPRIMIDOS EFG	Meloxicam 15 mg comprimido	15 mg	Blister	20	comprimido	MELOXICAM 15 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	ARISTO PHARMA IBERIA S.L.	2005-12-20	0	2023-10-16	Anulado	2023-10-16	1	0	0	0
652993	67385	MELOXICAM UR 7.5 mg COMPRIMIDOS EFG	Meloxicam 7,5 mg comprimido	7,5 mg	Blister	20	comprimido	MELOXICAM 7,5 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	ARISTO PHARMA IBERIA S.L.	2005-12-20	0	2023-10-16	Anulado	2023-10-16	1	0	0	0
659123	68843	MELOXICAM PENSA 7,5 mg COMPRIMIDOS EFG	Meloxicam 7,5 mg comprimido	7,5 mg	Blister	20	comprimido	MELOXICAM 7,5 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	TOWA PHARMACEUTICAL S.A.	2007-05-29	1	2011-06-16	Autorizado	2007-05-29	1	0	0	0
659124	68844	MELOXICAM PENSA 15 mg COMPRIMIDOS EFG	Meloxicam 15 mg comprimido	15 mg	Blister	20	comprimido	MELOXICAM 15 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	TOWA PHARMACEUTICAL S.A.	2007-05-29	1	2011-06-16	Autorizado	2007-05-29	1	0	0	0
659531	69093	MELOXICAM CINFA 7,5 mg COMPRIMIDOS EFG	Meloxicam 7,5 mg comprimido	7,5 mg	Blister	20	comprimido	MELOXICAM 7,5 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	LABORATORIOS CINFA S.A.	2007-07-10	1	2011-10-19	Autorizado	2007-07-10	1	0	0	0
659533	69094	MELOXICAM CINFA 15 mg COMPRIMIDOS EFG	Meloxicam 15 mg comprimido	15 mg	Blister	20	comprimido	MELOXICAM 15 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	LABORATORIOS CINFA S.A.	2007-07-10	1	2011-10-19	Autorizado	2007-07-10	1	0	0	0
660057	69365	MELOXICAM NORMON 7,5 mg COMPRIMIDOS EFG	Meloxicam 7,5 mg comprimido	7,5 mg	Blister	20	comprimido	MELOXICAM 7,5 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	LABORATORIOS NORMON S.A.	2007-10-26	1	2011-10-20	Autorizado	2007-10-29	1	0	0	0
660058	69366	MELOXICAM NORMON 15 mg COMPRIMIDOS EFG	Meloxicam 15 mg comprimido	15 mg	Blister	20	comprimido	MELOXICAM 15 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	LABORATORIOS NORMON S.A.	2007-10-29	1	2011-10-20	Autorizado	2007-10-29	1	0	0	0
673126	66803	ALIVIODOL 15 mg COMPRIMIDOS	Meloxicam 15 mg comprimido	15 mg	Blister	20	comprimido	MELOXICAM 15 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	ESPECIALIDADES FARMACEUTICAS CENTRUM S.A.	2005-05-18	0	2016-01-25	Anulado	2016-01-25	1	0	0	0
679597	61076	MOVALIS 15 mg COMPRIMIDOS	Meloxicam 15 mg comprimido	15 mg	Blister	20	comprimido	MELOXICAM 15 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	BOEHRINGER INGELHEIM INTERNATIONAL GMBH	1996-10-01	1	2011-10-25	Autorizado	1996-10-01	1	0	0	0
679605	61075	MOVALIS 7,5 mg COMPRIMIDOS	Meloxicam 7,5 mg comprimido	7,5 mg	Blister	20	comprimido	MELOXICAM 7,5 mg	VÍA ORAL	COMPRIMIDO	1	M01AC06 - Meloxicam	BOEHRINGER INGELHEIM INTERNATIONAL GMBH	1996-10-01	1	2011-10-25	Autorizado	1996-10-01	1	0	0	0
