cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
608539	49768	SOLU-MODERIN 125 MG POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	Metilprednisolona 125 mg inyectable	125 mg	Vial	50	vial para inyección	METILPREDNISOLONA, HIDROGENOSUCCINATO DE 125 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	LIOFILIZADO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	H02AB04 - Metilprednisolona	PFIZER S.L.	0	0	0
608547	53202	SOLU-MODERIN 500 MG POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	Metilprednisolona 500 mg inyectable	500 mg	Vial	50	vial para inyección	METILPREDNISOLONA, HIDROGENOSUCCINATO DE 500 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	LIOFILIZADO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	H02AB04 - Metilprednisolona	PFIZER S.L.	0	0	0
608554	53203	SOLU-MODERIN 1 G POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	Metilprednisolona 1.000 mg inyectable	1.000 mg	Vial	50	vial para inyección	METILPREDNISOLONA, HIDROGENOSUCCINATO DE 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	LIOFILIZADO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	H02AB04 - Metilprednisolona	PFIZER S.L.	0	0	0
613158	34023	URBASON 40 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE	Metilprednisolona 40 mg inyectable	40 mg	Ampolla	100	vial para inyección	METILPREDNISOLONA 40 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	H02AB04 - Metilprednisolona	FIDIA FARMACEUTICI S.P.A.	0	0	0
638700	50537	URBASON 250 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE O PARA PERFUSION	Metilprednisolona 250 mg inyectable	250 mg	Ampolla	50	ampolla para inyección	METILPREDNISOLONA 250 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	H02AB04 - Metilprednisolona	FIDIA FARMACEUTICI S.P.A.	0	0	0
642082	59123	URBASON 16 mg COMPRIMIDOS	Metilprednisolona 16 mg comprimido	16 mg	Blister	500	comprimido	METILPREDNISOLONA 16 mg	VÍA ORAL	COMPRIMIDO	H02AB04 - Metilprednisolona	FIDIA FARMACEUTICI S.P.A.	0	0	0
654780	60139	ADVENTAN 1 mg/g UNGÜENTO	Metilprednisolona aceponato 1 mg/g pomada	1 mg/g	Tubo	60	g	METILPREDNISOLONA ACEPONATO 1 mg	USO CUTÁNEO	POMADA	D07AC14 - Metilprednisolona, aceponato de	LEO PHARMA A/S	0	0	0
662437	63521	ADVENTAN 1 mg/ml SOLUCION CUTANEA	Metilprednisolona aceponato 1 mg/ml líquido uso tópico	1 mg/ml	Frasco	50	ml	METILPREDNISOLONA ACEPONATO 1 mg	USO CUTÁNEO	SOLUCIÓN CUTÁNEA	D07AC14 - Metilprednisolona, aceponato de	LEO PHARMA A/S	0	0	0
663198	49768	SOLU-MODERIN 125 MG POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	Metilprednisolona 125 mg inyectable	125 mg	Vial	3	vial para inyección	METILPREDNISOLONA, HIDROGENOSUCCINATO DE 125 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	LIOFILIZADO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	H02AB04 - Metilprednisolona	PFIZER S.L.	0	0	0
664588	71864	METILPREDNISOLONA NORMON 20 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG	Metilprednisolona 20 mg inyectable	20 mg	Vial	3	vial para inyección	METILPREDNISOLONA, HIDROGENOSUCCINATO DE 20 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	H02AB04 - Metilprednisolona	LABORATORIOS NORMON S.A.	0	0	0
