cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
608539	49768	35606536	methylprednisolone 125 MG Injection [Solu-Medrol]	1743707	EXACT			
608547	53202	35606540	methylprednisolone 500 MG Injection [Solu-Medrol]	1743722	EXACT			
608554	53203	35606532	methylprednisolone Injection	1743703	BROAD			
613158	34023	35606532	methylprednisolone Injection	1743703	BROAD			
638700	50537	35606532	methylprednisolone Injection	1743703	BROAD			
642082	59123	19034647	methylprednisolone 16 MG Oral Tablet [Medrol]	207138	EXACT			
654780	60139	40822665	Methylprednisolone 0.001 MG/MG Topical Ointment	OMOP2020627				
662437	63521	19093831	methylprednisolone 1 MG/ML	340167	BROAD			
663198	49768	35606536	methylprednisolone 125 MG Injection [Solu-Medrol]	1743707	EXACT			
664588	71864	35606532	methylprednisolone Injection	1743703	BROAD			
664589	71866	19034805	methylprednisolone 40 MG Injection [Solu-Medrol]	207191	EXACT			
682811	71864	35606532	methylprednisolone Injection	1743703	BROAD			
682812	71866	19034805	methylprednisolone 40 MG Injection [Solu-Medrol]	207191	EXACT			
691238	34021	35606532	methylprednisolone Injection	1743703	BROAD			
691246	34021	35606532	methylprednisolone Injection	1743703	BROAD			
691253	34023	35606532	methylprednisolone Injection	1743703	BROAD			
691261	34022	35606532	methylprednisolone Injection	1743703	BROAD			
728343	85015	19093831	methylprednisolone 1 MG/ML	340167	BROAD			
731904	86310	40060736	methylprednisolone Topical Ointment	372863	BROAD			
743013	60137	40835197	Methylprednisolone 0.001 MG/MG Topical Cream	OMOP2033159				
743229	60137	40835197	Methylprednisolone 0.001 MG/MG Topical Cream	OMOP2033159				
743237	60138	40822665	Methylprednisolone 0.001 MG/MG Topical Ointment	OMOP2020627				
743260	60138	40822665	Methylprednisolone 0.001 MG/MG Topical Ointment	OMOP2020627				
743369	60139	40822665	Methylprednisolone 0.001 MG/MG Topical Ointment	OMOP2020627				
757419	63904	40060736	methylprednisolone Topical Ointment	372863	BROAD			
768345	90524	40060736	methylprednisolone Topical Ointment	372863	BROAD			
804633	62662	40060736	methylprednisolone Topical Ointment	372863	BROAD			
825539	49768	35606536	methylprednisolone 125 MG Injection [Solu-Medrol]	1743707	EXACT			
842435	50537	35606532	methylprednisolone Injection	1743703	BROAD			
842443	50537	35606532	methylprednisolone Injection	1743703	BROAD			
842492	32729	19067555	methylprednisolone 4 MG Oral Tablet [Medrol]	260330	EXACT			
842500	32729	19067555	methylprednisolone 4 MG Oral Tablet [Medrol]	260330	EXACT			
863167	59123	19034647	methylprednisolone 16 MG Oral Tablet [Medrol]	207138	EXACT			
882654	53202	35606540	methylprednisolone 500 MG Injection [Solu-Medrol]	1743722	EXACT			
882662	53203	35606532	methylprednisolone Injection	1743703	BROAD			
887976	63186	40835197	Methylprednisolone 0.001 MG/MG Topical Cream	OMOP2033159				
887984	63186	40835197	Methylprednisolone 0.001 MG/MG Topical Cream	OMOP2033159				
887992	63187	40822665	Methylprednisolone 0.001 MG/MG Topical Ointment	OMOP2020627				
888016	63187	40822665	Methylprednisolone 0.001 MG/MG Topical Ointment	OMOP2020627				
888024	63188	40822665	Methylprednisolone 0.001 MG/MG Topical Ointment	OMOP2020627				
888032	63188	40822665	Methylprednisolone 0.001 MG/MG Topical Ointment	OMOP2020627				
893586	59124	19106650	methylprednisolone 40 MG Oral Tablet	429197	EXACT			
959668	63890	19093831	methylprednisolone 1 MG/ML	340167	BROAD			
