cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
661855	70232	19023368	montelukast 10 MG Oral Tablet	200224	EXACT			2026-03-12
661860	70236	19023368	montelukast 10 MG Oral Tablet	200224	EXACT			2026-03-12
662056	61980	1154192	montelukast 10 MG Oral Tablet [Singulair]	153892	EXACT			2026-03-12
662064	61979	1154193	montelukast 5 MG Chewable Tablet [Singulair]	153893	EXACT			2026-03-12
662869	70898	19023368	montelukast 10 MG Oral Tablet	200224	EXACT			2026-03-12
662870	70899	19023368	montelukast 10 MG Oral Tablet	200224	EXACT			2026-03-12
662909	70888	19023368	montelukast 10 MG Oral Tablet	200224	EXACT			2026-03-12
662910	70423	1154197	montelukast 4 MG Chewable Tablet	311759	EXACT			2026-03-12
662911	70424	1154195	montelukast 5 MG Chewable Tablet	242438	EXACT			2026-03-12
663974	71403	1154197	montelukast 4 MG Chewable Tablet	311759	EXACT	sw_generico=1; corrected from branded [Singulair] to non-branded		2026-03-12
663986	71407	1154195	montelukast 5 MG Chewable Tablet	242438	EXACT	sw_generico=1; corrected from branded [Singulair] to non-branded		2026-03-12
663990	71408	1154195	montelukast 5 MG Chewable Tablet	242438	EXACT	sw_generico=1; corrected from branded [Singulair] to non-branded		2026-03-12
663993	71409	1154197	montelukast 4 MG Chewable Tablet	311759	EXACT	sw_generico=1; corrected from branded [Singulair] to non-branded		2026-03-12
663995	71410	1154195	montelukast 5 MG Chewable Tablet	242438	EXACT	sw_generico=1; corrected from branded [Singulair] to non-branded		2026-03-12
663999	71411	1154197	montelukast 4 MG Chewable Tablet	311759	EXACT	sw_generico=1; corrected from branded [Singulair] to non-branded		2026-03-12
664006	71422	1154195	montelukast 5 MG Chewable Tablet	242438	EXACT	sw_generico=1; corrected from branded [Singulair] to non-branded		2026-03-12
664007	71424	1154197	montelukast 4 MG Chewable Tablet	311759	EXACT	sw_generico=1; corrected from branded [Singulair] to non-branded		2026-03-12
665726	72593	1154197	montelukast 4 MG Chewable Tablet	311759	EXACT	sw_generico=1; corrected from branded [Singulair] to non-branded		2026-03-12
665727	72591	1154195	montelukast 5 MG Chewable Tablet	242438	EXACT	sw_generico=1; corrected from branded [Singulair] to non-branded		2026-03-12
665728	72590	19023368	montelukast 10 MG Oral Tablet	200224	EXACT			2026-03-12
669070	72109	1154197	montelukast 4 MG Chewable Tablet	311759	EXACT	sw_generico=1; corrected from branded [Singulair] to non-branded		2026-03-12
669092	72110	1154195	montelukast 5 MG Chewable Tablet	242438	EXACT	sw_generico=1; corrected from branded [Singulair] to non-branded		2026-03-12
