cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
600303	67038	NEPHROTECT SOLUCION PARA PERFUSION	Soluciones para nutrición parenteral	N/A (más de 4 PA)	Frasco	10	frasco perfusión	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	16	B05BA01 - Aminoacidos	FRESENIUS KABI DEUTSCHLAND GMBH	2005-10-03	1	2012-01-02	Autorizado	2005-10-03	1	0	0	0
600398	67343	POLIELECTROLÍTICA PLUS BRAUN MINIPLASCO CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	Soluciones que afectan al equilibrio electrolítico	N/A (más de 4 PA)	Ampolla	100	ampolla para inyección	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	5	B05XA30 - Combinaciones de electrolitos	B BRAUN MEDICAL S.A.	2005-12-13	1	2011-06-20	Autorizado	2005-12-13	1	0	0	0
602826	70228	VOLULYTE 6% SOLUCION PARA PERFUSION	Soluciones sustitutivas de plasma	N/A (más de 4 PA)	Bolsa	20	bolsa perfusión	HIDROXIETILALMIDON 60 mg|SODIO CLORURO 9 mg	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	5	B05AA07 - Hidroxietil almidon	FRESENIUS KABI DEUTSCHLAND GMBH	2008-11-05	0	2023-06-06	Anulado	2023-06-06	1	0	0	0
605152	68045	GELOPLASMA, SOLUCION PARA PERFUSION	Soluciones sustitutivas de plasma	N/A (más de 4 PA)	Bolsa	20	bolsa perfusión	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	5	B05AA06 - Gelatina, agentes con	FRESENIUS KABI ESPAÑA, S.A.U.	2006-09-27	0	2020-09-14	Suspenso	2026-01-16	1	0	0	0
605565	74568	IONOLYTE SOLUCION  PARA PERFUSION	Soluciones que afectan al equilibrio electrolítico	6,02 mg/ml + 0,03 mg/ml + 0,03 mg/ml + 4,63 mg/ml inyectable 500 ml	Bolsa	20	bolsa perfusión	SODIO CLORURO 6.02 mg|CLORURO DE POTASIO 0.03 mg|MAGNESIO CLORURO HEXAHIDRATO 0.03 mg|ACETATO SODIO TRIHIDRATO 4.63 mg	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	4	B05BB01 - Electrolitos	FRESENIUS KABI ESPAÑA, S.A.U.	2011-08-10	1	2017-07-25	Autorizado	2011-08-10	1	0	0	0
606077	76222	GELASPAN 40 MG/ML SOLUCION PARA PERFUSION	Soluciones sustitutivas de plasma	N/A (más de 4 PA)	Botella	10	frasco perfusión	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	6	B05AA06 - Gelatina, agentes con	B. BRAUN MELSUNGEN AG	2012-10-18	1	2014-07-11	Autorizado	2012-10-18	1	0	0	0
606792	81396	SUPLIVEN CONCENTRADO PARA SOLUCION PARA PERFUSION	Soluciones que afectan al equilibrio electrolítico	N/A (más de 4 PA)	Ampolla	20	ampolla para inyección	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	9	B05XA31 - Electrolitos en combinacion con otras farmacos	FRESENIUS KABI ESPAÑA, S.A.U.	2016-11-14	1	2018-02-13	Autorizado	2016-11-15	1	0	0	0
607030	61211	CLINIMIX N9G15E SOLUCION PARA PERFUSION	Soluciones para nutrición parenteral	N/A (más de 4 PA)	Bolsa	4	bolsa perfusión	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	21	B05BA10 - Combinaciones	BAXTER S.L.	1996-12-01	1	2020-03-17	Autorizado	1996-12-01	1	0	0	0
607031	61215	CLINIMIX N12G20E SOLUCION PARA PERFUSION	Soluciones para nutrición parenteral	N/A (más de 4 PA)	Bolsa	4	bolsa perfusión	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	21	B05BA10 - Combinaciones	BAXTER S.L.	1996-12-01	1	2021-05-17	Autorizado	1996-12-01	1	0	0	0
607032	61218	CLINIMIX N14G30E SOLUCION PARA PERFUSION	Soluciones para nutrición parenteral	N/A (más de 4 PA)	Bolsa	4	bolsa perfusión	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	21	B05BA10 - Combinaciones	BAXTER S.L.	1996-12-01	1	2020-09-07	Autorizado	1996-12-01	1	0	0	0
