cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
609701	56321	NERDIPINA 20 MG COMPRIMIDOS RECUBIERTOS	Nicardipino 20 mg comprimido	20 mg	Blister	500	comprimido	NICARDIPINO HIDROCLORURO 20 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C08CA04 - Nicardipino	FERRER INTERNACIONAL S.A.	1983-06-01	0	2024-05-30	Anulado	2024-05-30	1	0	0	0
681197	60976	NERDIPINA RETARD 40 mg CAPSULAS DURAS DE LIBERACION PROLONGADA	Nicardipino 40 mg cápsula liberación modificada	40 mg	Blister	60	cápsula	NICARDIPINO HIDROCLORURO 40 mg	VÍA ORAL	CÁPSULA DURA DE LIBERACIÓN PROLONGADA	1	C08CA04 - Nicardipino	FERRER INTERNACIONAL S.A.	1996-10-01	1	2011-03-18	Autorizado	1996-10-01	1	0	0	0
681767	60943	VASONASE RETARD 40 mg CÁPSULAS DURAS DE LIBERACIÓN MODIFICADA	Nicardipino 40 mg cápsula liberación modificada	40 mg	Blister	60	cápsula	NICARDIPINO HIDROCLORURO 40 mg	VÍA ORAL	CÁPSULA DURA DE LIBERACIÓN PROLONGADA	1	C08CA04 - Nicardipino	LABORATOIRE X.O	1997-01-01	0	2025-10-03	Anulado	2025-10-03	1	0	0	0
742874	58447	NICARDIPINO RATIOPHARM  20 mg COMPRIMIDOS	Nicardipino 20 mg comprimido	20 mg	Desconocido	60	comprimido	NICARDIPINO HIDROCLORURO 20 mg	VÍA ORAL	COMPRIMIDO	1	C08CA04 - Nicardipino	RATIOPHARM ESPANA S.A.	1992-12-01	0	2017-02-03	Anulado	2017-02-03	1	0	0	0
763705	60975	VASONASE 1 mg/ml SOLUCIÓN PARA PERFUSIÓN	Nicardipino 1 mg/ml inyectable perfusión 10 ml	1 mg/ml inyectable 10 ml	Ampolla	5	ampolla para inyección	NICARDIPINO HIDROCLORURO 1 mg	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	1	C08CA04 - Nicardipino	LABORATOIRE X.O	1998-12-01	1	2025-11-15	Autorizado	1998-12-01	1	0	0	0
865766	59130	LINCIL 30 mg COMPRIMIDOS	Nicardipino 30 mg comprimido	30 mg	Blister	60	comprimido	NICARDIPINO HIDROCLORURO 30 mg	VÍA ORAL	COMPRIMIDO	1	C08CA04 - Nicardipino	KERN PHARMA S.L.	1991-11-01	0	2021-04-29	Anulado	2021-04-29	1	0	0	0
960336	56305	VASONASE 20 mg COMPRIMIDOS RECUBIERTOS	Nicardipino 20 mg comprimido	20 mg	Blister	30	comprimido	NICARDIPINO HIDROCLORURO 20 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	1	C08CA04 - Nicardipino	LABORATOIRE X.O	1984-01-01	1	2011-10-26	Autorizado	1984-01-01	1	0	0	0
972869	56321	NERDIPINA 20 MG COMPRIMIDOS RECUBIERTOS	Nicardipino 20 mg comprimido	20 mg	Blister	60	comprimido	NICARDIPINO HIDROCLORURO 20 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C08CA04 - Nicardipino	FERRER INTERNACIONAL S.A.	1983-06-01	0	2024-05-30	Anulado	2024-05-30	1	0	0	0
972877	56370	LINCIL 20 mg COMPRIMIDOS	Nicardipino 20 mg comprimido	20 mg	Blister	60	comprimido	NICARDIPINO HIDROCLORURO 20 mg	VÍA ORAL	COMPRIMIDO	1	C08CA04 - Nicardipino	KERN PHARMA S.L.	1984-07-01	0	2021-04-29	Anulado	2021-04-29	1	0	0	0
972901	56305	VASONASE 20 mg COMPRIMIDOS RECUBIERTOS	Nicardipino 20 mg comprimido	20 mg	Blister	60	comprimido	NICARDIPINO HIDROCLORURO 20 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	1	C08CA04 - Nicardipino	LABORATOIRE X.O	1984-01-01	1	2011-10-26	Autorizado	1984-01-01	1	0	0	0
