cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
653056	71214	1362358	24 HR nitroglycerin 0.6 MG/HR Transdermal System	486146	EXACT			
653064	71210	1362392	24 HR nitroglycerin 0.4 MG/HR Transdermal System	486152	EXACT			
656517	60313	1362360	24 HR nitroglycerin 0.2 MG/HR Transdermal System	486148	EXACT			
658177	68286	40241038	nitroglycerin 0.004 MG/MG Rectal Ointment	1114466				
663675	71214	1362358	24 HR nitroglycerin 0.6 MG/HR Transdermal System	486146	EXACT			
663677	71210	1362392	24 HR nitroglycerin 0.4 MG/HR Transdermal System	486152	EXACT			
668327	61697	40221073	nitroglycerin Transdermal System	1805880	EXACT			
668335	61696	40221073	nitroglycerin Transdermal System	1805880	EXACT			
668343	61695	40221073	nitroglycerin Transdermal System	1805880	EXACT			
672129	63677	40221073	nitroglycerin Transdermal System	1805880	EXACT			
672130	63678	40221073	nitroglycerin Transdermal System	1805880	EXACT			
672131	63676	40221073	nitroglycerin Transdermal System	1805880	EXACT			
672599	63683	40221073	nitroglycerin Transdermal System	1805880	EXACT			
672601	63682	40221073	nitroglycerin Transdermal System	1805880	EXACT			
672602	63681	40221073	nitroglycerin Transdermal System	1805880	EXACT			
709915	59988	40221073	nitroglycerin Transdermal System	1805880	BROAD			
709931	59989	40221073	nitroglycerin Transdermal System	1805880	BROAD			
710335	59990	19114701	24 HR nitroglycerin 0.6 MG/HR Transdermal System [Minitran]	545278	EXACT			
751008	60314	1362392	24 HR nitroglycerin 0.4 MG/HR Transdermal System	486152	EXACT			
974246	57358	40221073	nitroglycerin Transdermal System	1805880	EXACT			
974253	57358	40221073	nitroglycerin Transdermal System	1805880	EXACT			
974261	57359	40221073	nitroglycerin Transdermal System	1805880	EXACT			
974279	57359	40221073	nitroglycerin Transdermal System	1805880	EXACT			
999905	59988	40221073	nitroglycerin Transdermal System	1805880	BROAD			
999906	59989	40221073	nitroglycerin Transdermal System	1805880	BROAD			
999907	59990	19114701	24 HR nitroglycerin 0.6 MG/HR Transdermal System [Minitran]	545278	EXACT			
601880	62264	40221073	nitroglycerin Transdermal System	1805880	BROAD	15 mg/24h transdermal patch (tipo 1); 15mg/24h=0.625mg/hr; closest RxNorm is 0.6 MG/HR; no exact match	24 HR nitroglycerin 0.6 MG/HR Transdermal System	2026-03-12
