cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
665961	02223001IP	EVRA 203 MICROGRAMOS/24 HORAS + 33,9 MICROGRAMOS/24 HORAS  PARCHE TRANSDERMICO	Norelgestromina/Etinilestradiol 203 microgramos/24 h + 33,9 microgramos/24 h parche transdérmico	203 microgramos/24 h + 33,9 microgramos/24 h	Parche	3	parche	NORELGESTROMINA 203 microgramos/24 h|ETINILESTRADIOL 33,9 microgramos/24 h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	2	G03AA13 - Norelgestromina y estrogeno	JANSSEN-CILAG INTERNATIONAL N.V	2011-03-28	0	2025-10-15	Autorizado	2011-03-28	1	0	0	0
711553	02223001IP1	EVRA 203 MICROGRAMOS/24 hORAS + 33,9 MICROGRAMOS/24 HORAS PARCHE TRANSDERMICO	Norelgestromina/Etinilestradiol 203 microgramos/24 h + 33,9 microgramos/24 h parche transdérmico	203 microgramos/24 h + 33,9 microgramos/24 h	Parche	3	parche	NORELGESTROMINA 203 microgramos/24 h|ETINILESTRADIOL 33,9 microgramos/24 h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	2	G03AA13 - Norelgestromina y estrogeno	JANSSEN-CILAG INTERNATIONAL N.V	2016-07-07	1	2016-12-02	Autorizado	2016-07-08	1	0	0	0
711554	02223002IP1	EVRA 203 MICROGRAMOS/24 HORAS + 33,9 MICROGRAMOS/24 HORAS PARCHE TRANSDERMICO	Norelgestromina/Etinilestradiol 203 microgramos/24 h + 33,9 microgramos/24 h parche transdérmico	203 microgramos/24 h + 33,9 microgramos/24 h	Parche	9	parche	NORELGESTROMINA 203 microgramos/24 h|ETINILESTRADIOL 33,9 microgramos/24 h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	2	G03AA13 - Norelgestromina y estrogeno	JANSSEN-CILAG INTERNATIONAL N.V	2016-07-07	1	2016-12-13	Autorizado	2016-07-08	1	0	0	0
715410	02223001IP2	EVRA 203 MICROGRAMOS/24 HORAS + 33,9 MICROGRAMOS/24 HORAS PARCHE TRANSDERMICO	Norelgestromina/Etinilestradiol 203 microgramos/24 h + 33,9 microgramos/24 h parche transdérmico	203 microgramos/24 h + 33,9 microgramos/24 h	Sobre	3	parche	NORELGESTROMINA 203 microgramos/24 h|ETINILESTRADIOL 33,9 microgramos/24 h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	2	G03AA13 - Norelgestromina y estrogeno	JANSSEN-CILAG INTERNATIONAL N.V	2017-03-14	1	2017-04-12	Autorizado	2017-03-15	1	0	0	0
723772	02223001IP3	EVRA 203 MICROGRAMOS/24 HORAS + 33,9 MICROGRAMOS/24 HORAS PARCHE TRANSDERMICO	Norelgestromina/Etinilestradiol 203 microgramos/24 h + 33,9 microgramos/24 h parche transdérmico	203 microgramos/24h + 33,9 microgramos/24h	Parche	9	parche	NORELGESTROMINA 203 microgramos/24 h|ETINILESTRADIOL 33,9 microgramos/24 h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	2	G03AA13 - Norelgestromina y estrogeno	JANSSEN-CILAG INTERNATIONAL N.V	2018-10-10	1	2019-10-14	Autorizado	2018-10-11	1	0	0	0
723797	02223002IP2	EVRA 203 MICROGRAMOS/24 HORAS + 33,9 MICROGRAMOS/24 HORAS PARCHE TRANSDERMICO	Norelgestromina/Etinilestradiol 203 microgramos/24 h + 33,9 microgramos/24 h parche transdérmico	203 microgramos/24h + 33,9 microgramos/24h	Parche	9	parche	NORELGESTROMINA 203 microgramos/24 h|ETINILESTRADIOL 33,9 microgramos/24 h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	2	G03AA13 - Norelgestromina y estrogeno	JANSSEN-CILAG INTERNATIONAL N.V	2018-10-10	1	2019-10-14	Autorizado	2018-10-11	1	0	0	0
728351	02223002IP3	EVRA 203 MICROGRAMOS/24 HORAS + 33,9 MICROGRAMOS/24 HORAS PARCHE TRANSDERMICO	Norelgestromina/Etinilestradiol 203 microgramos/24 h + 33,9 microgramos/24 h parche transdérmico	203 microgramos/24 h + 33,9 microgramos/24 h	Parche	9	parche	NORELGESTROMINA 203 microgramos/24 h|ETINILESTRADIOL 33,9 microgramos/24 h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	2	G03AA13 - Norelgestromina y estrogeno	JANSSEN-CILAG INTERNATIONAL N.V	2020-04-18	1	2020-04-20	Autorizado	2020-04-19	1	0	0	0
728353	02223001IP4	EVRA 203 MICROGRAMOS/24 HORAS + 33,9 MICROGRAMOS/24 HORAS PARCHE TRANSDERMICO	Norelgestromina/Etinilestradiol 203 microgramos/24 h + 33,9 microgramos/24 h parche transdérmico	203 microgramos/24 h + 33,9 microgramos/24 h	Parche	3	parche	NORELGESTROMINA 203 microgramos/24 h|ETINILESTRADIOL 33,9 microgramos/24 h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	2	G03AA13 - Norelgestromina y estrogeno	JANSSEN-CILAG INTERNATIONAL N.V	2020-04-18	1	2020-04-20	Autorizado	2020-04-19	1	0	0	0
734681	02223002	EVRA 203 MICROGRAMOS/24 HORAS + 33,9 MICROGRAMOS/24 HORAS PARCHE TRANSDERMICO	Norelgestromina/Etinilestradiol 203 microgramos/24 h + 33,9 microgramos/24 h parche transdérmico	203 microgramos/24 h + 33,9 microgramos/24 h	Parche	9	parche	NORELGESTROMINA 203 microgramos/24 h|ETINILESTRADIOL 33,9 microgramos/24 h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	2	G03AA13 - Norelgestromina y estrogeno	GEDEON RICHTER PLC.	2003-02-04	1	2012-01-02	Autorizado	2003-02-04	1	0	0	0
765992	02223002IP4	EVRA 203 MICROGRAMOS/24 HORAS + 33,9 MICROGRAMOS/24 HORAS PARCHE TRANSDERMICO	Norelgestromina/Etinilestradiol 203 microgramos/24 h + 33,9 microgramos/24 h parche transdérmico	203 microgramos/24 h + 33,9 microgramos/24 h	Parche	9	parche	NORELGESTROMINA 203 microgramos/24 h|ETINILESTRADIOL 33,9 microgramos/24 h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	2	G03AA13 - Norelgestromina y estrogeno	GEDEON RICHTER PLC.	2024-10-15	1	2024-11-20	Autorizado	2024-10-16	1	0	0	0
