cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
605570	73599	785842	olanzapine 5 MG Disintegrating Oral Tablet	314155	EXACT			2026-03-12
605571	73600	19079152	olanzapine 10 MG Disintegrating Oral Tablet	312076	EXACT			2026-03-12
606338	77433	19098136	olanzapine 15 MG Disintegrating Oral Tablet	351107	EXACT			2026-03-12
606339	77420	19098137	olanzapine 20 MG Disintegrating Oral Tablet	351108	EXACT			2026-03-12
650589	71754	785821	olanzapine 10 MG Oral Tablet	314154	EXACT			2026-03-12
650597	71754	785821	olanzapine 10 MG Oral Tablet	314154	EXACT			2026-03-12
650656	71751	19079154	olanzapine 5 MG Oral Tablet	312078	EXACT			2026-03-12
650722	71753	19079155	olanzapine 7.5 MG Oral Tablet	312079	EXACT			2026-03-12
650748	71750	19022782	olanzapine 2.5 MG Oral Tablet	200034	EXACT			2026-03-12
658854	68677	19022782	olanzapine 2.5 MG Oral Tablet	200034	EXACT			2026-03-12
658855	68678	19079154	olanzapine 5 MG Oral Tablet	312078	EXACT			2026-03-12
658857	68679	19079155	olanzapine 7.5 MG Oral Tablet	312079	EXACT			2026-03-12
658858	68680	785821	olanzapine 10 MG Oral Tablet	314154	EXACT			2026-03-12
658859	68680	785821	olanzapine 10 MG Oral Tablet	314154	EXACT			2026-03-12
658887	68702	19022782	olanzapine 2.5 MG Oral Tablet	200034	EXACT			2026-03-12
658888	68703	19079154	olanzapine 5 MG Oral Tablet	312078	EXACT			2026-03-12
658889	68704	19079155	olanzapine 7.5 MG Oral Tablet	312079	EXACT			2026-03-12
658890	68705	785821	olanzapine 10 MG Oral Tablet	314154	EXACT			2026-03-12
658891	68705	785821	olanzapine 10 MG Oral Tablet	314154	EXACT			2026-03-12
658909	68718	19022782	olanzapine 2.5 MG Oral Tablet	200034	EXACT			2026-03-12
658910	68719	19079154	olanzapine 5 MG Oral Tablet	312078	EXACT			2026-03-12
658911	68720	19079155	olanzapine 7.5 MG Oral Tablet	312079	EXACT			2026-03-12
658912	68721	785821	olanzapine 10 MG Oral Tablet	314154	EXACT			2026-03-12
658913	68721	785821	olanzapine 10 MG Oral Tablet	314154	EXACT			2026-03-12
658929	68732	19022782	olanzapine 2.5 MG Oral Tablet	200034	EXACT			2026-03-12
658931	68733	19079154	olanzapine 5 MG Oral Tablet	312078	EXACT			2026-03-12
658932	68734	19079155	olanzapine 7.5 MG Oral Tablet	312079	EXACT			2026-03-12
658933	68735	785821	olanzapine 10 MG Oral Tablet	314154	EXACT			2026-03-12
658934	68735	785821	olanzapine 10 MG Oral Tablet	314154	EXACT			2026-03-12
658935	68736	19022782	olanzapine 2.5 MG Oral Tablet	200034	EXACT			2026-03-12
658936	68737	19079154	olanzapine 5 MG Oral Tablet	312078	EXACT			2026-03-12
658937	68738	19079155	olanzapine 7.5 MG Oral Tablet	312079	EXACT			2026-03-12
658938	68739	785821	olanzapine 10 MG Oral Tablet	314154	EXACT			2026-03-12
658939	68739	785821	olanzapine 10 MG Oral Tablet	314154	EXACT			2026-03-12
658969	68755	19022782	olanzapine 2.5 MG Oral Tablet	200034	EXACT			2026-03-12
