cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
600136	66602	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
600140	62764	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
600259	66871	923648	omeprazole 4 MG/ML Injectable Solution	199493	BROAD	40 mg powder for infusion; strength matches (40mg/10mL=4mg/mL) but form differs (single-use powder vs multi-use solution)	omeprazole 40 MG Injection	2026-03-12
600631	67270	923648	omeprazole 4 MG/ML Injectable Solution	199493	BROAD	40 mg powder for infusion; strength matches (40mg/10mL=4mg/mL) but form differs (single-use powder vs multi-use solution)	omeprazole 40 MG Injection	2026-03-12
600758	68132	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
602949	62757	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
605122	63916	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
605841	63983	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
606791	81392	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
607135	63710	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
620021	65186	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
622845	65823	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
634253	65095	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
647206	59842	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
650393	65569	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT	upgraded from ingredient-level BROAD		2026-03-12
650576	59807	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
650793	66602	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
650794	66602	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
651175	65517	923647	omeprazole 10 MG Delayed Release Oral Capsule	199119	EXACT	upgraded from ingredient-level BROAD		2026-03-12
651233	65569	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT	upgraded from ingredient-level BROAD		2026-03-12
651300	64186	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT	upgraded from ingredient-level BROAD		2026-03-12
652672	67222	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
652788	67273	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
652789	67273	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
653124	65570	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
653125	65570	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
653140	65688	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
653148	65686	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
653263	65186	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
653264	65186	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
653413	65686	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
653417	65688	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
653739	67531	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
653740	67531	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
653743	67531	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
656283	65686	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
656295	68132	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
656296	68132	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
656899	64375	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
656902	64375	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
656914	68788	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
656915	68788	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
656917	69211	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT	upgraded from ingredient-level BROAD		2026-03-12
659012	68776	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
659025	68786	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
659026	68786	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
659038	68793	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
659042	68788	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
659149	68861	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
659150	68861	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
659153	68863	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
659154	68863	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
659211	68890	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
659589	69124	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
659590	69124	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
659591	69124	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
659592	69125	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
659593	69125	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
659622	69139	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
659762	69212	923647	omeprazole 10 MG Delayed Release Oral Capsule	199119	EXACT			2026-03-12
659796	69233	923647	omeprazole 10 MG Delayed Release Oral Capsule	199119	EXACT			2026-03-12
660281	69487	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
660285	69487	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
660573	67270	923648	omeprazole 4 MG/ML Injectable Solution	199493	BROAD	40 mg powder for infusion; strength matches (40mg/10mL=4mg/mL) but form differs (single-use powder vs multi-use solution)	omeprazole 40 MG Injection	2026-03-12
661036	66871	923648	omeprazole 4 MG/ML Injectable Solution	199493	BROAD	40 mg powder for infusion; strength matches (40mg/10mL=4mg/mL) but form differs (single-use powder vs multi-use solution)	omeprazole 40 MG Injection	2026-03-12
665561	72532	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
665563	72532	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
672723	65094	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
673232	72145	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
673261	64186	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT	upgraded from ingredient-level BROAD		2026-03-12
673606	72146	19023551	omeprazole 40 MG Delayed Release Oral Capsule	200329	EXACT			2026-03-12
673618	63917	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
673619	63917	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
673620	63917	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
673622	63916	19019418	omeprazole 20 MG Delayed Release Oral Capsule	198051	EXACT			2026-03-12
