cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
654199	67701	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421	EXACT			
654200	67701	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421	EXACT			
664533	71597	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
664827	71597	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
664828	71597	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
685991	67701	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421	EXACT			
699257	77884	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
699258	77884	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
699259	77884	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
699260	77884	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
699261	77884	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
704837	77884	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
706082	79717	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
706084	79717	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
711567	81047	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
723742	79717	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
730654	85871	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
730656	85871	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
730657	85871	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
730658	85871	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
730659	85871	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421				
758158	67701	43747361	Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation	OMOP953421	EXACT			
