cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
650081	66311	PACLITAXEL HOSPIRA 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 5 ml	6 mg/ml inyectable 5 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	HOSPIRA INVICTA S.A.	0	0	0
650082	66311	PACLITAXEL HOSPIRA 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 16,7 ml	6 mg/ml inyectable 16,7 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	HOSPIRA INVICTA S.A.	0	0	0
650084	66311	PACLITAXEL HOSPIRA 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 50 ml	6 mg/ml inyectable 50 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	HOSPIRA INVICTA S.A.	0	0	0
652000	66997	PACLITAXEL TEVA 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 5 ml	6 mg/ml inyectable 5 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	TEVA PHARMA S.L.U.	0	0	0
652003	66997	PACLITAXEL TEVA 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 16,7 ml	6 mg/ml inyectable 16,7 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	TEVA PHARMA S.L.U.	0	0	0
652004	66997	PACLITAXEL TEVA 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 50 ml	6 mg/ml inyectable 50 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	TEVA PHARMA S.L.U.	0	0	0
652125	67040	PACLITAXEL SANDOZ 6 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 5 ml	6 mg/ml inyectable 5 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	SANDOZ FARMACEUTICA S.A.	0	0	0
652126	67040	PACLITAXEL SANDOZ 6 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 16,7 ml	6 mg/ml inyectable 16,7 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	SANDOZ FARMACEUTICA S.A.	0	0	0
652127	67040	PACLITAXEL SANDOZ 6 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 25 ml	6 mg/ml inyectable 25 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	SANDOZ FARMACEUTICA S.A.	0	0	0
659137	68855	PACLITAXEL MYLAN 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 5 ml	6 mg/ml inyectable 5 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	MYLAN PHARMACEUTICALS S.L.	0	0	0
659138	68855	PACLITAXEL MYLAN 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 16,7 ml	6 mg/ml inyectable 16,7 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	MYLAN PHARMACEUTICALS S.L.	0	0	0
659139	68855	PACLITAXEL MYLAN 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 50 ml	6 mg/ml inyectable 50 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	MYLAN PHARMACEUTICALS S.L.	0	0	0
660458	07428001	ABRAXANE 5 MG/ML POLVO PARA DISPERSION PARA PERFUSION	Paclitaxel 100 mg (5 mg/ml) inyectable perfusión	100 mg	Vial	1	vial para inyección	PACLITAXEL 100 mg	VÍA INTRAVENOSA	POLVO PARA DISPERSIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	BRISTOL-MYERS SQUIBB PHARMA EEIG	0	0	0
663742	71301	PACLITAXEL AUROVITAS 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 16,7 ml	6 mg/ml inyectable 16,7 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	EUGIA PHARMA (MALTA) LIMITED	0	0	0
663744	71301	PACLITAXEL AUROVITAS 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 50 ml	6 mg/ml inyectable 50 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	EUGIA PHARMA (MALTA) LIMITED	0	0	0
663768	71301	PACLITAXEL AUROVITAS 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 5 ml	6 mg/ml inyectable 5 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	EUGIA PHARMA (MALTA) LIMITED	0	0	0
667711	70704	PACLITAXEL KABI 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 5 ml	6 mg/ml inyectable 5 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	FRESENIUS KABI ESPAÑA, S.A.U.	0	0	0
667712	70704	PACLITAXEL KABI 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 16,7 ml	6 mg/ml inyectable 16,7 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	FRESENIUS KABI ESPAÑA, S.A.U.	0	0	0
667713	70704	PACLITAXEL KABI 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 50 ml	6 mg/ml inyectable 50 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	FRESENIUS KABI ESPAÑA, S.A.U.	0	0	0
676251	73010	PACLITAXEL ACCORD 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Paclitaxel 6 mg/ml inyectable perfusión 5 ml	6 mg/ml inyectable 5 ml	Vial	1	vial para inyección	PACLITAXEL 6 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	L01CD01 - Paclitaxel	ACCORD HEALTHCARE S.L.U.	0	0	0
