cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
625335	64363	PRETERAX 2 mg/0,625 mg COMPRIMIDOS	Perindopril/Indapamida 2 mg/0,625 mg comprimido	2 mg/0,625 mg	Blister	100	comprimido	PERINDOPRIL ERBUMINA 2 mg|INDAPAMIDA 0,625 mg	VÍA ORAL	COMPRIMIDO	2	C09BA04 - Perindopril y diureticos	LES LABORATOIRES SERVIER	2001-11-12	0	2018-10-29	Autorizado	2001-11-12	1	0	0	0
663103	70996	BIPRETERAX 8 mg/2,5 mg COMPRIMIDOS	Perindopril/Indapamida 8 mg/2,5 mg comprimido	8 mg/2,5 mg	Blister	30	comprimido	PERINDOPRIL ERBUMINA 8 mg|INDAPAMIDA 2,5 mg	VÍA ORAL	COMPRIMIDO	2	C09BA04 - Perindopril y diureticos	LES LABORATOIRES SERVIER	2009-06-02	1	2011-10-05	Autorizado	2009-06-02	1	0	0	0
665231	72242	PERINDOPRIL/INDAPAMIDA TECNIGEN 2 mg/0,625 mg COMPRIMIDOS EFG	Perindopril/Indapamida 2 mg/0,625 mg comprimido	2 mg/0,625 mg	Blister	30	comprimido	PERINDOPRIL ERBUMINA 2 mg|INDAPAMIDA 0,625 mg	VÍA ORAL	COMPRIMIDO	2	C09BA04 - Perindopril y diureticos	TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.	2010-05-12	1	2011-06-15	Autorizado	2010-05-12	1	0	0	0
665233	72241	PERINDOPRIL/INDAPAMIDA TECNIGEN 4 mg/1,25 mg COMPRIMIDOS EFG	Perindopril/Indapamida 4 mg/1,25 mg comprimido	4 mg/1,25 mg	Blister	30	comprimido	PERINDOPRIL ERBUMINA 4 mg|INDAPAMIDA 1,25 mg	VÍA ORAL	COMPRIMIDO	2	C09BA04 - Perindopril y diureticos	TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.	2010-05-12	1	2011-06-15	Autorizado	2010-05-12	1	0	0	0
684180	74729	PERINDOPRIL/INDAPAMIDA STADA 2 mg/0,625 mg COMPRIMIDOS  EFG	Perindopril/Indapamida 2 mg/0,625 mg comprimido	2 mg/0,625 mg	Blister	30	comprimido	PERINDOPRIL ERBUMINA 2 mg|INDAPAMIDA 0,625 mg	VÍA ORAL	COMPRIMIDO	2	C09BA04 - Perindopril y diureticos	LABORATORIO STADA S.L.	2012-04-10	1	2012-10-25	Autorizado	2012-04-10	1	0	0	0
684184	74730	PERINDOPRIL/INDAPAMIDA STADA 4 mg/1,25 mg COMPRIMIDOS  EFG	Perindopril/Indapamida 4 mg/1,25 mg comprimido	4 mg/1,25 mg	Blister	30	comprimido	PERINDOPRIL ERBUMINA 4 mg|INDAPAMIDA 1,25 mg	VÍA ORAL	COMPRIMIDO	2	C09BA04 - Perindopril y diureticos	LABORATORIO STADA S.L.	2012-04-10	1	2012-10-25	Autorizado	2012-04-10	1	0	0	0
685666	74988	PERINDOPRIL/INDAPAMIDA VISO FARMACEUTICA 2 MG/0.625 MG COMPRIMIDOS EFG	Perindopril/Indapamida 2 mg/0,625 mg comprimido	2 mg/0,625 mg	Blister	30	comprimido	PERINDOPRIL ERBUMINA 2 mg|INDAPAMIDA 0,625 mg	VÍA ORAL	COMPRIMIDO	2	C09BA04 - Perindopril y diureticos	GLENMARK ARZNEIMITTEL GMBH	2015-06-24	1	2016-05-26	Autorizado	2015-06-24	1	0	0	0
685670	74989	PERINDOPRIL/INDAPAMIDA VISO FARMACEUTICA 4 MG/1,25 MG COMPRIMIDOS EFG	Perindopril/Indapamida 4 mg/1,25 mg comprimido	4 mg/1,25 mg	Blister	30	comprimido	PERINDOPRIL ERBUMINA 4 mg|INDAPAMIDA 1,25 mg	VÍA ORAL	COMPRIMIDO	2	C09BA04 - Perindopril y diureticos	GLENMARK ARZNEIMITTEL GMBH	2015-06-24	1	2016-05-26	Autorizado	2015-06-24	1	0	0	0
692429	76286	PERINDOPRIL TERBUTILAMINA/INDAPAMIDA APOTEX 4 MG/1,25 MG COMPRIMIDOS EFG	Perindopril/Indapamida 4 mg/1,25 mg comprimido	4 mg/1,25 mg	Blister	30	comprimido	PERINDOPRIL ERBUMINA 4 mg|INDAPAMIDA 1,25 mg	VÍA ORAL	COMPRIMIDO	2	C09BA04 - Perindopril y diureticos	APOTEX EUROPE B.V.	2012-07-30	0	2019-03-20	Anulado	2019-03-20	1	0	0	0
696597	77077	PERINDOPRIL/INDAPAMIDA VIATRIS 4 MG/1,25 MG COMPRIMIDOS EFG	Perindopril/Indapamida 4 mg/1,25 mg comprimido	4 mg/1,25 mg	Blister	30	comprimido	PERINDOPRIL ERBUMINA 4 mg|INDAPAMIDA 1,25 mg	VÍA ORAL	COMPRIMIDO	2	C09BA04 - Perindopril y diureticos	VIATRIS LIMITED	2013-02-01	1	2014-07-01	Autorizado	2016-10-03	1	0	0	0
696598	77078	PERINDOPRIL/INDAPAMIDA VIATRIS 2 MG/0,625 MG COMPRIMIDOS EFG	Perindopril/Indapamida 2 mg/0,625 mg comprimido	2 mg/0,625 mg	Blister	30	comprimido	PERINDOPRIL ERBUMINA 2 mg|INDAPAMIDA 0,625 mg	VÍA ORAL	COMPRIMIDO	2	C09BA - Inhibidores de la ECA y diureticos	VIATRIS LIMITED	2013-02-01	1	2014-07-01	Autorizado	2015-07-22	1	0	0	0
697236	77257	PERINDOPRIL/INDAPAMIDA SANDOZ 4 MG/1,25 MG COMPRIMIDOS EFG	Perindopril/Indapamida 4 mg/1,25 mg comprimido	4 mg/1,25 mg	Blister	30	comprimido	PERINDOPRIL ERBUMINA 4 mg|INDAPAMIDA 1,25 mg	VÍA ORAL	COMPRIMIDO	2	C09BA04 - Perindopril y diureticos	SANDOZ FARMACEUTICA S.A.	2013-03-08	1	2013-09-25	Autorizado	2013-03-08	1	0	0	0
697244	77262	PERINDOPRIL/INDAPAMIDA SANDOZ 2 MG/0,625 MG COMPRIMIDOS EFG	Perindopril/Indapamida 2 mg/0,625 mg comprimido	2 mg/0,625 mg	Blister	30	comprimido	PERINDOPRIL ERBUMINA 2 mg|INDAPAMIDA 0,625 mg	VÍA ORAL	COMPRIMIDO	2	C09BA04 - Perindopril y diureticos	SANDOZ FARMACEUTICA S.A.	2013-03-08	1	2013-09-25	Autorizado	2013-03-08	1	0	0	0
