cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	sw_generico	biosimilar	radiofarmaco
672822	73037	LIVAZO 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Pitavastatina 1 mg comprimido	1 mg	Blister	28	comprimido	PITAVASTATINA 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C10AA08 - Pitavastatina	KOWA PHARMACEUTICAL EUROPE GMBH	0	0	0	0
672825	73038	LIVAZO 2 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Pitavastatina 2 mg comprimido	2 mg	Blister	28	comprimido	PITAVASTATINA 2 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C10AA08 - Pitavastatina	KOWA PHARMACEUTICAL EUROPE GMBH	0	0	0	0
672826	73041	ALIPZA 2 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Pitavastatina 2 mg comprimido	2 mg	Blister	28	comprimido	PITAVASTATINA 2 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C10AA08 - Pitavastatina	KOWA PHARMACEUTICAL EUROPE GMBH	0	0	0	0
672827	73040	ALIPZA 4 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Pitavastatina 4 mg comprimido	4 mg	Blister	28	comprimido	PITAVASTATINA 4 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C10AA08 - Pitavastatina	KOWA PHARMACEUTICAL EUROPE GMBH	0	0	0	0
672830	73039	LIVAZO 4 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Pitavastatina 4 mg comprimido	4 mg	Blister	28	comprimido	PITAVASTATINA 4 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C10AA08 - Pitavastatina	KOWA PHARMACEUTICAL EUROPE GMBH	0	0	0	0
672842	73058	ALIPZA 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Pitavastatina 1 mg comprimido	1 mg	Blister	28	comprimido	PITAVASTATINA 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C10AA08 - Pitavastatina	KOWA PHARMACEUTICAL EUROPE GMBH	0	0	0	0
707298	5324603	ALIPZA 1 MG COMPRIMIDOS RECUBIERTOS CON PELICULA	Pitavastatina 1 mg comprimido	1 mg	Blister	28	comprimido	PITAVASTATINA 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C10AA08 - Pitavastatina	KOWA PHARMACEUTICAL EUROPE GMBH	0	0	0	0
707300	5324538	LIVAZO 1 MG COMPRIMIDOS RECUBIERTOS CON PELICULA	Pitavastatina 1 mg comprimido	1 mg	Blister	28	comprimido	PITAVASTATINA 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C10AA08 - Pitavastatina	KOWA PHARMACEUTICAL EUROPE GMBH	0	0	0	0
726447	5324538IP	LIVAZO 1 MG COMPRIMIDOS RECUBIERTOS CON PELICULA	Pitavastatina 1 mg comprimido	1 mg	Blister	28	comprimido	PITAVASTATINA 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C10AA08 - Pitavastatina	KOWA PHARMACEUTICAL EUROPE GMBH	0	0	0	0
726449	5324553	LIVAZO 2 MG COMPRIMIDOS RECUBIERTOS CON PELICULA	Pitavastatina 2 mg comprimido	2 mg	Blister	28	comprimido	PITAVASTATINA 2 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	C10AA08 - Pitavastatina	KOWA PHARMACEUTICAL EUROPE GMBH	0	0	0	0
