cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
606545	79358	734356	pregabalin 100 MG Oral Capsule	483438	EXACT			2026-03-12
606546	79359	19112670	pregabalin 150 MG Oral Capsule	483440	EXACT			2026-03-12
606547	79360	734394	pregabalin 200 MG Oral Capsule	483446	EXACT			2026-03-12
606549	79362	734392	pregabalin 300 MG Oral Capsule	483444	EXACT			2026-03-12
606550	79363	19112671	pregabalin 75 MG Oral Capsule	483450	EXACT			2026-03-12
606551	79364	734360	pregabalin 25 MG Oral Capsule	483442	EXACT			2026-03-12
606552	79365	734396	pregabalin 50 MG Oral Capsule	483448	EXACT			2026-03-12
606629	79854	734360	pregabalin 25 MG Oral Capsule	483442	EXACT			2026-03-12
606631	79857	734392	pregabalin 300 MG Oral Capsule	483444	EXACT			2026-03-12
606634	79859	19112670	pregabalin 150 MG Oral Capsule	483440	EXACT			2026-03-12
606636	79861	19112671	pregabalin 75 MG Oral Capsule	483450	EXACT			2026-03-12
606684	80308	19112671	pregabalin 75 MG Oral Capsule	483450	EXACT			2026-03-12
704496	79270	19112670	pregabalin 150 MG Oral Capsule	483440	EXACT			2026-03-12
704497	79271	734360	pregabalin 25 MG Oral Capsule	483442	EXACT			2026-03-12
704499	79273	734392	pregabalin 300 MG Oral Capsule	483444	EXACT			2026-03-12
704500	79274	19112671	pregabalin 75 MG Oral Capsule	483450	EXACT			2026-03-12
704558	79297	734360	pregabalin 25 MG Oral Capsule	483442	EXACT			2026-03-12
704559	79298	19112671	pregabalin 75 MG Oral Capsule	483450	EXACT			2026-03-12
704581	79307	734392	pregabalin 300 MG Oral Capsule	483444	EXACT			2026-03-12
704591	79313	19112670	pregabalin 150 MG Oral Capsule	483440	EXACT			2026-03-12
704729	79358	734356	pregabalin 100 MG Oral Capsule	483438	EXACT			2026-03-12
704730	79358	734356	pregabalin 100 MG Oral Capsule	483438	EXACT			2026-03-12
704731	79359	19112670	pregabalin 150 MG Oral Capsule	483440	EXACT			2026-03-12
704732	79360	734394	pregabalin 200 MG Oral Capsule	483446	EXACT			2026-03-12
704733	79360	734394	pregabalin 200 MG Oral Capsule	483446	EXACT			2026-03-12
704736	79362	734392	pregabalin 300 MG Oral Capsule	483444	EXACT			2026-03-12
704737	79363	19112671	pregabalin 75 MG Oral Capsule	483450	EXACT			2026-03-12
704738	79364	734360	pregabalin 25 MG Oral Capsule	483442	EXACT			2026-03-12
704739	79365	734396	pregabalin 50 MG Oral Capsule	483448	EXACT			2026-03-12
704829	79391	19112671	pregabalin 75 MG Oral Capsule	483450	EXACT			2026-03-12
704830	79392	19112670	pregabalin 150 MG Oral Capsule	483440	EXACT			2026-03-12
704831	79393	734360	pregabalin 25 MG Oral Capsule	483442	EXACT			2026-03-12
704832	79394	734392	pregabalin 300 MG Oral Capsule	483444	EXACT			2026-03-12
704838	79395	19112671	pregabalin 75 MG Oral Capsule	483450	EXACT			2026-03-12
704839	79396	19112670	pregabalin 150 MG Oral Capsule	483440	EXACT			2026-03-12
704840	79397	734392	pregabalin 300 MG Oral Capsule	483444	EXACT			2026-03-12
