cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
650657	66559	QUINAPRIL NORMON 40 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Quinapril 40 mg comprimido	40 mg	Blister	28	comprimido	QUINAPRIL HIDROCLORURO 40 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C09AA06 - Quinapril	LABORATORIOS NORMON S.A.	2005-01-28	1	2011-10-20	Autorizado	2005-01-28	1	0	0	0
650660	66560	QUINAPRIL NORMON 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Quinapril 20 mg comprimido	20 mg	Blister	28	comprimido	QUINAPRIL HIDROCLORURO 20 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C09AA06 - Quinapril	LABORATORIOS NORMON S.A.	2005-01-28	1	2011-10-20	Autorizado	2005-01-28	1	0	0	0
651169	66730	QUINAPRIL TAMARANG 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Quinapril 20 mg comprimido	20 mg	Blister	28	comprimido	QUINAPRIL HIDROCLORURO 20 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C09AA06 - Quinapril	TAMARANG S.A.	2005-04-27	0	2022-08-30	Anulado	2022-08-30	1	0	0	0
651178	66731	QUINAPRIL TAMARANG 5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Quinapril 5 mg comprimido	5 mg	Blister	60	comprimido	QUINAPRIL HIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C09AA06 - Quinapril	TAMARANG S.A.	2005-04-27	0	2023-01-23	Anulado	2023-01-23	1	0	0	0
651179	66732	QUINAPRIL TAMARANG 40 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Quinapril 40 mg comprimido	40 mg	Blister	28	comprimido	QUINAPRIL HIDROCLORURO 40 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C09AA06 - Quinapril	TAMARANG S.A.	2005-04-27	0	2022-08-30	Anulado	2022-08-30	1	0	0	0
667642	61733	ECTREN  40 mg COMPRIMIDOS RECUBIERTOS CON PELÍCULA	Quinapril 40 mg comprimido	40 mg	Blister	28	comprimido	QUINAPRIL HIDROCLORURO 40 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	1	C09AA06 - Quinapril	LABORATORIOS MENARINI S.A.	1998-02-01	0	2023-11-08	Anulado	2023-11-08	1	0	0	0
668814	61672	LIDALTRIN 40 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Quinapril 40 mg comprimido	40 mg	Blister	28	comprimido	QUINAPRIL HIDROCLORURO 40 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C09AA06 - Quinapril	LACER S.A.	1998-01-01	1	2011-10-14	Autorizado	1998-01-01	1	0	0	0
753335	65721	QUINAPRIL CINFA 40 mg COMPRIMIDOS EFG	Quinapril 40 mg comprimido	40 mg	Blister	28	comprimido	QUINAPRIL HIDROCLORURO 40 mg	VÍA ORAL	COMPRIMIDO	1	C09AA06 - Quinapril	LABORATORIOS CINFA S.A.	2003-10-24	0	2020-05-07	Anulado	2020-05-07	1	0	0	0
763771	65720	QUINAPRIL CINFA 5 mg COMPRIMIDOS EFG	Quinapril 5 mg comprimido	5 mg	Blister	60	comprimido	QUINAPRIL HIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO	1	C09AA06 - Quinapril	LABORATORIOS CINFA S.A.	2003-10-27	0	2020-05-07	Anulado	2020-05-07	1	0	0	0
788240	65822	QUINAPRIL CINFA 20 mg COMPRIMIDOS EFG	Quinapril 20 mg comprimido	20 mg	Blister	28	comprimido	QUINAPRIL HIDROCLORURO 20 mg	VÍA ORAL	COMPRIMIDO	1	C09AA06 - Quinapril	LABORATORIOS CINFA S.A.	2003-12-15	0	2020-05-07	Anulado	2020-05-07	1	0	0	0
881474	59191	ECTREN 20 mg COMPRIMIDOS RECUBIERTOS CON PELÍCULA	Quinapril 20 mg comprimido	20 mg	Blister	28	comprimido	QUINAPRIL HIDROCLORURO 20 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	1	C09AA06 - Quinapril	LABORATORIOS MENARINI S.A.	1991-11-01	0	2023-11-08	Anulado	2023-11-08	1	0	0	0
883330	59202	LIDALTRIN 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Quinapril 5 mg comprimido	5 mg	Blister	60	comprimido	QUINAPRIL HIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C09AA06 - Quinapril	LACER S.A.	1991-11-01	0	2011-10-14	Suspenso	2025-09-29	1	0	0	0
883439	59203	LIDALTRIN 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Quinapril 20 mg comprimido	20 mg	Blister	28	comprimido	QUINAPRIL HIDROCLORURO 20 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C09AA06 - Quinapril	LACER S.A.	1991-11-01	1	2011-10-14	Autorizado	1991-11-01	1	0	0	0
