cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
683785	74677	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
683787	74677	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
684160	74722	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-13
684162	74722	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-13
684603	74759	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-13
684606	74759	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-13
687370	75361	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
687371	75361	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
691681	76107	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
691682	76107	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
692477	76309	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
692667	76327	19080242	rizatriptan 10 MG Oral Tablet	314209	EXACT			2026-03-13
695723	76930	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
695724	76930	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
696602	77082	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-13
696603	77082	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-13
696605	77083	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
696669	77105	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
696670	77105	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
696990	77189	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
696991	77189	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
697239	77259	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
697240	77259	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
697658	77423	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
697659	77423	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
697664	77426	19080242	rizatriptan 10 MG Oral Tablet	314209	EXACT			2026-03-13
697665	77426	19080242	rizatriptan 10 MG Oral Tablet	314209	EXACT			2026-03-13
704171	62289	1154079	rizatriptan 10 MG Oral Tablet [Maxalt]	213322	EXACT			2026-03-13
704536	62291	1154117	rizatriptan 10 MG Disintegrating Oral Tablet [Maxalt]	828537	EXACT			2026-03-13
704544	62291	1154117	rizatriptan 10 MG Disintegrating Oral Tablet [Maxalt]	828537	EXACT			2026-03-13
711281	76309	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
716248	82067	19080242	rizatriptan 10 MG Oral Tablet	314209	EXACT			2026-03-13
720558	82825	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
723367	82825	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
696701	77121	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
696702	77121	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
697221	77251	19080242	rizatriptan 10 MG Oral Tablet	314209	EXACT			2026-03-12
697223	77251	19080242	rizatriptan 10 MG Oral Tablet	314209	EXACT			2026-03-12
698782	77798	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
707025	80020	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
707027	80020	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
721157	10-8012	1154117	rizatriptan 10 MG Disintegrating Oral Tablet [Maxalt]	828537	EXACT			2026-03-12
723910	83547	1154080	rizatriptan 10 MG Disintegrating Oral Tablet	312837	EXACT			2026-03-12
723985	3400934794407	1154117	rizatriptan 10 MG Disintegrating Oral Tablet [Maxalt]	828537	EXACT			2026-03-12
723986	3400934794407	1154117	rizatriptan 10 MG Disintegrating Oral Tablet [Maxalt]	828537	EXACT			2026-03-12
728526	034115117	1154117	rizatriptan 10 MG Disintegrating Oral Tablet [Maxalt]	828537	EXACT			2026-03-12
732452	3400934794346	1154117	rizatriptan 10 MG Disintegrating Oral Tablet [Maxalt]	828537	EXACT			2026-03-12
762319	3400934794346IP1	1154117	rizatriptan 10 MG Disintegrating Oral Tablet [Maxalt]	828537	EXACT			2026-03-12
