cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	sw_generico	biosimilar	radiofarmaco
654669	67919	ADARTREL 0,25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Ropinirol 0,25 mg comprimido	0,25 mg	Blister	12	comprimido	ROPINIROL 0,25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	GLAXOSMITHKLINE S.A.	0	0	0	0
654671	67921	ADARTREL 0.5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Ropinirol 0,5 mg comprimido	0,5 mg	Blister	84	comprimido	ROPINIROL 0,5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	GLAXOSMITHKLINE S.A.	0	0	0	0
654672	67922	ADARTREL 2 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Ropinirol 2 mg comprimido	2 mg	Blister	28	comprimido	ROPINIROL 2 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	GLAXOSMITHKLINE S.A.	0	0	0	0
660185	69436	ROPINIROL KERN PHARMA 0,50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 0,5 mg comprimido	0,5 mg	Blister	21	comprimido	ROPINIROL HIDROCLORURO 0,5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	KERN PHARMA S.L.	0	1	0	0
660187	69437	ROPINIROL KERN PHARMA 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 1 mg comprimido	1 mg	Frasco	84	comprimido	ROPINIROL HIDROCLORURO 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	KERN PHARMA S.L.	0	1	0	0
660188	69438	ROPINIROL KERN PHARMA 2 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 2 mg comprimido	2 mg	Frasco	84	comprimido	ROPINIROL HIDROCLORURO 2 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	KERN PHARMA S.L.	0	1	0	0
660189	69439	ROPINIROL KERN PHARMA 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 5 mg comprimido	5 mg	Frasco	84	comprimido	ROPINIROL HIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	KERN PHARMA S.L.	0	1	0	0
660190	69440	ROPINIROL CINFA 0,25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 0,25 mg comprimido	0,25 mg	Blister	126	comprimido	ROPINIROL HIDROCLORURO 0,25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	LABORATORIOS CINFA S.A.	0	1	0	0
660192	69441	ROPINIROL CINFA 0,50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 0,5 mg comprimido	0,5 mg	Blister	21	comprimido	ROPINIROL HIDROCLORURO 0,5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	LABORATORIOS CINFA S.A.	0	1	0	0
660194	69442	ROPINIROL CINFA 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 1 mg comprimido	1 mg	Frasco	84	comprimido	ROPINIROL HIDROCLORURO 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	LABORATORIOS CINFA S.A.	0	1	0	0
660200	69443	ROPINIROL CINFA 2 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 2 mg comprimido	2 mg	Frasco	84	comprimido	ROPINIROL HIDROCLORURO 2 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	LABORATORIOS CINFA S.A.	0	1	0	0
660488	69584	ROPINIROL TARBIS 0,25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 0,25 mg comprimido	0,25 mg	Blister	126	comprimido	ROPINIROL HIDROCLORURO 0,25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	TARBIS FARMA S.L.	0	1	0	0
660489	69585	ROPINIROL TARBIS 0,50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 0,5 mg comprimido	0,5 mg	Blister	21	comprimido	ROPINIROL HIDROCLORURO 0,5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	TARBIS FARMA S.L.	0	1	0	0
660491	69586	ROPINIROL TARBIS 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 1 mg comprimido	1 mg	Frasco	84	comprimido	ROPINIROL HIDROCLORURO 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	TARBIS FARMA S.L.	0	1	0	0
660492	69587	ROPINIROL TARBIS 2 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 2 mg comprimido	2 mg	Frasco	84	comprimido	ROPINIROL HIDROCLORURO 2 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	TARBIS FARMA S.L.	0	1	0	0
660493	69588	ROPINIROL TARBIS 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 5 mg comprimido	5 mg	Frasco	84	comprimido	ROPINIROL HIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	TARBIS FARMA S.L.	0	1	0	0
660734	69700	REQUIP-PROLIB 2 mg, COMPRIMIDOS DE LIBERACION PROLONGADA	Ropinirol 2 mg comprimido liberación modificada	2 mg	Blister	28	comprimido	ROPINIROL 2 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	GLAXOSMITHKLINE S.A.	0	0	0	0
660735	69701	REQUIP-PROLIB 4 mg, COMPRIMIDOS DE LIBERACION PROLONGADA	Ropinirol 4 mg comprimido liberación modificada	4 mg	Blister	28	comprimido	ROPINIROL 4 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	GLAXOSMITHKLINE S.A.	0	0	0	0
660737	69702	REQUIP-PROLIB 8 mg, COMPRIMIDOS DE LIBERACION PROLONGADA	Ropinirol 8 mg comprimido liberación modificada	8 mg	Blister	28	comprimido	ROPINIROL 8 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	GLAXOSMITHKLINE S.A.	0	0	0	0
661095	69876	ROPINIROL STADA 0,5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 0,5 mg comprimido	0,5 mg	Blister	84	comprimido	ROPINIROL HIDROCLORURO 0,5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	LABORATORIO STADA S.L.	0	1	0	0
661096	69876	ROPINIROL STADA 0,5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 0,5 mg comprimido	0,5 mg	Frasco	84	comprimido	ROPINIROL HIDROCLORURO 0,5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	LABORATORIO STADA S.L.	0	1	0	0
662814	70724	ROPINIROL MYLAN 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 1 mg comprimido	1 mg	Tubo	84	comprimido	ROPINIROL HIDROCLORURO 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	MYLAN PHARMACEUTICALS S.L.	0	1	0	0
662815	70726	ROPINIROL MYLAN 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 5 mg comprimido	5 mg	Tubo	84	comprimido	ROPINIROL HIDROCLORURO 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	MYLAN PHARMACEUTICALS S.L.	0	1	0	0
662835	70725	ROPINIROL MYLAN 2 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Ropinirol 2 mg comprimido	2 mg	Tubo	84	comprimido	ROPINIROL HIDROCLORURO 2 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	MYLAN PHARMACEUTICALS S.L.	0	1	0	0
663960	61466	REQUIP 1 mg  COMPRIMIDOS RECUBIERTOS CON PELICULA	Ropinirol 1 mg comprimido	1 mg	Blister	84	comprimido	ROPINIROL 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	GLAXOSMITHKLINE S.A.	0	0	0	0
663961	61468	REQUIP 2 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Ropinirol 2 mg comprimido	2 mg	Blister	84	comprimido	ROPINIROL 2 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	GLAXOSMITHKLINE S.A.	0	0	0	0
663962	61469	REQUIP 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Ropinirol 5 mg comprimido	5 mg	Blister	84	comprimido	ROPINIROL 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	GLAXOSMITHKLINE S.A.	0	0	0	0
672949	61469	REQUIP 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Ropinirol 5 mg comprimido	5 mg	Frasco	84	comprimido	ROPINIROL 5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	GLAXOSMITHKLINE S.A.	0	0	0	0
672956	61468	REQUIP 2 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Ropinirol 2 mg comprimido	2 mg	Frasco	84	comprimido	ROPINIROL 2 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	GLAXOSMITHKLINE S.A.	0	0	0	0
672972	61466	REQUIP 1 mg  COMPRIMIDOS RECUBIERTOS CON PELICULA	Ropinirol 1 mg comprimido	1 mg	Blister	21	comprimido	ROPINIROL 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	GLAXOSMITHKLINE S.A.	0	0	0	0
672980	61465	REQUIP 0,5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Ropinirol 0,5 mg comprimido	0,5 mg	Blister	21	comprimido	ROPINIROL 0,5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	GLAXOSMITHKLINE S.A.	0	0	0	0
672998	61464	REQUIP 0,25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Ropinirol 0,25 mg comprimido	0,25 mg	Blister	126	comprimido	ROPINIROL 0,25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	GLAXOSMITHKLINE S.A.	0	0	0	0
682966	74551	ROPINIROL KRKA 8 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Ropinirol 8 mg comprimido liberación modificada	8 mg	Blister	28	comprimido	ROPINIROL HIDROCLORURO 8 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	KRKA D.D. NOVO MESTO	0	1	0	0
682975	74552	ROPINIROL KRKA 4 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Ropinirol 4 mg comprimido liberación modificada	4 mg	Blister	28	comprimido	ROPINIROL HIDROCLORURO 4 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	KRKA D.D. NOVO MESTO	0	1	0	0
682983	74553	ROPINIROL KRKA 2 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Ropinirol 2 mg comprimido liberación modificada	2 mg	Blister	28	comprimido	ROPINIROL HIDROCLORURO 2 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	KRKA D.D. NOVO MESTO	0	1	0	0
683731	74664	ROLPRYNA SR 2 mg COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Ropinirol 2 mg comprimido liberación modificada	2 mg	Blister	28	comprimido	ROPINIROL HIDROCLORURO 2 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	KRKA D.D. NOVO MESTO	0	1	0	0
683735	74665	ROLPRYNA SR 8 mg COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Ropinirol 8 mg comprimido liberación modificada	8 mg	Blister	28	comprimido	ROPINIROL HIDROCLORURO 8 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	KRKA D.D. NOVO MESTO	0	1	0	0
683739	74666	ROLPRYNA SR 4 mg COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Ropinirol 4 mg comprimido liberación modificada	4 mg	Blister	28	comprimido	ROPINIROL HIDROCLORURO 4 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	KRKA D.D. NOVO MESTO	0	1	0	0
683743	74667	ROPINIROL TEVA 2 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Ropinirol 2 mg comprimido liberación modificada	2 mg	Blister	28	comprimido	ROPINIROL HIDROCLORURO 2 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	TEVA PHARMA S.L.U.	0	1	0	0
683747	74668	ROPINIROL TEVA 8 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Ropinirol 8 mg comprimido liberación modificada	8 mg	Blister	28	comprimido	ROPINIROL HIDROCLORURO 8 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	TEVA PHARMA S.L.U.	0	1	0	0
683752	74669	ROPINIROL TEVA 4 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Ropinirol 4 mg comprimido liberación modificada	4 mg	Blister	28	comprimido	ROPINIROL HIDROCLORURO 4 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	TEVA PHARMA S.L.U.	0	1	0	0
685316	74926	ROPINIROL RATIOPHARM 2 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Ropinirol 2 mg comprimido liberación modificada	2 mg	Blister	28	comprimido	ROPINIROL HIDROCLORURO 2 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	TEVA PHARMA S.L.U.	0	1	0	0
685322	74928	ROPINIROL RATIOPHARM 8 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Ropinirol 8 mg comprimido liberación modificada	8 mg	Blister	28	comprimido	ROPINIROL HIDROCLORURO 8 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	TEVA PHARMA S.L.U.	0	1	0	0
685327	74927	ROPINIROL RATIOPHARM 4 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Ropinirol 4 mg comprimido liberación modificada	4 mg	Blister	28	comprimido	ROPINIROL HIDROCLORURO 4 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	TEVA PHARMA S.L.U.	0	1	0	0
686865	75227	ROPINIROL STADA 2 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Ropinirol 2 mg comprimido liberación modificada	2 mg	Blister	28	comprimido	ROPINIROL HIDROCLORURO 2 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	LABORATORIO STADA S.L.	0	1	0	0
690563	61464	REQUIP 0,25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Ropinirol 0,25 mg comprimido	0,25 mg	Blister	84	comprimido	ROPINIROL 0,25 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	N04BC04 - Ropinirol	GLAXOSMITHKLINE S.A.	0	0	0	0
691095	75986	ROPINIROL STADA 4 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG	Ropinirol 4 mg comprimido liberación modificada	4 mg	Blister	28	comprimido	ROPINIROL HIDROCLORURO 4 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN PROLONGADA	N04BC04 - Ropinirol	LABORATORIO STADA S.L.	0	1	0	0
