cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
703598	79051	LIPOCOMB 20 MG/10 MG CAPSULAS DURAS	Rosuvastatina/Ezetimiba 20 mg/10 mg cápsula	20 mg/10 mg	Blister	30	cápsula	ROSUVASTATINA ZINC 20 mg|EZETIMIBA 10 mg	VÍA ORAL	CÁPSULA DURA	2	C10BA06 - Rosuvastatina y ezetimiba	EGIS PHARMACEUTICALS PLC.	2015-01-15	1	2018-04-12	Autorizado	2018-01-11	1	0	0	0
703615	79053	LIPOCOMB 10 MG/10 MG CAPSULAS DURAS	Rosuvastatina/Ezetimiba 10 mg/10 mg cápsula	10 mg/10 mg	Blister	30	cápsula	ROSUVASTATINA ZINC 10 mg|EZETIMIBA 10 mg	VÍA ORAL	CÁPSULA DURA	2	C10BA06 - Rosuvastatina y ezetimiba	EGIS PHARMACEUTICALS PLC.	2015-01-15	1	2018-04-12	Autorizado	2018-01-11	1	0	0	0
719044	82426	TWICOR 10 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA	Rosuvastatina/Ezetimiba 10 mg/10 mg comprimido	10 mg/10 mg	Blister	30	comprimido	ROSUVASTATINA  CALCICA 10 mg|EZETIMIBA 10 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	2	C10BA06 - Rosuvastatina y ezetimiba	VIATRIS HEALTHCARE LIMITED	2017-12-04	1	2018-05-11	Autorizado	2017-12-04	1	0	0	0
724254	83657	ATEROGER 10 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA	Rosuvastatina/Ezetimiba 10 mg/10 mg comprimido	10 mg/10 mg	Blister	30	comprimido	ROSUVASTATINA  CALCICA 10 mg|EZETIMIBA 10 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	2	C10BA06 - Rosuvastatina y ezetimiba	VIATRIS HEALTHCARE LIMITED	2019-04-02	1	2020-08-11	Autorizado	2019-04-02	1	0	0	0
724258	83658	ATEROGER 20 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA	Rosuvastatina/Ezetimiba 20 mg/10 mg comprimido	20 mg/10 mg	Blister	30	comprimido	ROSUVASTATINA  CALCICA 20 mg|EZETIMIBA 10 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	2	C10BA06 - Rosuvastatina y ezetimiba	VIATRIS HEALTHCARE LIMITED	2019-04-02	1	2020-08-11	Autorizado	2019-04-02	1	0	0	0
724267	83660	TWICOR 20 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA	Rosuvastatina/Ezetimiba 20 mg/10 mg comprimido	20 mg/10 mg	Blister	30	comprimido	ROSUVASTATINA  CALCICA 20 mg|EZETIMIBA 10 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	2	C10BA06 - Rosuvastatina y ezetimiba	VIATRIS HEALTHCARE LIMITED	2019-04-02	1	2019-07-04	Autorizado	2019-04-02	1	0	0	0
725658	84121	ZENON 10 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA	Rosuvastatina/Ezetimiba 10 mg/10 mg comprimido	10 mg/10 mg	Blister	30	comprimido	ROSUVASTATINA  CALCICA 10 mg|EZETIMIBA 10 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	2	C10BA06 - Rosuvastatina y ezetimiba	SANOFI AVENTIS S.A.	2019-05-21	1	2019-12-02	Autorizado	2019-05-21	1	0	0	0
725660	84122	ZENON 20 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA	Rosuvastatina/Ezetimiba 20 mg/10 mg comprimido	20 mg/10 mg	Blister	30	comprimido	ROSUVASTATINA  CALCICA 20 mg|EZETIMIBA 10 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	2	C10BA06 - Rosuvastatina y ezetimiba	SANOFI AVENTIS S.A.	2019-05-21	1	2019-12-02	Autorizado	2019-05-21	1	0	0	0
727390	84659	ROSUVASTATINA/EZETIMIBA STADAGEN 10 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA	Rosuvastatina/Ezetimiba 10 mg/10 mg comprimido	10 mg/10 mg	Blister	30	comprimido	ROSUVASTATINA  CALCICA 10 mg|EZETIMIBA 10 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	2	C10BA06 - Rosuvastatina y ezetimiba	LABORATORIO STADA S.L.	2019-12-18	1	2020-10-06	Autorizado	2019-12-18	1	0	0	0
727397	84660	ROSUVASTATINA/EZETIMIBA STADAGEN 20 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA	Rosuvastatina/Ezetimiba 20 mg/10 mg comprimido	20 mg/10 mg	Blister	30	comprimido	ROSUVASTATINA  CALCICA 20 mg|EZETIMIBA 10 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	2	C10BA06 - Rosuvastatina y ezetimiba	LABORATORIO STADA S.L.	2019-12-18	1	2020-10-06	Autorizado	2019-12-18	1	0	0	0
