cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
725368	84033	19132775	silodosin 8 MG Oral Capsule	809477				
725371	84034	19012929	silodosin 4 MG Oral Capsule	826612				
725385	84044	19012929	silodosin 4 MG Oral Capsule	826612				
725388	84045	19132775	silodosin 8 MG Oral Capsule	809477				
725422	84053	19132775	silodosin 8 MG Oral Capsule	809477				
725427	84054	19012929	silodosin 4 MG Oral Capsule	826612				
726044	84227	19132775	silodosin 8 MG Oral Capsule	809477				
726050	84228	19012929	silodosin 4 MG Oral Capsule	826612				
726163	84270	19132775	silodosin 8 MG Oral Capsule	809477				
726165	84271	19132775	silodosin 8 MG Oral Capsule	809477				
726193	84286	19012929	silodosin 4 MG Oral Capsule	826612				
726194	84287	19132775	silodosin 8 MG Oral Capsule	809477				
726247	84306	19012929	silodosin 4 MG Oral Capsule	826612				
726294	84319	19132775	silodosin 8 MG Oral Capsule	809477				
726351	84341	19132775	silodosin 8 MG Oral Capsule	809477				
726444	84378	19012929	silodosin 4 MG Oral Capsule	826612				
726445	84379	19132775	silodosin 8 MG Oral Capsule	809477				
726451	84381	19012929	silodosin 4 MG Oral Capsule	826612				
726452	84382	19132775	silodosin 8 MG Oral Capsule	809477				
727330	84633	19012929	silodosin 4 MG Oral Capsule	826612				
727332	84634	19132775	silodosin 8 MG Oral Capsule	809477				
728991	85271	19012929	silodosin 4 MG Oral Capsule	826612				
728993	85272	19132775	silodosin 8 MG Oral Capsule	809477				
731445	86127	19012929	silodosin 4 MG Oral Capsule	826612				
731446	86128	19132775	silodosin 8 MG Oral Capsule	809477	EXACT			
765041	89592	19012929	silodosin 4 MG Oral Capsule	826612				
765042	89591	19132775	silodosin 8 MG Oral Capsule	809477				
