cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
605710	74823	VIAFLO BICARBONATO SODICO 1,4%, SOLUCION PARA PERFUSION	Sodio bicarbonato 1,4% (1/6 M) inyectable perfusión 500 ml	1,4% (1/6 M)	Bolsa	20	bolsa perfusión	SODIO BICARBONATO 14 mg	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	B05XA02 - Bicarbonato de sodio	BAXTER S.L.	0	0	0
607812	45544	BICARBONATO SODICO 1/6 M MEIN SOLUCION PARA PERFUSION	Sodio bicarbonato 1,4% (1/6 M) inyectable perfusión 250 ml	1,4% (1/6 M)	Frasco	12	frasco perfusión	SODIO BICARBONATO 14 mg	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	B05XA02 - Bicarbonato de sodio	FRESENIUS KABI ESPAÑA, S.A.U.	0	0	0
607838	45544	BICARBONATO SODICO 1/6 M MEIN SOLUCION PARA PERFUSION	Sodio bicarbonato 1,4% (1/6 M) inyectable perfusión 500 ml	1,4% (1/6 M)	Frasco	12	frasco perfusión	SODIO BICARBONATO 14 mg	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	B05XA02 - Bicarbonato de sodio	FRESENIUS KABI ESPAÑA, S.A.U.	0	0	0
622290	47517	BICARBONATO SODICO 1/6 M BRAUN SOLUCION PARA PERFUSION	Sodio bicarbonato 1,4% (1/6 M) inyectable perfusión 250 ml	1,4% (1/6 M)	Frasco	10	frasco perfusión	SODIO BICARBONATO 14 mg	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	B05XA02 - Bicarbonato de sodio	B BRAUN MEDICAL S.A.	0	0	0
634477	49811	VENOFUSIN BICARBONATO SÓDICO 1 M SOLUCIÓN PARA PERFUSIÓN	Sodio bicarbonato 8,4% (1 M) inyectable perfusión 250 ml	8,4% (1 M)	Frasco	10	frasco perfusión	SODIO BICARBONATO 84 mg	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	B05XA02 - Bicarbonato de sodio	FRESENIUS KABI ESPAÑA, S.A.U.	0	0	0
645705	60324	BICARBONATO SODICO 1M GRIFOLS SOLUCION INYECTABLE	Sodio bicarbonato 8,4% (1 M) inyectable 10 ml	8,4% (1 M)	Ampolla	1	ampolla para inyección	SODIO BICARBONATO 84 mg	VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	B05XA02 - Bicarbonato de sodio	LABORATORIOS GRIFOLS S.A.	0	0	0
646380	60454	SOLUCION DE BICARBONATO SODICO 1,4% BAXTER (CLEAR FLEX)	Sodio bicarbonato 1,4% (1/6 M) inyectable perfusión 500 ml	1,4% (1/6 M)	Bolsa	20	bolsa perfusión	SODIO BICARBONATO 14 mg	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	B05XA02 - Bicarbonato de sodio	BAXTER S.L.	0	0	0
652635	67201	HOSPASOL 60 mmol/L, SOLUCION PARA PERFUSION	Sodio bicarbonato 60 mmol/l inyectable perfusión 3000 ml	60 mmol/l	Bolsa	3	bolsa perfusión	SODIO BICARBONATO 60 mmol	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	B05ZB - Hemofiltrados	GAMBRO LUNDIA AB	0	0	0
711270	80983	BICARBONATO NM 1 G POLVO PARA SOLUCION ORAL	Sodio bicarbonato 1.000 mg solución/suspensión oral sobre	1 g	Sobre	42	sobre	SODIO BICARBONATO 1 g	VÍA ORAL	POLVO PARA SOLUCIÓN ORAL	A02AH91 - Sodio bicarbonato	NUTRICION MEDICA S.L.	0	0	0
717322	35153	BICARBONATO DE SOSA TORRES MUÑOZ POLVO PARA SOLUCION ORAL	Sodio bicarbonato 1.000 mg/g solución/suspensión oral	1.000 mg/g	Bolsa	750	g	SODIO BICARBONATO 1000 mg	VÍA ORAL	POLVO ORAL	A02AH - Antiacidos con bicarbonato de sodio	HALEON SPAIN S.A.	0	0	0
