cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
600506	67553	40221362	sodium chloride Injection	1807545	EXACT			
600538	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
600539	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
600540	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
602443	62404	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
602444	62404	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
602445	62404	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
602446	62404	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
602447	62404	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
602492	59374	40220357	1000 ML sodium chloride 9 MG/ML Injection	1807639	EXACT			
602861	32726	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
603213	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
603583	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
603584	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
603585	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
603586	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
603588	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
603590	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
603591	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
603592	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
603593	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
605137	34365	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
605140	34365	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
605583	62283	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
605867	62404	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
605868	62404	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
605869	62404	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
605870	62404	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
606457	32726	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
606665	41604	40220357	1000 ML sodium chloride 9 MG/ML Injection	1807639	EXACT			
606773	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
606774	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
606775	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
606776	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
606777	67698	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT			
606819	65306	40220357	1000 ML sodium chloride 9 MG/ML Injection	1807639	EXACT			
607133	61987	40221362	sodium chloride Injection	1807545	EXACT			
607187	65306	40220357	1000 ML sodium chloride 9 MG/ML Injection	1807639	EXACT			
607188	58449	40221382	sodium chloride 9 MG/ML Injection	1807628				
