cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
704617	79321	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
704618	79322	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
707413	80116	1146200	solifenacin succinate 1 MG/ML Oral Suspension [Vesicare]	2375325	EXACT			2026-03-12
709959	80648	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
709960	80649	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
710245	80705	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
710246	80706	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
711020	80920	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
711021	80921	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
712839	81277	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
712840	81278	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
714094	81576	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
714096	81577	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
715652	81958	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
715678	81959	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
716682	82194	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
716683	82195	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
716685	82197	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
716813	82248	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
719243	82488	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
719247	82489	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
719891	82649	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
719985	82675	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
720014	82691	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
721225	83002	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
721226	83003	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
721371	83023	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
721372	83024	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
721373	83025	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
721374	83026	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
721386	83030	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
721387	83031	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
721620	83078	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
721622	83079	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
721763	83120	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
721764	83121	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
723309	66257	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
723310	66258	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
723752	83491	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
723753	83492	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
724420	83691	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
724421	83691	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
724422	83692	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
724423	83692	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
724499	83735	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
724502	83736	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
726531	84410	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
726542	84411	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
727320	84626	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
727322	84627	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
727585	84724	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
715704	81960	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
715731	81961	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
719984	82674	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
723291	34081-04-1.3.05	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
723292	RVG29152	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
723303	365_516-7IP	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
723983	83580	916011	solifenacin succinate 5 MG Oral Tablet [Vesicare]	539817	EXACT			2026-03-12
723984	83581	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
725255	83992	916010	solifenacin succinate 10 MG Oral Tablet [Vesicare]	539815	EXACT			2026-03-12
