cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
722322	83277	1336541	sunitinib 12.5 MG Oral Capsule	616279				
722323	83278	1336624	sunitinib 25 MG Oral Capsule	616285				
722325	83280	1336627	sunitinib 50 MG Oral Capsule	616289				
730748	1201511002	1336541	sunitinib 12.5 MG Oral Capsule	616279	EXACT			2025-12-04
730750	1201511005	1336624	sunitinib 25 MG Oral Capsule	616285	EXACT			2025-12-04
730752	1201511008	45776252	sunitinib 37.5 MG Oral Capsule	1541890	EXACT			2025-12-04
730755	1201511011	1336627	sunitinib 50 MG Oral Capsule	616289	EXACT			2025-12-04
730806	84506	1336541	sunitinib 12.5 MG Oral Capsule	616279	EXACT			
730807	84507	1336624	sunitinib 25 MG Oral Capsule	616285				
730809	84504	1336627	sunitinib 50 MG Oral Capsule	616289				
731084	85989	1336541	sunitinib 12.5 MG Oral Capsule	616279				
731085	85990	1336624	sunitinib 25 MG Oral Capsule	616285				
731086	85991	1336627	sunitinib 50 MG Oral Capsule	616289				
731615	86193	1336624	sunitinib 25 MG Oral Capsule	616285				
731616	86194	1336541	sunitinib 12.5 MG Oral Capsule	616279				
731617	86195	1336627	sunitinib 50 MG Oral Capsule	616289				
732060	86343	1336541	sunitinib 12.5 MG Oral Capsule	616279				
732061	86344	1336624	sunitinib 25 MG Oral Capsule	616285				
732177	86390	1336627	sunitinib 50 MG Oral Capsule	616289				
734868	86868	1336541	sunitinib 12.5 MG Oral Capsule	616279				
735770	86910	1336624	sunitinib 25 MG Oral Capsule	616285				
735772	86911	45776252	sunitinib 37.5 MG Oral Capsule	1541890				
735794	86913	1336627	sunitinib 50 MG Oral Capsule	616289				
761863	88305	1336624	sunitinib 25 MG Oral Capsule	616285				
761864	88307	1336627	sunitinib 50 MG Oral Capsule	616289				
