cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
605890	76114	TACROLIMUS CINFA 0,5 mg CAPSULAS DURAS EFG	Tacrolimus 0,5 mg cápsula	0,5 mg	Blister	100	cápsula	TACROLIMUS 0,5 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	LABORATORIOS CINFA S.A.	2012-06-25	1	2013-04-29	Autorizado	2018-03-16	1	0	0	0
605891	76115	TACROLIMUS CINFA 1 mg CAPSULAS DURAS EFG	Tacrolimus 1 mg cápsula	1 mg	Blister	100	cápsula	TACROLIMUS 1 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	LABORATORIOS CINFA S.A.	2012-06-25	1	2013-04-29	Autorizado	2018-03-16	1	0	0	0
605892	76116	TACROLIMUS CINFA 5 mg CAPSULAS DURAS EFG	Tacrolimus 5 mg cápsula	5 mg	Blister	100	cápsula	TACROLIMUS 5 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	LABORATORIOS CINFA S.A.	2012-06-25	1	2013-04-29	Autorizado	2018-03-16	1	0	0	0
658953	07387014	ADVAGRAF 0,5 MG CAPSULAS DURAS DE LIBERACION PROLONGADA	Tacrolimus 0,5 mg cápsula liberación modificada	0,5 mg	Blister	30	cápsula	TACROLIMUS 0,5 mg	VÍA ORAL	CÁPSULA DURA DE LIBERACIÓN PROLONGADA	1	L04AD02 - Tacrolimus	ASTELLAS PHARMA EUROPE B.V.	2012-07-24	1	2023-10-24	Autorizado	2012-07-24	1	0	0	0
658954	07387017	ADVAGRAF 1 MG CAPSULAS DURAS DE LIBERACION PROLONGADA	Tacrolimus 1 mg cápsula liberación modificada	1 mg	Blister	30	cápsula	TACROLIMUS 1 mg	VÍA ORAL	CÁPSULA DURA DE LIBERACIÓN PROLONGADA	1	L04AD02 - Tacrolimus	ASTELLAS PHARMA EUROPE B.V.	2012-07-24	1	2023-10-24	Autorizado	2012-07-24	1	0	0	0
658956	07387019	ADVAGRAF 1 MG CAPSULAS DURAS DE LIBERACION PROLONGADA	Tacrolimus 1 mg cápsula liberación modificada	1 mg	Blister	60	cápsula	TACROLIMUS 1 mg	VÍA ORAL	CÁPSULA DURA DE LIBERACIÓN PROLONGADA	1	L04AD02 - Tacrolimus	ASTELLAS PHARMA EUROPE B.V.	2012-07-24	1	2023-10-24	Autorizado	2012-07-24	1	0	0	0
658957	07387024	ADVAGRAF 5 MG CAPSULAS DURAS DE LIBERACION PROLONGADA	Tacrolimus 5 mg cápsula liberación modificada	5 mg	Blister	30	cápsula	TACROLIMUS 5 mg	VÍA ORAL	CÁPSULA DURA DE LIBERACIÓN PROLONGADA	1	L04AD02 - Tacrolimus	ASTELLAS PHARMA EUROPE B.V.	2012-07-24	1	2023-10-24	Autorizado	2012-07-24	1	0	0	0
662915	07387021	ADVAGRAF 3 MG CAPSULAS DURAS DE LIBERACION PROLONGADA	Tacrolimus 3 mg cápsula liberación modificada	3 mg	Blister	30	cápsula	TACROLIMUS 3 mg	VÍA ORAL	CÁPSULA DURA DE LIBERACIÓN PROLONGADA	1	L04AD02 - Tacrolimus	ASTELLAS PHARMA EUROPE B.V.	2012-07-24	1	2023-10-24	Autorizado	2012-07-24	1	0	0	0
663145	09523001	MODIGRAF 0,2 mg GRANULADO PARA SUSPENSION ORAL	Tacrolimus 0,2 mg solución/suspensión oral sobre	0,2 mg	Sobre	50	sobre	TACROLIMUS MONOHIDRATO 0,2 mg	VÍA ORAL	GRANULADO PARA SUSPENSIÓN ORAL	1	L04AD02 - Tacrolimus	ASTELLAS PHARMA EUROPE B.V.	2009-07-30	1	2011-10-18	Autorizado	2009-07-30	1	0	0	0
663147	09523002	MODIGRAF 1 mg GRANULADO PARA SUSPENSION ORAL	Tacrolimus 1 mg solución/suspensión oral sobre	1 mg	Sobre	50	sobre	TACROLIMUS MONOHIDRATO 1 mg	VÍA ORAL	GRANULADO PARA SUSPENSIÓN ORAL	1	L04AD02 - Tacrolimus	ASTELLAS PHARMA EUROPE B.V.	2009-07-30	1	2011-10-18	Autorizado	2009-07-30	1	0	0	0
667221	71673	ADOPORT  0,5 mg CAPSULAS DURAS EFG	Tacrolimus 0,5 mg cápsula	0,5 mg	Blister	30	cápsula	TACROLIMUS MONOHIDRATO 0,5 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	SANDOZ FARMACEUTICA S.A.	2011-03-17	1	2011-06-17	Autorizado	2011-03-17	1	0	0	0
667231	71674	ADOPORT 1 mg CAPSULAS DURAS EFG	Tacrolimus 1 mg cápsula	1 mg	Blister	30	cápsula	TACROLIMUS MONOHIDRATO 1 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	SANDOZ FARMACEUTICA S.A.	2011-03-17	1	2011-06-17	Autorizado	2011-03-17	1	0	0	0
667233	71674	ADOPORT 1 mg CAPSULAS DURAS EFG	Tacrolimus 1 mg cápsula	1 mg	Blister	60	cápsula	TACROLIMUS MONOHIDRATO 1 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	SANDOZ FARMACEUTICA S.A.	2011-03-17	1	2011-06-17	Autorizado	2011-03-17	1	0	0	0
667242	71675	ADOPORT 5 mg CAPSULAS DURAS EFG	Tacrolimus 5 mg cápsula	5 mg	Blister	30	cápsula	TACROLIMUS MONOHIDRATO 5 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	SANDOZ FARMACEUTICA S.A.	2011-03-17	1	2011-06-17	Autorizado	2011-03-17	1	0	0	0
672506	73278	TACNI 0,5 mg CAPSULAS DURAS EFG	Tacrolimus 0,5 mg cápsula	0,5 mg	Blister	30	cápsula	TACROLIMUS 0,5 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	TEVA PHARMA S.L.U.	2011-01-13	0	2025-04-09	Anulado	2025-04-09	1	0	0	0
672814	73276	TACNI 1 mg CAPSULAS DURAS EFG	Tacrolimus 1 mg cápsula	1 mg	Blister	30	cápsula	TACROLIMUS 1 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	TEVA PHARMA S.L.U.	2011-01-13	0	2025-04-09	Anulado	2025-04-09	1	0	0	0
672815	73276	TACNI 1 mg CAPSULAS DURAS EFG	Tacrolimus 1 mg cápsula	1 mg	Blister	60	cápsula	TACROLIMUS 1 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	TEVA PHARMA S.L.U.	2011-01-13	0	2025-04-09	Anulado	2025-04-09	1	0	0	0
673687	73657	TARTRIME 0,5 mg CAPSULAS DURAS EFG	Tacrolimus 0,5 mg cápsula	0,5 mg	Blister	30	cápsula	TACROLIMUS 0,5 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	JUSTE S.A. QUIMICO FARMACEUTICA	2011-03-18	0	2017-12-18	Anulado	2017-12-18	1	0	0	0
673689	73659	TARTRIME 1 mg CAPSULAS DURAS EFG	Tacrolimus 1 mg cápsula	1 mg	Blister	30	cápsula	TACROLIMUS 1 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	JUSTE S.A. QUIMICO FARMACEUTICA	2011-03-18	0	2017-12-18	Anulado	2017-12-18	1	0	0	0
673690	73659	TARTRIME 1 mg CAPSULAS DURAS EFG	Tacrolimus 1 mg cápsula	1 mg	Blister	60	cápsula	TACROLIMUS 1 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	JUSTE S.A. QUIMICO FARMACEUTICA	2011-03-18	0	2017-12-18	Anulado	2017-12-18	1	0	0	0
673691	73660	TARTRIME 5 mg CAPSULAS DURAS EFG	Tacrolimus 5 mg cápsula	5 mg	Blister	30	cápsula	TACROLIMUS 5 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	JUSTE S.A. QUIMICO FARMACEUTICA	2011-03-18	0	2017-12-18	Anulado	2017-12-18	1	0	0	0
675494	73744	TACROLIMUS STADA 0,5 mg CAPSULAS DURAS EFG	Tacrolimus 0,5 mg cápsula	0,5 mg	Blister	30	cápsula	TACROLIMUS 0,5 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	LABORATORIO STADA S.L.	2011-03-28	1	2011-12-15	Autorizado	2017-11-29	1	0	0	0
675605	73745	TACROLIMUS STADA 1 mg CAPSULAS DURAS EFG	Tacrolimus 1 mg cápsula	1 mg	Blister	60	cápsula	TACROLIMUS 1 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	LABORATORIO STADA S.L.	2011-03-28	1	2011-12-15	Autorizado	2011-03-28	1	0	0	0
677341	73277	TACNI 5 mg CAPSULAS DURAS EFG	Tacrolimus 5 mg cápsula	5 mg	Blister	30	cápsula	TACROLIMUS 5 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	TEVA PHARMA S.L.U.	2011-01-13	0	2025-04-09	Anulado	2025-04-09	1	0	0	0
677498	73423	TACROLIMUS MYLAN 5 mg CAPSULAS DURAS EFG	Tacrolimus 5 mg cápsula	5 mg	Blister	30	cápsula	TACROLIMUS 5 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	MYLAN PHARMACEUTICALS S.L.	2011-02-04	0	2019-04-29	Anulado	2019-04-29	1	0	0	0
677499	73424	TACROLIMUS MYLAN 0,5 mg CAPSULAS DURAS EFG	Tacrolimus 0,5 mg cápsula	0,5 mg	Blister	30	cápsula	TACROLIMUS 0,5 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	MYLAN PHARMACEUTICALS S.L.	2011-02-04	0	2019-04-29	Anulado	2019-04-29	1	0	0	0
677501	73422	TACROLIMUS MYLAN 1 mg CAPSULAS DURAS EFG	Tacrolimus 1 mg cápsula	1 mg	Blister	30	cápsula	TACROLIMUS 1 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	MYLAN PHARMACEUTICALS S.L.	2011-02-04	0	2019-04-29	Anulado	2019-04-29	1	0	0	0
677502	73422	TACROLIMUS MYLAN 1 mg CAPSULAS DURAS EFG	Tacrolimus 1 mg cápsula	1 mg	Blister	60	cápsula	TACROLIMUS 1 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	MYLAN PHARMACEUTICALS S.L.	2011-02-04	0	2019-04-29	Anulado	2019-04-29	1	0	0	0
680645	61006	PROGRAF 1 mg CAPSULAS DURAS	Tacrolimus 1 mg cápsula	1 mg	Blister	30	cápsula	TACROLIMUS 1 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	ASTELLAS PHARMA S.A.	1996-07-01	1	2011-10-26	Autorizado	1996-07-01	1	0	0	0
680660	61005	PROGRAF 5 mg CAPSULAS DURAS	Tacrolimus 5 mg cápsula	5 mg	Blister	30	cápsula	TACROLIMUS 5 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	ASTELLAS PHARMA S.A.	1996-07-01	1	2011-10-26	Autorizado	1996-07-01	1	0	0	0
680678	61004	PROGRAF 5 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION	Tacrolimus 5 mg/ml inyectable perfusión 1 ml	5 mg/ml inyectable 1 ml	Ampolla	10	ampolla para inyección	TACROLIMUS 5 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	L04AD02 - Tacrolimus	ASTELLAS PHARMA S.A.	1996-07-01	1	2011-10-26	Autorizado	1996-07-01	1	0	0	0
704971	79456	ADOPORT 2 MG CAPSULAS DURAS	Tacrolimus 2 mg cápsula	2 mg	Blister	30	cápsula	TACROLIMUS MONOHIDRATO 2 mg	VÍA ORAL	CÁPSULA DURA	1	L04AD02 - Tacrolimus	SANDOZ FARMACEUTICA S.A.	2015-01-30	1	2015-03-13	Autorizado	2015-01-30	1	0	0	0
706166	114935001	Envarsus 0,75mg comprimidos de liberacion prolongada	Tacrolimus 0,75 mg comprimido liberación modificada	0,75 mg	Blister	30	comprimido	TACROLIMUS MONOHIDRATO 0,75 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	1	L04AD02 - Tacrolimus	CHIESI FARMACEUTICI S.P.A.	2015-04-16	1	2015-10-13	Autorizado	2015-04-16	1	0	0	0
