cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
624346	63416	TAMOXIFENO VIR 20 mg COMPRIMIDOS EFG	Tamoxifeno 20 mg comprimido	20 mg	Blister	500	comprimido	TAMOXIFENO CITRATO 20 mg	VÍA ORAL	COMPRIMIDO	1	L02BA01 - Tamoxifeno	INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.	2000-11-06	1	2014-07-23	Autorizado	2000-11-06	1	0	0	0
650106	63030	TAMOXIFENO SANDOZ 10 MG COMPRIMIDOS EFG	Tamoxifeno 10 mg comprimido	10 mg	Frasco	30	comprimido	TAMOXIFENO CITRATO 10 mg	VÍA ORAL	COMPRIMIDO	1	L02BA01 - Tamoxifeno	SANDOZ FARMACEUTICA S.A.	2000-04-11	0	2022-12-09	Anulado	2022-12-09	1	0	0	0
650107	63030	TAMOXIFENO SANDOZ 10 MG COMPRIMIDOS EFG	Tamoxifeno 10 mg comprimido	10 mg	Frasco	100	comprimido	TAMOXIFENO CITRATO 10 mg	VÍA ORAL	COMPRIMIDO	1	L02BA01 - Tamoxifeno	SANDOZ FARMACEUTICA S.A.	2000-04-11	0	2022-12-09	Anulado	2022-12-09	1	0	0	0
650108	63040	TAMOXIFENO SANDOZ 20 MG COMPRIMIDOS EFG	Tamoxifeno 20 mg comprimido	20 mg	Frasco	30	comprimido	TAMOXIFENO CITRATO 20 mg	VÍA ORAL	COMPRIMIDO	1	L02BA01 - Tamoxifeno	SANDOZ FARMACEUTICA S.A.	2000-04-11	0	2022-12-09	Anulado	2022-12-09	1	0	0	0
650109	63040	TAMOXIFENO SANDOZ 20 MG COMPRIMIDOS EFG	Tamoxifeno 20 mg comprimido	20 mg	Frasco	60	comprimido	TAMOXIFENO CITRATO 20 mg	VÍA ORAL	COMPRIMIDO	1	L02BA01 - Tamoxifeno	SANDOZ FARMACEUTICA S.A.	2000-04-11	0	2022-12-09	Anulado	2022-12-09	1	0	0	0
849935	63754	TAMOXIFENO CINFA 10 mg COMPRIMIDOS EFG	Tamoxifeno 10 mg comprimido	10 mg	Blister	30	comprimido	TAMOXIFENO CITRATO 10 mg	VÍA ORAL	COMPRIMIDO	1	L02BA01 - Tamoxifeno	LABORATORIOS CINFA S.A.	2001-03-16	1	2011-10-19	Autorizado	2001-03-16	1	0	0	0
850081	63754	TAMOXIFENO CINFA 10 mg COMPRIMIDOS EFG	Tamoxifeno 10 mg comprimido	10 mg	Blister	100	comprimido	TAMOXIFENO CITRATO 10 mg	VÍA ORAL	COMPRIMIDO	1	L02BA01 - Tamoxifeno	LABORATORIOS CINFA S.A.	2001-03-16	1	2011-10-19	Autorizado	2001-03-16	1	0	0	0
864587	63774	TAMOXIFENO CINFA 20 mg COMPRIMIDOS EFG	Tamoxifeno 20 mg comprimido	20 mg	Blister	30	comprimido	TAMOXIFENO CITRATO 20 mg	VÍA ORAL	COMPRIMIDO	1	L02BA01 - Tamoxifeno	LABORATORIOS CINFA S.A.	2001-03-22	1	2011-10-19	Autorizado	2001-03-22	1	0	0	0
864678	63774	TAMOXIFENO CINFA 20 mg COMPRIMIDOS EFG	Tamoxifeno 20 mg comprimido	20 mg	Blister	60	comprimido	TAMOXIFENO CITRATO 20 mg	VÍA ORAL	COMPRIMIDO	1	L02BA01 - Tamoxifeno	LABORATORIOS CINFA S.A.	2001-03-22	1	2011-10-19	Autorizado	2001-03-22	1	0	0	0
931816	63416	TAMOXIFENO VIR 20 mg COMPRIMIDOS EFG	Tamoxifeno 20 mg comprimido	20 mg	Blister	30	comprimido	TAMOXIFENO CITRATO 20 mg	VÍA ORAL	COMPRIMIDO	1	L02BA01 - Tamoxifeno	INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.	2000-11-06	0	2023-12-20	Autorizado	2000-11-06	1	0	0	0
