cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
701917	78607	VESOMNI 6 MG/0,4 MG COMPRIMIDOS DE LIBERACION MODIFICADA	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blister	30	comprimido	TAMSULOSINA HIDROCLORURO 0,4 mg|SOLIFENACINA SUCCINATO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	ASTELLAS PHARMA S.A.	0	0	0
703094	78928	VOLUTSA 6 MG/0,4 MG COMPRIMIDOS DE LIBERACION MODIFICADA	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blister	30	comprimido	TAMSULOSINA HIDROCLORURO 0,4 mg|SOLIFENACINA SUCCINATO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	ASTELLAS PHARMA S.A.	0	0	0
758764	88217	BLOBAX 6 MG/0,4 MG COMPRIMIDOS DE LIBERACION MODIFICADA EFG	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blister	30	comprimido	TAMSULOSINA HIDROCLORURO 0,4 mg|SOLIFENACINA SUCCINATO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.	0	0	0
758765	88218	VESOLTA 6 MG/0,4 MG COMPRIMIDOS DE LIBERACION MODIFICADA EFG	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blister	30	comprimido	TAMSULOSINA HIDROCLORURO 0,3 mg|SOLIFENACINA SUCCINATO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	KERN PHARMA S.L.	0	0	0
761524	88509	SOLIFENACINA/TAMSULOSINA CINFAMED 6 MG/0.4 MG COMPRIMIDOS DE LIBERACION MODIFICADA EFG	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blister	30	comprimido	SOLIFENACINA SUCCINATO 0,4 mg|TAMSULOSINA HIDROCLORURO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	LABORATORIOS CINFA S.A.	0	0	0
762303	88683	SOLIFENACINA/TAMSULOSINA PENSA 6 MG/0,4 MG COMPRIMIDOS DE LIBERACIÓN MODIFICADA EFG	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blister	30	comprimido	SOLIFENACINA SUCCINATO 0,4 mg|TAMSULOSINA HIDROCLORURO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	TOWA PHARMACEUTICAL S.A.	0	0	0
762321	88689	SOLIFENACINA/TAMSULOSINA ARISTO 6 MG/0,4 MG COMPRIMIDOS DE LIBERACION MODIFICADA EFG	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blister	30	comprimido	TAMSULOSINA HIDROCLORURO 0,4 mg|SOLIFENACINA SUCCINATO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	ARISTO PHARMA GMBH	0	0	0
762368	88710	SOLIFENACINA/TAMSULOSINA NORMON 6 MG/0,4 MG COMPRIMIDOS DE LIBERACION MODIFICADA EFG	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blister	30	comprimido	TAMSULOSINA HIDROCLORURO 0,4 mg|SOLIFENACINA SUCCINATO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	LABORATORIOS NORMON S.A.	0	0	0
762392	88721	SOLIFENACINA/TAMSULOSINA TEVA 6 MG/0,4 MG COMPRIMIDOS DE LIBERACION MODIFICADA EFG	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blister	30	comprimido	TAMSULOSINA HIDROCLORURO 0,4 mg|SOLIFENACINA SUCCINATO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	TEVA B.V.	0	0	0
762902	88894	SOLIFENACINA/TAMSULOSINA STADAPHARMA 6 MG/0,4 MG COMPRIMIDOS DE LIBERACION MODIFICADA EFG	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blister	30	comprimido	TAMSULOSINA HIDROCLORURO 0,4 mg|SOLIFENACINA SUCCINATO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	LABORATORIO STADA S.L.	0	0	0
762956	88915	SOLIFENACINA /TAMSULOSINA AUROVITAS 6 MG/0,4 MG COMPRIMIDOS DE LIBERACION MODIFICADA EFG	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blister	30	comprimido	TAMSULOSINA HIDROCLORURO 0,4 mg|SOLIFENACINA SUCCINATO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	AUROVITAS SPAIN, S.A.U.	0	0	0
762960	88918	BITAMSOL 6 MG/0,4 MG COMPRIMIDOS DE LIBERACION MODIFICADA EFG	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blister	30	comprimido	TAMSULOSINA HIDROCLORURO 0,4 mg|SOLIFENACINA SUCCINATO 6 mEq	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	LABORATORIOS Q PHARMA S.L.	0	0	0
763277	89010	TASOLTRIP 6 MG/0,4 MG COMPRIMIDOS DE LIBERACION MODIFICADA EFG	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blíster unidosis	30	comprimido	TAMSULOSINA HIDROCLORURO 0,4 mg|SOLIFENACINA SUCCINATO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	GP PHARM S.A.	0	0	0
763415	89055	SOLIFENACINA/TAMSULOSINA VIATRIS 6 MG/0,4 MG COMPRIMIDOS DE LIBERACION MODIFICADA EFG	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blister	30	comprimido	TAMSULOSINA HIDROCLORURO 0,4 mg|SOLIFENACINA SUCCINATO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	VIATRIS LIMITED	0	0	0
763714	89139	SOLIFENACINA/TAMSULOSINA ALTER 6 MG/0,4 MG COMPRIMIDOS DE LIBERACIÓN MODIFICADA EFG	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blister	30	comprimido	TAMSULOSINA HIDROCLORURO 0,4 mg|SOLIFENACINA SUCCINATO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	LABORATORIOS ALTER S.A.	0	0	0
763715	89140	DAITAL 6 MG/0,4 MG COMPRIMIDOS DE LIBERACIÓN MODIFICADA EFG	Tamsulosina/Solifenacina 0,4 mg/6 mg comprimido liberación modificada	0,4 mg/6 mg	Blister	30	comprimido	TAMSULOSINA HIDROCLORURO 0,4 mg|SOLIFENACINA SUCCINATO 6 mg	VÍA ORAL	COMPRIMIDO DE LIBERACIÓN MODIFICADA	G04CA53 - Tamsulosina y solifenacina	LABORATORIOS ALTER S.A.	0	0	0
