cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
696462	111697021	19125747	temozolomide 180 MG Oral Capsule	700885	EXACT			2025-12-04
696516	111697023	19079717	temozolomide 250 MG Oral Capsule	313210	EXACT			2025-12-04
696517	111697018	19082374	temozolomide 100 MG Oral Capsule	317160	EXACT			2025-12-04
696519	111697017	19082374	temozolomide 100 MG Oral Capsule	317160	EXACT			2025-12-04
696520	111697019	19125745	temozolomide 140 MG Oral Capsule	700883	EXACT			2025-12-04
696521	111697020	19125745	temozolomide 140 MG Oral Capsule	700883	EXACT			2025-12-04
696523	111697015	19079716	temozolomide 20 MG Oral Capsule	313209	EXACT			2025-12-04
696525	111697013	1341176	temozolomide 5 MG Oral Capsule	313211	EXACT			2025-12-04
707151	110615025	1341176	temozolomide 5 MG Oral Capsule	313211	EXACT			2025-12-04
707153	110615027	19079716	temozolomide 20 MG Oral Capsule	313209	EXACT			2025-12-04
707155	110615029	19082374	temozolomide 100 MG Oral Capsule	317160	EXACT			2025-12-04
707160	110615031	19125745	temozolomide 140 MG Oral Capsule	700883	EXACT			2025-12-04
707162	110615033	19125747	temozolomide 180 MG Oral Capsule	700885	EXACT			2025-12-04
707180	110615035	19079717	temozolomide 250 MG Oral Capsule	313210	EXACT			2025-12-04
662366	98096013	1341151	temozolomide 20 MG Oral Capsule [Temodar]	261289	EXACT			2026-03-12
662367	98096014	1341151	temozolomide 20 MG Oral Capsule [Temodar]	261289	EXACT			2026-03-12
662368	98096015	19068335	temozolomide 100 MG Oral Capsule [Temodar]	261290	EXACT			2026-03-12
662369	98096016	19068335	temozolomide 100 MG Oral Capsule [Temodar]	261290	EXACT			2026-03-12
662370	98096017	19126409	temozolomide 140 MG Oral Capsule [Temodar]	705617	EXACT			2026-03-12
662371	98096018	19126409	temozolomide 140 MG Oral Capsule [Temodar]	705617	EXACT			2026-03-12
662372	98096019	19126411	temozolomide 180 MG Oral Capsule [Temodar]	705619	EXACT			2026-03-12
663550	98096023	1341209	temozolomide 100 MG Injection	835945	EXACT			2026-03-12
664203	98096024	1341150	temozolomide 5 MG Oral Capsule [Temodar]	261288	EXACT			2026-03-12
664667	09606001	1341176	temozolomide 5 MG Oral Capsule	313211	EXACT			2026-03-12
664668	09606003	19079716	temozolomide 20 MG Oral Capsule	313209	EXACT			2026-03-12
664669	09606004	19079716	temozolomide 20 MG Oral Capsule	313209	EXACT			2026-03-12
664670	09606005	19082374	temozolomide 100 MG Oral Capsule	317160	EXACT			2026-03-12
664671	09606006	19082374	temozolomide 100 MG Oral Capsule	317160	EXACT			2026-03-12
664673	09606007	19125745	temozolomide 140 MG Oral Capsule	700883	EXACT			2026-03-12
664674	09606008	19125745	temozolomide 140 MG Oral Capsule	700883	EXACT			2026-03-12
664675	09606009	19125747	temozolomide 180 MG Oral Capsule	700885	EXACT			2026-03-12
664676	09606011	19079717	temozolomide 250 MG Oral Capsule	313210	EXACT			2026-03-12
665815	09605001	1341176	temozolomide 5 MG Oral Capsule	313211	EXACT			2026-03-12
665816	09605003	19079716	temozolomide 20 MG Oral Capsule	313209	EXACT			2026-03-12
665817	09605004	19079716	temozolomide 20 MG Oral Capsule	313209	EXACT			2026-03-12
665818	09605005	19082374	temozolomide 100 MG Oral Capsule	317160	EXACT			2026-03-12
665819	09605006	19082374	temozolomide 100 MG Oral Capsule	317160	EXACT			2026-03-12
665820	09605007	19125745	temozolomide 140 MG Oral Capsule	700883	EXACT			2026-03-12
665821	09605008	19125745	temozolomide 140 MG Oral Capsule	700883	EXACT			2026-03-12
665822	09605009	19125747	temozolomide 180 MG Oral Capsule	700885	EXACT			2026-03-12
665823	09605011	19079717	temozolomide 250 MG Oral Capsule	313210	EXACT			2026-03-12
665825	10615001	1341176	temozolomide 5 MG Oral Capsule	313211	EXACT			2026-03-12
665826	10615002	1341176	temozolomide 5 MG Oral Capsule	313211	EXACT			2026-03-12
665827	10615005	19079716	temozolomide 20 MG Oral Capsule	313209	EXACT			2026-03-12
665829	10615006	19079716	temozolomide 20 MG Oral Capsule	313209	EXACT			2026-03-12
665830	10615009	19082374	temozolomide 100 MG Oral Capsule	317160	EXACT			2026-03-12
665831	10615010	19082374	temozolomide 100 MG Oral Capsule	317160	EXACT			2026-03-12
665832	10615013	19125745	temozolomide 140 MG Oral Capsule	700883	EXACT			2026-03-12
665833	10615014	19125745	temozolomide 140 MG Oral Capsule	700883	EXACT			2026-03-12
665834	10615017	19125747	temozolomide 180 MG Oral Capsule	700885	EXACT			2026-03-12
665835	10615021	19079717	temozolomide 250 MG Oral Capsule	313210	EXACT			2026-03-12
684754	11697005	19082374	temozolomide 100 MG Oral Capsule	317160	EXACT			2026-03-12
684759	11697007	19125745	temozolomide 140 MG Oral Capsule	700883	EXACT			2026-03-12
684760	11697009	19125747	temozolomide 180 MG Oral Capsule	700885	EXACT			2026-03-12
684766	11697003	19079716	temozolomide 20 MG Oral Capsule	313209	EXACT			2026-03-12
684767	11697011	19079717	temozolomide 250 MG Oral Capsule	313210	EXACT			2026-03-12
684768	11697001	1341176	temozolomide 5 MG Oral Capsule	313211	EXACT			2026-03-12
684868	11697006	19082374	temozolomide 100 MG Oral Capsule	317160	EXACT			2026-03-12
684869	11697008	19125745	temozolomide 140 MG Oral Capsule	700883	EXACT			2026-03-12
764993	98096015IP	19068335	temozolomide 100 MG Oral Capsule [Temodar]	261290	EXACT			2026-03-12
