cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
636936	65248	ANPEVAL 300 mg CAPSULAS DURAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	500	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.	2003-02-24	1	2021-03-09	Autorizado	2003-02-24	1	0	0	0
650121	65268	TRIFLUSAL RATIOPHARM 300 mg CAPSULAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	30	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	TEVA PHARMA S.L.U.	2003-03-06	0	2024-06-06	Anulado	2024-06-06	1	0	0	0
650122	65268	TRIFLUSAL RATIOPHARM 300 mg CAPSULAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	50	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	TEVA PHARMA S.L.U.	2003-03-06	0	2024-06-06	Anulado	2024-06-06	1	0	0	0
656197	68092	TRIFLUSAL TEVA 300 mg CAPSULAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	50	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	TEVA PHARMA S.L.U.	2006-10-19	0	2024-11-11	Anulado	2024-11-11	1	0	0	0
656302	68135	DISGREN 600 mg POLVO Y DISOLVENTE PARA SOLUCION ORAL	Triflusal 600 mg solución/suspensión oral envase unidosis	600 mg	Frasco	30	envase uso oral unidosis	TRIFLUSAL 600 mg	VÍA ORAL	POLVO Y DISOLVENTE PARA SOLUCIÓN ORAL	1	B01AC18 - Triflusal	LABORATORIOS ERN S.A.	2006-11-06	0	2011-10-24	Suspenso	2025-07-03	1	0	0	0
656428	68201	TRIFLUSAL CINFA 300 mg CAPSULAS  DURAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	50	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	LABORATORIOS CINFA S.A.	2007-02-01	1	2011-10-19	Autorizado	2007-02-01	1	0	0	0
658516	68201	TRIFLUSAL CINFA 300 mg CAPSULAS  DURAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	30	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	LABORATORIOS CINFA S.A.	2007-02-01	1	2011-10-19	Autorizado	2007-02-01	1	0	0	0
691688	76110	TRIFLUSAL PENSA 300 mg CAPSULAS DURAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	30	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	TOWA PHARMACEUTICAL S.A.	2012-06-25	0	2023-11-22	Autorizado	2012-06-25	1	0	0	0
691689	76110	TRIFLUSAL PENSA 300 mg CAPSULAS DURAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	50	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	TOWA PHARMACEUTICAL S.A.	2012-06-25	1	2013-01-18	Autorizado	2012-06-25	1	0	0	0
700129	65248	ANPEVAL 300 mg CAPSULAS DURAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	30	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.	2003-02-24	1	2013-11-06	Autorizado	2003-02-24	1	0	0	0
700130	65248	ANPEVAL 300 mg CAPSULAS DURAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	50	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.	2003-02-24	1	2013-11-06	Autorizado	2003-02-24	1	0	0	0
752501	65245	TRIFLUSAL LAREQ 300 mg CAPSULAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	50	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	APOTEX ESPANA S.L.	2003-02-19	0	2019-07-23	Anulado	2019-07-23	1	0	0	0
752857	65246	TRIFLUSAL ABAMED 300 MG CAPSULAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	30	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	QUALIX PHARMA S.L.	2003-02-19	1	2013-09-23	Autorizado	2003-02-19	1	0	0	0
752865	65246	TRIFLUSAL ABAMED 300 MG CAPSULAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	50	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	QUALIX PHARMA S.L.	2003-02-19	1	2013-09-23	Autorizado	2003-02-19	1	0	0	0
754242	65249	TRIFLUSAL STADA 300 mg CAPSULAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	50	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	LABORATORIO STADA S.L.	2003-02-19	0	2020-10-27	Anulado	2020-10-27	1	0	0	0
780510	65247	TRIFLUSAL FARMALIDER 300 mg CAPSULAS DURAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	50	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	FARMALIDER S.A.	2003-02-24	0	2015-09-23	Autorizado	2020-10-06	1	0	0	0
780551	65247	TRIFLUSAL FARMALIDER 300 mg CAPSULAS DURAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	30	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	FARMALIDER S.A.	2003-02-24	0	2024-02-01	Autorizado	2020-10-06	1	0	0	0
847178	66104	TRIFLUSAL ARISTO 300 mg CAPSULAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	30	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	ARISTO PHARMA IBERIA S.L.	2004-05-28	0	2024-04-08	Anulado	2024-04-08	1	0	0	0
847269	66104	TRIFLUSAL ARISTO 300 mg CAPSULAS EFG	Triflusal 300 mg cápsula	300 mg	Blister	50	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	ARISTO PHARMA IBERIA S.L.	2004-05-28	0	2024-04-08	Anulado	2024-04-08	1	0	0	0
944694	55295	DISGREN 300 MG CÁPSULAS DURAS	Triflusal 300 mg cápsula	300 mg	Blister	30	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	LABORATORIOS ERN S.A.	1981-01-01	1	2011-10-24	Autorizado	1981-01-01	1	0	0	0
955229	55295	DISGREN 300 MG CÁPSULAS DURAS	Triflusal 300 mg cápsula	300 mg	Blister	50	cápsula	TRIFLUSAL 300 mg	VÍA ORAL	CÁPSULA DURA	1	B01AC18 - Triflusal	LABORATORIOS ERN S.A.	1981-01-01	1	2011-10-24	Autorizado	1981-01-01	1	0	0	0
