cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
603065	05330010	ROTARIX SUSPENSION ORAL EN TUBO DOSIFICADOR. VACUNA ANTIRROTAVIRUS, VIVA	Vacuna atenuada anti rotavirus solución/suspensión oral	N/A (vacuna)	Tubo	10	envase uso oral unidosis	ROTAVIRUS HUMANO N/A (vacuna) N/A (vacuna)	VÍA ORAL	SUSPENSIÓN ORAL	J07BH01 - Rotavirus, virus vivo atenuado	GLAXOSMITHKLINE BIOLOGICALS	0	0	0
654712	06348001	ROTATEQ SOLUCION ORAL	Vacuna atenuada anti rotavirus pentavalente solución/suspensión oral	N/A (vacuna)	Tubo	1	envase uso oral unidosis	N/A (vacuna) N/A (vacuna)	VÍA ORAL	SOLUCIÓN ORAL	J07BH02 - Rotavirus pentavalente, vivo, modificado	MERCK SHARP & DOHME B.V.	0	0	0
661542	05330005	ROTARIX SUSPENSION ORAL EN APLICADOR ORAL PRECARGADO. VACUNA ANTIRROTAVIRUS, VIVA	Vacuna atenuada anti rotavirus solución/suspensión oral	N/A (vacuna)	Aplicador	1	envase uso oral unidosis	ROTAVIRUS HUMANO N/A (vacuna) N/A (vacuna)	VÍA ORAL	SUSPENSIÓN ORAL	J07BH01 - Rotavirus, virus vivo atenuado	GLAXOSMITHKLINE BIOLOGICALS	0	0	0
661543	05330009	ROTARIX SUSPENSION ORAL EN TUBO DOSIFICADOR. VACUNA ANTIRROTAVIRUS, VIVA	Vacuna atenuada anti rotavirus solución/suspensión oral	N/A (vacuna)	Tubo	1	envase uso oral unidosis	ROTAVIRUS HUMANO N/A (Vacuna) N/A (vacuna)	VÍA ORAL	SUSPENSIÓN ORAL	J07BH01 - Rotavirus, virus vivo atenuado	GLAXOSMITHKLINE BIOLOGICALS	0	0	0
709886	06348001IP1	ROTATEQ solucion oral	Vacuna atenuada anti rotavirus pentavalente solución/suspensión oral	N/A (vacuna)	Tubo	1	envase uso oral unidosis	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA ORAL	SOLUCIÓN ORAL	J07BH02 - Rotavirus pentavalente, vivo, modificado	SANOFI PASTEUR MSD S.N.C.	0	0	0
715756	05330005IP	ROTARIX SUSPENSION ORAL EN APLICADOR ORAL PRECARGADO	Vacuna atenuada anti rotavirus solución/suspensión oral	N/A (Vacuna)	Aplicador bucal	1	envase uso oral unidosis	ROTAVIRUS HUMANO N/A (Vacuna) N/A (vacuna)	VÍA ORAL	SUSPENSIÓN ORAL	J07BH01 - Rotavirus, virus vivo atenuado	GLAXOSMITHKLINE BIOLOGICALS	0	0	0
729226	06348001IP2	ROTATEQ SOLUCION ORAL	Vacuna atenuada anti rotavirus pentavalente solución/suspensión oral	N/A (vacuna)	Tubo	1	envase uso oral unidosis	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA ORAL	SOLUCIÓN ORAL	J07BH02 - Rotavirus pentavalente, vivo, modificado	MSD VACCINS	0	0	0
729265	05330005IP1	ROTARIX SUSPENSION ORAL EN TUBO DOSIFICADOR. VACUNA ANTIRROTAVIRUS, VIVA	Vacuna atenuada anti rotavirus solución/suspensión oral	N/A (vacuna)	Tubo	1	envase uso oral unidosis	ROTAVIRUS HUMANO N/A (vacuna) N/A (vacuna)	VÍA ORAL	SUSPENSIÓN ORAL	J07BH01 - Rotavirus, virus vivo atenuado	GLAXOSMITHKLINE BIOLOGICALS	0	0	0
731043	05330005IP2	ROTARIX SUSPENSION ORAL EN APLICADOR ORAL PRECARGADO. VACUNA ANTIRROTAVIRUS, VIVA	Vacuna atenuada anti rotavirus solución/suspensión oral	N/A (vacuna)	Aplicador oral	1	envase uso oral unidosis	ROTAVIRUS HUMANO N/A (vacuna) N/A (vacuna)	VÍA ORAL	SUSPENSIÓN ORAL	J07BH01 - Rotavirus, virus vivo atenuado	GLAXOSMITHKLINE BIOLOGICALS	0	0	0
731044	06348001IP3	ROTATEQ SOLUCION ORAL	Vacuna atenuada anti rotavirus pentavalente solución/suspensión oral	N/A (Vacuna)	Tubo	1	envase uso oral unidosis	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA ORAL	SOLUCIÓN ORAL	J07BH02 - Rotavirus pentavalente, vivo, modificado	MSD VACCINS	0	0	0
731045	05330009IP	ROTARIX SUSPENSION ORAL EN TUBO DOSIFICADOR. VACUNA ANTIRROTAVIRUS, VIVA	Vacuna atenuada anti rotavirus solución/suspensión oral	N/A (Vacuna)	Tubo	1	envase uso oral unidosis	ROTAVIRUS HUMANO N/A (Vacuna) N/A (vacuna)	VÍA ORAL	SUSPENSIÓN ORAL	J07BH01 - Rotavirus, virus vivo atenuado	GLAXOSMITHKLINE BIOLOGICALS	0	0	0
731553	05330009IP1	ROTARIX SUSPENSION ORAL EN TUBO DOSIFICADOR. VACUNA ANTIRROTAVIRUS, VIVA	Vacuna atenuada anti rotavirus solución/suspensión oral	N/A (vacuna)	Tubo	1	envase uso oral unidosis	ROTAVIRUS HUMANO N/A (vacuna) N/A (vacuna)	VÍA ORAL	SUSPENSIÓN ORAL	J07BH01 - Rotavirus, virus vivo atenuado	GLAXOSMITHKLINE BIOLOGICALS	0	0	0
732458	05330009IP2	ROTARIX SUSPENSION ORAL EN TUBO DOSIFICADOR. VACUNA ANTIRROTAVIRUS, VIVA	Vacuna atenuada anti rotavirus solución/suspensión oral	N/A (vacuna)	Tubo	1	envase uso oral unidosis	ROTAVIRUS HUMANO N/A (vacuna) N/A (vacuna)	VÍA ORAL	SUSPENSIÓN ORAL	J07BH01 - Rotavirus, virus vivo atenuado	GLAXOSMITHKLINE BIOLOGICALS	0	0	0
759122	05330009IP3	ROTARIX SUSPENSION ORAL EN TUBO DOSIFICADOR. VACUNA ANTIRROTAVIRUS, VIVA	Vacuna atenuada anti rotavirus solución/suspensión oral	N/A (vacuna)	Tubo	1	envase uso oral unidosis	ROTAVIRUS HUMANO N/A (vacuna) N/A (vacuna)	VÍA ORAL	SUSPENSIÓN ORAL	J07BH01 - Rotavirus, virus vivo atenuado	GLAXOSMITHKLINE BIOLOGICALS	0	0	0
759162	06348001IP4	ROTATEQ SOLUCION ORAL	Vacuna atenuada anti rotavirus pentavalente solución/suspensión oral	N/A (vacuna)	Tubo	1	envase uso oral unidosis	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA ORAL	SOLUCIÓN ORAL	J07BH02 - Rotavirus pentavalente, vivo, modificado	MERCK SHARP & DOHME B.V.	0	0	0
763538	06348001	ROTATEQ SOLUCION ORAL	Vacuna atenuada anti rotavirus solución/suspensión oral	N/A (vacuna)	Tubo	10	envase uso oral unidosis	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA ORAL	SOLUCIÓN ORAL	J07BH02 - Rotavirus pentavalente, vivo, modificado	MERCK SHARP & DOHME B.V.	0	0	0
