cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	sw_generico	biosimilar	radiofarmaco
661400	70027	VALACICLOVIR TEVA 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Valaciclovir 500 mg comprimido	500 mg	Blister	10	comprimido	VALACICLOVIR 500 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	J05AB11 - Valaciclovir	TEVA PHARMA S.L.U.	0	1	0	0
661401	70027	VALACICLOVIR TEVA 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Valaciclovir 500 mg comprimido	500 mg	Blister	42	comprimido	VALACICLOVIR 500 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	J05AB11 - Valaciclovir	TEVA PHARMA S.L.U.	0	1	0	0
665325	72324	VALACICLOVIR STADA GENERICOS 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Valaciclovir 500 mg comprimido	500 mg	Blister	10	comprimido	VALACICLOVIR  HIDROCLORURO 500 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	J05AB11 - Valaciclovir	STADA GENERICOS S.L.	0	1	0	0
665326	72324	VALACICLOVIR STADA GENERICOS 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Valaciclovir 500 mg comprimido	500 mg	Blister	42	comprimido	VALACICLOVIR  HIDROCLORURO 500 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	J05AB11 - Valaciclovir	STADA GENERICOS S.L.	0	1	0	0
669132	72115	VALACICLOVIR KERN PHARMA 500 mg COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG	Valaciclovir 500 mg comprimido	500 mg	Blister	10	comprimido	VALACICLOVIR  HIDROCLORURO 500 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	J05AB11 - Valaciclovir	KERN PHARMA S.L.	0	1	0	0
669134	72115	VALACICLOVIR KERN PHARMA 500 mg COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG	Valaciclovir 500 mg comprimido	500 mg	Blister	42	comprimido	VALACICLOVIR  HIDROCLORURO 500 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	J05AB11 - Valaciclovir	KERN PHARMA S.L.	0	1	0	0
670396	72325	VALACICLOVIR STADA GENERICOS 1000 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Valaciclovir 1.000 mg comprimido	1.000 mg	Blister	21	comprimido	VALACICLOVIR  HIDROCLORURO 1000 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	J05AB11 - Valaciclovir	STADA GENERICOS S.L.	0	1	0	0
676999	61241	VALTREX 1.000 mg COMPRIMIDOS RECUBIERTOS CON PELÍCULA	Valaciclovir 1.000 mg comprimido	1.000 mg	Blister	21	comprimido	VALACICLOVIR 1000 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	J05AB11 - Valaciclovir	GLAXOSMITHKLINE S.A.	0	0	0	0
678316	73301	VALACICLOVIR ARISTO 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Valaciclovir 500 mg comprimido	500 mg	Blister	10	comprimido	VALACICLOVIR  HIDROCLORURO 500 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	J05AB11 - Valaciclovir	ARISTO PHARMA GMBH	0	1	0	0
678321	73301	VALACICLOVIR ARISTO 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Valaciclovir 500 mg comprimido	500 mg	Blister	42	comprimido	VALACICLOVIR  HIDROCLORURO 500 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	J05AB11 - Valaciclovir	ARISTO PHARMA GMBH	0	1	0	0
