cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
600280	66910	DIOVAN CARDIO 40 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Valsartán 40 mg comprimido	40 mg	Blister	280	comprimido	VALSARTAN 40 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C09CA03 - Valsartan	NOVARTIS FARMACEUTICA S.A.	2005-07-01	0	2014-07-15	Suspenso	2017-09-28	1	0	0	0
602859	70360	VALSARTAN NORMON 80 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Valsartán 80 mg comprimido	80 mg	Blister	280	comprimido	VALSARTAN 80 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C09CA03 - Valsartan	LABORATORIOS NORMON S.A.	2009-01-21	1	2011-05-05	Autorizado	2019-01-28	1	0	0	0
602860	70364	VALSARTAN NORMON 160 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Valsartán 160 mg comprimido	160 mg	Blister	280	comprimido	VALSARTAN 160 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C09CA03 - Valsartan	LABORATORIOS NORMON S.A.	2009-01-21	1	2011-05-05	Autorizado	2019-01-28	1	0	0	0
605151	72917	VALSARTAN NORMON 320 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Valsartán 320 mg comprimido	320 mg	Blister	280	comprimido	VALSARTAN 320 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C09CA03 - Valsartan	LABORATORIOS NORMON S.A.	2011-03-29	0	2014-05-01	Autorizado	2018-12-12	1	0	0	0
605705	74997	VALSARTAN AUROBINDO 160 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Valsartán 160 mg comprimido	160 mg	Blister	280	comprimido	VALSARTAN 160 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C09CA03 - Valsartan	LABORATORIOS AUROBINDO S.L.U.	2011-12-29	0	2021-01-20	Anulado	2021-01-20	1	0	0	0
606271	77987	PRESAR 40 MG COMPRIMIDOS BUCODISPERSABLES EFG	Valsartán 40 mg comprimido bucodispersable/liotab	40 mg	Blister	280	comprimido	VALSARTAN 40 mg	VÍA ORAL	COMPRIMIDO BUCODISPERSABLE	1	C09CA03 - Valsartan	MEIJI PHARMA SPAIN S.A.	2013-09-30	1	2021-03-09	Autorizado	2013-09-30	1	0	0	0
606272	77988	PRESAR 80 MG COMPRIMIDOS BUCODISPERSABLES EFG	Valsartán 80 mg comprimido bucodispersable/liotab	80 mg	Blister	280	comprimido	VALSARTAN 80 mg	VÍA ORAL	COMPRIMIDO BUCODISPERSABLE	1	C09CA03 - Valsartan	MEIJI PHARMA SPAIN S.A.	2013-09-30	1	2021-03-09	Autorizado	2013-09-30	1	0	0	0
606273	77989	PRESAR 160 MG COMPRIMIDOS BUCODISPERSABLES EFG	Valsartán 160 mg comprimido bucodispersable/liotab	160 mg	Blister	280	comprimido	VALSARTAN 160 mg	VÍA ORAL	COMPRIMIDO BUCODISPERSABLE	1	C09CA03 - Valsartan	MEIJI PHARMA SPAIN S.A.	2013-09-30	1	2021-03-09	Autorizado	2013-09-30	1	0	0	0
606274	77990	PRESAR 320 MG COMPRIMIDOS BUCODISPERSABLES EFG	Valsartán 320 mg comprimido bucodispersable/liotab	320 mg	Blister	280	comprimido	VALSARTAN 320 mg	VÍA ORAL	COMPRIMIDO BUCODISPERSABLE	1	C09CA03 - Valsartan	MEIJI PHARMA SPAIN S.A.	2013-09-30	1	2021-03-09	Autorizado	2013-09-30	1	0	0	0
629105	64473	DIOVAN 160 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Valsartán 160 mg comprimido	160 mg	Blister	280	comprimido	VALSARTAN 160 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	1	C09CA03 - Valsartan	NOVARTIS FARMACEUTICA S.A.	2001-12-18	0	2015-04-15	Autorizado	2001-12-18	1	0	0	0
