cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
687586	75399	ZIPRASIDONA VIATRIS 20 mg CAPSULAS DURAS EFG	Ziprasidona 20 mg cápsula	20 mg	Blister	56	cápsula	ZIPRASIDONA HIDROCLORURO 20 mg	VÍA ORAL	CÁPSULA DURA	1	N05AE04 - Ziprasidona	VIATRIS LIMITED	2012-08-02	1	2013-05-08	Autorizado	2013-03-25	1	0	0	0
687597	75400	ZIPRASIDONA VIATRIS 40 mg CAPSULAS DURAS EFG	Ziprasidona 40 mg cápsula	40 mg	Blister	56	cápsula	ZIPRASIDONA HIDROCLORURO 40 mg	VÍA ORAL	CÁPSULA DURA	1	N05AE04 - Ziprasidona	VIATRIS LIMITED	2012-08-03	1	2013-05-08	Autorizado	2013-03-25	1	0	0	0
687603	75401	ZIPRASIDONA VIATRIS 60 mg CAPSULAS DURAS EFG	Ziprasidona 60 mg cápsula	60 mg	Blister	56	cápsula	ZIPRASIDONA HIDROCLORURO 60 mg	VÍA ORAL	CÁPSULA DURA	1	N05AE04 - Ziprasidona	VIATRIS LIMITED	2012-08-03	1	2013-05-08	Autorizado	2013-03-25	1	0	0	0
687611	75402	ZIPRASIDONA VIATRIS 80 mg CAPSULAS DURAS EFG	Ziprasidona 80 mg cápsula	80 mg	Blister	56	cápsula	ZIPRASIDONA HIDROCLORURO 80 mg	VÍA ORAL	CÁPSULA DURA	1	N05AE04 - Ziprasidona	VIATRIS LIMITED	2012-08-03	1	2013-05-08	Autorizado	2013-03-25	1	0	0	0
688768	75683	ZIPRASIDONA STADA 40 mg CAPSULAS DURAS EFG	Ziprasidona 40 mg cápsula	40 mg	Blister	56	cápsula	ZIPRASIDONA 40 mg	VÍA ORAL	CÁPSULA DURA	1	N05AE04 - Ziprasidona	LABORATORIO STADA S.L.	2012-03-22	1	2013-05-08	Autorizado	2012-03-22	1	0	0	0
688772	75686	ZIPRASIDONA STADA 20 mg CAPSULAS DURAS EFG	Ziprasidona 20 mg cápsula	20 mg	Blister	56	cápsula	ZIPRASIDONA 20 mg	VÍA ORAL	CÁPSULA DURA	1	N05AE04 - Ziprasidona	LABORATORIO STADA S.L.	2012-03-22	1	2013-05-08	Autorizado	2012-03-22	1	0	0	0
688773	75687	ZIPRASIDONA STADA 60 mg CAPSULAS DURAS EFG	Ziprasidona 60 mg cápsula	60 mg	Blister	56	cápsula	ZIPRASIDONA 60 mg	VÍA ORAL	CÁPSULA DURA	1	N05AE04 - Ziprasidona	LABORATORIO STADA S.L.	2012-03-22	1	2013-05-08	Autorizado	2012-03-22	1	0	0	0
688802	75692	ZIPRASIDONA STADA 80 mg CAPSULAS DURAS EFG	Ziprasidona 80 mg cápsula	80 mg	Blister	56	cápsula	ZIPRASIDONA 80 mg	VÍA ORAL	CÁPSULA DURA	1	N05AE04 - Ziprasidona	LABORATORIO STADA S.L.	2012-03-22	1	2013-05-08	Autorizado	2012-03-22	1	0	0	0
689416	75817	ZIPRASIDONA KERN PHARMA 20 mg CAPSULAS DURAS EFG	Ziprasidona 20 mg cápsula	20 mg	Blister	56	cápsula	ZIPRASIDONA 20 mg	VÍA ORAL	CÁPSULA DURA	1	N05AE04 - Ziprasidona	KERN PHARMA S.L.	2012-04-23	0	2017-07-06	Anulado	2017-07-06	1	0	0	0
689421	75818	ZIPRASIDONA KERN PHARMA 40 mg CAPSULAS DURAS EFG	Ziprasidona 40 mg cápsula	40 mg	Blister	56	cápsula	ZIPRASIDONA 40 mg	VÍA ORAL	CÁPSULA DURA	1	N05AE04 - Ziprasidona	KERN PHARMA S.L.	2012-04-23	0	2017-07-06	Anulado	2017-07-06	1	0	0	0
689423	75819	ZIPRASIDONA KERN PHARMA 60 mg CAPSULAS DURAS EFG	Ziprasidona 60 mg cápsula	60 mg	Blister	56	cápsula	ZIPRASIDONA 60 mg	VÍA ORAL	CÁPSULA DURA	1	N05AE04 - Ziprasidona	KERN PHARMA S.L.	2012-04-23	0	2017-07-06	Anulado	2017-07-06	1	0	0	0
689424	75820	ZIPRASIDONA KERN PHARMA 80 mg CAPSULAS DURAS EFG	Ziprasidona 80 mg cápsula	80 mg	Blister	56	cápsula	ZIPRASIDONA 80 mg	VÍA ORAL	CÁPSULA DURA	1	N05AE04 - Ziprasidona	KERN PHARMA S.L.	2012-04-23	0	2017-07-06	Anulado	2017-07-06	1	0	0	0
693330	76530	ZIPRASIDONA SANDOZ 20 MG CAPSULAS DURAS EFG	Ziprasidona 20 mg cápsula	20 mg	Blister	56	cápsula	ZIPRASIDONA MONOHIDRATO 20 mg	VÍA ORAL	CÁPSULA DURA	1	N05AE04 - Ziprasidona	SANDOZ FARMACEUTICA S.A.	2012-11-19	1	2013-05-08	Autorizado	2012-11-19	1	0	0	0
